node1	node2	weight	dominant_treatment	treatment_breakdown
Puccinia graminis f. sp. tritici	Puccinia striiformis	105	single	single:105
Puccinia striiformis	Puccinia striiformis f. sp. tritici	82	single	single:82
Puccinia graminis f. sp. tritici	Puccinia striiformis f. sp. tritici	76	single	single:76
Pantoea ananatis	Pectobacterium brasiliense	58	abiotic_stress	abiotic_stress:58
Puccinia striiformis f. sp. tritici	Zymoseptoria tritici	49	single	single:49
Bean common mosaic virus	Peanut stripe virus	42	host_study	host_study:27|abiotic_stress:15
Bean common mosaic virus	Peanut mottle virus	39	host_study	host_study:24|abiotic_stress:14|surveillance:1
Alternaria alternata	Puccinia striiformis f. sp. tritici	32	single	single:32
Puccinia striiformis	Zymoseptoria tritici	30	single	single:30
Watermelon mosaic virus	Zucchini yellow mosaic virus	26	host_study	host_study:23|surveillance:3
Fusarium graminearum	Fusarium pseudograminearum	23	single	single:15|host_study:7|abiotic_stress:1
Peanut mottle virus	Peanut stripe virus	23	abiotic_stress	abiotic_stress:14|host_study:9
Blumeria graminis	Blumeria graminis f. sp. tritici	18	host_study	host_study:18
Fusarium fujikuroi	Fusarium proliferatum	17	abiotic_stress	abiotic_stress:10|single:6|host_study:1
Alternaria alternata	Puccinia striiformis	16	single	single:16
Fusarium odoratissimum	Fusarium oxysporum	14	single	single:8|host_study:6
Fusarium oxysporum	Fusarium oxysporum f. sp. lycopersici	14	single	single:14
Phytophthora capsici	Phytophthora infestans	12	single	single:12
Parastagonospora nodorum	Puccinia striiformis f. sp. tritici	12	single	single:12
Puccinia graminis	Puccinia striiformis f. sp. tritici	12	single	single:12
Alternaria alternata	Bipolaris zeicola	12	host_study	host_study:12
Bipolaris zeicola	Exserohilum turcicum	12	host_study	host_study:12
Puccinia graminis	Puccinia striiformis	11	single	single:11
Penicillium digitatum	Penicillium expansum	10	single	single:10
Puccinia striiformis f. sp. tritici	Pyrenophora tritici-repentis	8	single	single:8
Colletotrichum gloeosporioides	Colletotrichum siamense	8	single	single:4|host_study:4
Potato virus S	Potato virus Y	8	host_study	host_study:4|surveillance:3|single:1
Parastagonospora nodorum	Puccinia striiformis	7	single	single:7
Alternaria alternata	Bipolaris sorokiniana	7	host_study	host_study:3|single:2|abiotic_stress:2
Alternaria alternata	Exserohilum turcicum	7	host_study	host_study:6|single:1
Peanut mottle virus	Peanut mottle virus (strain M)	7	host_study	host_study:7
Alternaria alternata	Zymoseptoria tritici	6	single	single:6
Alternaria alternata	Fusarium graminearum	6	single	single:5|host_study:1
Enamovirus PEMV	Potyvirus pisumsemenportati	6	surveillance	surveillance:6
Enamovirus PEMV	Umbravirus pisi	6	surveillance	surveillance:6
Potyvirus pisumsemenportati	Umbravirus pisi	6	surveillance	surveillance:6
Fusarium odoratissimum	Fusarium oxysporum f. sp. lycopersici	6	single	single:6
Watermelon mosaic virus	Zucchini tigre mosaic virus	6	host_study	host_study:6
Zucchini tigre mosaic virus	Zucchini yellow mosaic virus	6	host_study	host_study:6
Potato virus S	Potato virus V	6	host_study	host_study:6
Potato leafroll virus	Potato virus S	6	surveillance	surveillance:6
Puccinia striiformis	Pyrenophora tritici-repentis	5	single	single:5
Puccinia graminis	Zymoseptoria tritici	5	single	single:5
Alternaria alternata	Fusarium pseudograminearum	5	single	single:5
Alternaria alternata	Pyrenophora tritici-repentis	5	single	single:5
Colletotrichum fructicola	Colletotrichum siamense	5	single	single:4|host_study:1
Enamovirus PEMV	Potyvirus phaseoluteum	5	surveillance	surveillance:5
Alternaria alternata	Fusarium verticillioides	5	host_study	host_study:4|abiotic_stress:1
Chilli veinal mottle virus	Tobacco vein banding mosaic virus	5	host_study	host_study:5
Ilarvirus PNRSV	Pelamoviroid latenspruni	5	host_study	host_study:5
Carlavirus misolani	Carlavirus sigmasolani	5	single	single:5
Papaya ringspot virus	Tobacco ringspot virus	5	host_study	host_study:5
Alternaria alternata	Alternaria solani	4	single	single:4
Phytophthora infestans	Phytophthora sojae	4	single	single:2|host_study:2
Phytophthora capsici	Phytophthora nicotianae	4	single	single:4
Phytophthora infestans	Phytophthora nicotianae	4	single	single:4
Bean common mosaic virus	Cucumber mosaic virus	4	surveillance	surveillance:3|host_study:1
Bean common mosaic virus	Peanut mottle virus (strain M)	4	host_study	host_study:4
Potyvirus phaseoluteum	Potyvirus pisumsemenportati	4	surveillance	surveillance:4
Potyvirus phaseoluteum	Umbravirus pisi	4	surveillance	surveillance:4
Papaya ringspot virus	Watermelon mosaic virus	4	host_study	host_study:3|surveillance:1
Potato virus H	Potato virus S	4	host_study	host_study:4
Potato virus H	Potato virus Y	4	host_study	host_study:4
Sweet potato feathery mottle virus	Sweet potato virus 2	4	host_study	host_study:4
Sweet potato feathery mottle virus	Sweet potato virus C	4	host_study	host_study:4
Phytophthora infestans	Phytophthora parasitica	4	host_study	host_study:4
Broad bean wilt virus 2	Cucumber mosaic virus	4	surveillance	surveillance:4
Fusarium oxysporum	Fusarium verticillioides	4	host_study	host_study:4
Alternaria alternata	Botrytis cinerea	4	host_study	host_study:4
Potyvirus citrulli	Potyvirus cucurbitaflavitesselati	4	surveillance	surveillance:4
Brassica yellows virus	Turnip yellows virus	4	single	single:2|host_study:1|abiotic_stress:1
Botrytis cinerea	Penicillium expansum	4	host_study	host_study:3|single:1
Alternaria alternata	Puccinia graminis f. sp. tritici	3	single	single:3
Parastagonospora nodorum	Puccinia graminis f. sp. tritici	3	single	single:3
Leptosphaeria maculans	Zymoseptoria tritici	3	single	single:3
Pyrenophora tritici-repentis	Zymoseptoria tritici	3	single	single:3
Alternaria alternata	Puccinia graminis	3	single	single:3
Alternaria solani	Puccinia striiformis	3	single	single:3
Bipolaris sorokiniana	Puccinia striiformis f. sp. tritici	3	single	single:3
Colletotrichum fructicola	Colletotrichum gloeosporioides	3	host_study	host_study:2|single:1
Xanthomonas oryzae	Xanthomonas perforans	3	single	single:3
Fusarium asiaticum	Fusarium graminearum	3	single	single:3
Fusarium fujikuroi	Fusarium oxysporum	3	abiotic_stress	abiotic_stress:2|single:1
Botrytis cinerea	Pantoea ananatis	3	abiotic_stress	abiotic_stress:3
Cucumber mosaic virus	Papaya ringspot virus	3	host_study	host_study:3
Cucumber mosaic virus	Watermelon mosaic virus	3	host_study	host_study:3
Cucumber mosaic virus	Zucchini yellow mosaic virus	3	host_study	host_study:3
Papaya ringspot virus	Zucchini yellow mosaic virus	3	host_study	host_study:3
Papaya leaf distortion mosaic virus	Zucchini tigre mosaic virus	3	host_study	host_study:3
