name	kingdom	n_primary	n_secondary	total	top_host
Actinidia seed borne latent virus	Viruses	2	0	2	Actinidia chinensis
Actinidia virus A	Viruses	0	1	1	Actinidia chinensis
Alphanecrovirus nicotianae	Viruses	1	0	1	Oryza sativa
Alphanecrovirus oleae	Viruses	0	1	1	Oryza sativa
Alternaria alternata	Fungi	15	76	91	Triticum aestivum
Alternaria panax	Fungi	1	0	1	Panax notoginseng
Alternaria solani	Fungi	2	3	5	Triticum aestivum
Asian prunus virus 2	Viruses	0	1	1	Prunus persica
Aspergillus niger	Fungi	2	2	4	Zea mays
Barley yellow dwarf virus PAV	Viruses	1	0	1	Triticum aestivum
Barley yellow dwarf virus PAV-Ill	Viruses	0	1	1	Triticum aestivum
Bean common mosaic virus	Viruses	41	25	66	Arachis hypogaea
Bean yellow mosaic virus	Viruses	1	1	2	IRL clade
Beet necrotic yellow vein virus	Viruses	1	0	1	Beta vulgaris
Beet soil-borne virus	Viruses	0	1	1	Beta vulgaris
Bipolaris maydis	Fungi	2	1	3	Zea mays
Bipolaris sorokiniana	Fungi	5	10	15	Triticum aestivum
Bipolaris victoriae	Fungi	0	2	2	Zea mays
Bipolaris zeicola	Fungi	0	19	19	Zea mays
Blumeria graminis	Fungi	18	0	18	Triticum aestivum
Blumeria graminis f. sp. tritici	Fungi	0	18	18	Triticum aestivum
Botrytis cinerea	Fungi	11	5	16	Vitis vinifera
Brassica rapa virus 1	Viruses	0	1	1	Brassica rapa
Brassica yellows virus	Viruses	1	4	5	Brassica napus
Broad bean wilt virus 2	Viruses	2	5	7	Capsicum annuum
Bromovirus SVS	Viruses	2	2	4	Arabidopsis thaliana
Capillovirus mali	Viruses	0	3	3	Actinidia chinensis
Carlavirus americanense	Viruses	0	1	1	Humulus lupulus
Carlavirus latenshumuli	Viruses	1	0	1	Humulus lupulus
Carlavirus misolani	Viruses	1	4	5	Solanum tuberosum
Carlavirus sigmasolani	Viruses	5	1	6	Solanum tuberosum
Carrot mottle virus	Viruses	0	1	1	Daucus carota subsp. carota
Carrot red leaf virus	Viruses	1	0	1	Daucus carota subsp. carota
Carrot virus Y	Viruses	1	0	1	Daucus carota subsp. sativus
Caulimovirus tessellobrassicae	Viruses	0	1	1	Raphanus sativus var. sativus
Cercospora beticola	Fungi	3	2	5	Zea mays
Cercospora kikuchii	Fungi	0	3	3	Beta vulgaris
Cherry green ring mottle virus	Viruses	1	0	1	Prunus persica
Cherry necrotic rusty mottle virus	Viruses	0	1	1	Prunus persica
Chilli veinal mottle virus	Viruses	5	1	6	Nicotiana tabacum
Citrus leaf rugose virus	Viruses	1	0	1	Citrus sinensis
Citrus leprosis virus C2	Viruses	1	0	1	Citrus sinensis
Citrus variegation virus	Viruses	0	1	1	Citrus sinensis
Citrus yellow vein clearing virus	Viruses	1	0	1	Citrus sinensis
Closterovirus tristezae	Viruses	0	1	1	Citrus reticulata
Colletotrichum fructicola	Fungi	4	4	8	Theobroma cacao
Colletotrichum gloeosporioides	Fungi	4	5	9	Mangifera indica
Colletotrichum higginsianum	Fungi	2	0	2	Arabidopsis thaliana
Colletotrichum siamense	Fungi	3	9	12	Mangifera indica
Columnea latent viroid	Viruses	0	1	1	Solanum lycopersicum
Comovirus ArLV1	Viruses	0	2	2	Arabidopsis thaliana
Cowpea mild mottle virus	Viruses	2	0	2	Arachis hypogaea
Cowpea polerovirus 2	Viruses	0	2	2	Arachis hypogaea
Cucumber mosaic virus	Viruses	6	7	13	Arachis hypogaea
Cucumovirus CMV	Viruses	3	1	4	Lathyrus oleraceus
Cucurbit aphid-borne yellows virus	Viruses	0	1	1	Cucurbita moschata
Elm mottle virus	Viruses	0	1	1	Citrus sinensis
Enamovirus AEV	Viruses	0	1	1	Lathyrus oleraceus
Enamovirus PEMV	Viruses	8	0	8	Lathyrus oleraceus
Exserohilum turcica	Fungi	1	0	1	Zea mays
Exserohilum turcicum	Fungi	14	4	18	Zea mays
Fabavirus vitis	Viruses	4	0	4	Vitis vinifera
Fusarium asiaticum	Fungi	3	0	3	Aegilops tauschii subsp. tauschii
Fusarium fujikuroi	Fungi	3	20	23	Hordeum vulgare
Fusarium graminearum	Fungi	24	12	36	Triticum aestivum
Fusarium odoratissimum	Fungi	7	8	15	Arabidopsis thaliana
Fusarium oxysporum	Fungi	24	33	57	Arabidopsis thaliana
Fusarium oxysporum f. sp. lycopersici	Fungi	0	15	15	Arabidopsis thaliana
Fusarium proliferatum	Fungi	16	2	18	Hordeum vulgare
Fusarium pseudograminearum	Fungi	4	25	29	Triticum aestivum
Fusarium solani	Fungi	1	5	6	Cicer arietinum
Fusarium verticillioides	Fungi	14	7	21	Zea mays
Gammacarmovirus glycinis	Viruses	0	1	1	Glycine max
Grapevine Pinot gris virus	Viruses	0	4	4	Vitis vinifera
Grapevine Syrah virus 1	Viruses	0	1	1	Vitis vinifera
Grapevine berry inner necrosis virus	Viruses	0	5	5	Vitis vinifera x Vitis labrusca
Grapevine fabavirus	Viruses	7	0	7	Vitis vinifera
Grapevine fleck virus	Viruses	1	4	5	Vitis vinifera
Grapevine leafroll-associated virus 2	Viruses	2	1	3	Vitis vinifera
Grapevine leafroll-associated virus 3	Viruses	0	2	2	Vitis vinifera
Grapevine rupestris stem pitting-associated virus	Viruses	3	6	9	Vitis vinifera
Grapevine rupestris stem pitting-associated virus 1	Viruses	1	1	2	Vitis vinifera
Grapevine virus B	Viruses	0	1	1	Vitis vinifera
Ilarvirus PNRSV	Viruses	5	0	5	Prunus persica
Kennedya yellow mosaic virus	Viruses	1	0	1	Solanum tuberosum
Lasiodiplodia theobromae	Fungi	0	2	2	Cucurbiteae
Leptosphaeria maculans	Fungi	0	4	4	Triticum aestivum
Lily latent virus	Viruses	0	1	1	Lilium brownii
Lily mottle virus	Viruses	1	0	1	Lilium cernuum
Lily symptomless virus	Viruses	1	1	2	Lilium cernuum
Listeria monocytogenes	Bacteria	0	2	2	Poaceae
Maize dwarf mosaic virus	Viruses	0	1	1	Zea mays
Moniliophthora perniciosa	Fungi	3	0	3	Theobroma cacao
