name	kingdom	n_primary	n_secondary	total	top_host
Alternaria alternata	Fungi	2	48	50	Aegilops tauschii subsp. tauschii
Alternaria solani	Fungi	0	3	3	Triticum aestivum
Bean common mosaic virus	Viruses	5	3	8	Arachis hypogaea
Bean yellow mosaic virus	Viruses	1	0	1	IRL clade
Bipolaris maydis	Fungi	0	1	1	Quercus lobata
Bipolaris sorokiniana	Fungi	4	3	7	Triticum aestivum
Bipolaris zeicola	Fungi	0	12	12	Zea mays
Botrytis cinerea	Fungi	1	2	3	Heliantheae alliance
Brassica rapa virus 1	Viruses	0	1	1	Brassica rapa
Brassica yellows virus	Viruses	0	3	3	Brassica napus
Broad bean wilt virus 2	Viruses	1	4	5	Capsicum annuum
Bromovirus SVS	Viruses	2	2	4	Arabidopsis thaliana
Carrot mottle virus	Viruses	0	1	1	Petroselinum crispum
Carrot virus Y	Viruses	1	2	3	Daucus carota
Celery mosaic virus	Viruses	2	0	2	Daucus carota
Cercospora beticola	Fungi	0	1	1	Zea mays
Cercospora kikuchii	Fungi	0	1	1	Zea mays
Citrus leprosis virus C2	Viruses	1	0	1	Viridiplantae
Colletotrichum fructicola	Fungi	0	3	3	Theobroma cacao
Colletotrichum higginsianum	Fungi	2	0	2	Arabidopsis thaliana
Colletotrichum siamense	Fungi	0	2	2	Theobroma cacao
Comovirus ArLV1	Viruses	0	2	2	Arabidopsis thaliana
Cucumber mosaic virus	Viruses	6	2	8	Capsicum annuum
Cucumovirus CMV	Viruses	2	1	3	Lathyrus oleraceus
Cucurbit aphid-borne yellows virus	Viruses	0	1	1	Cucurbita moschata
Cytorhabdovirus lactucamaculante	Viruses	0	1	1	Lactuca sativa
Enamovirus AEV	Viruses	0	1	1	Lathyrus oleraceus
Enamovirus PEMV	Viruses	8	0	8	Lathyrus oleraceus
Exserohilum turcica	Fungi	1	0	1	Zea mays
Exserohilum turcicum	Fungi	13	2	15	Zea mays
Fusarium graminearum	Fungi	2	3	5	Aegilops tauschii
Fusarium odoratissimum	Fungi	0	1	1	Triticum dicoccoides
Fusarium oxysporum	Fungi	1	0	1	Linum usitatissimum
Kennedya yellow mosaic virus	Viruses	1	0	1	Viridiplantae
Leptosphaeria maculans	Fungi	0	3	3	Mesangiospermae
Listeria monocytogenes	Bacteria	0	3	3	Poaceae
Mirafiori lettuce big-vein virus	Viruses	0	11	11	Lactuca sativa
Moniliophthora perniciosa	Fungi	3	0	3	Theobroma cacao
Ophiovirus mirafioriense	Viruses	0	14	14	Viridiplantae
Orthotospovirus impatiensnecromaculae	Viruses	31	0	31	Lactuca sativa
Pantoea ananatis	Bacteria	0	1	1	Triticum aestivum
Papaya ringspot virus	Viruses	1	5	6	Cucumis melo
Parastagonospora nodorum	Fungi	1	18	19	Viridiplantae
Pea seed-borne mosaic virus	Viruses	0	1	1	Viridiplantae
Peanut mottle virus	Viruses	0	3	3	Arachis hypogaea
Peanut stripe virus	Viruses	0	5	5	Arachis hypogaea
Penicillium expansum	Fungi	0	1	1	Vitis vinifera
Pepper vein yellows virus	Viruses	0	2	2	Capsicum annuum
Plasmopara viticola	Oomycota	2	0	2	Viridiplantae
Polerovirus TUYV	Viruses	0	1	1	Lathyrus oleraceus
Potato virus S	Viruses	1	0	1	Solanum tuberosum
Potato virus Y	Viruses	2	0	2	Capsicum annuum
Potyvirus capsivenamaculae	Viruses	2	1	3	Capsicum annuum
Potyvirus citrulli	Viruses	0	1	1	Cucumis melo
Potyvirus phaseoluteum	Viruses	0	6	6	Lathyrus oleraceus
Potyvirus pisumsemenportati	Viruses	0	7	7	Lathyrus oleraceus
Potyvirus trifolii	Viruses	0	1	1	Vicia faba var. minor
Prune dwarf virus	Viruses	1	0	1	Prunus persica
Prunus necrotic ringspot virus	Viruses	0	1	1	Prunus persica
Pseudomonas fluorescens	Bacteria	0	1	1	rosids
Pseudomonas syringae	Bacteria	0	1	1	Viridiplantae
Puccinia graminis f. sp. tritici	Fungi	18	0	18	Viridiplantae
Puccinia striiformis	Fungi	38	0	38	BOP clade
Puccinia striiformis f. sp. tritici	Fungi	75	0	75	Aegilops tauschii subsp. tauschii
Puccinia triticina	Fungi	15	0	15	Triticum aestivum
Pyrenophora tritici-repentis	Fungi	0	13	13	Aegilops tauschii subsp. tauschii
Pyricularia oryzae	Fungi	1	3	4	Triticum aestivum
Rehmannia mosaic virus	Viruses	0	1	1	Solanum lycopersicum
Sclerotinia sclerotiorum	Fungi	1	3	4	Heliantheae alliance
Setosphaeria turcica	Fungi	0	1	1	Mesangiospermae
Stemphylium lycopersici	Fungi	0	1	1	IRL clade
Sweet potato virus C	Viruses	0	1	1	Ipomoea batatas
Tobacco mosaic virus	Viruses	0	1	1	Solanum lycopersicum
Tobacco ringspot virus	Viruses	6	0	6	Cucumis melo
Tomato brown rugose fruit virus	Viruses	1	0	1	Solanum lycopersicum
Torilis crimson leaf virus	Viruses	1	0	1	Petroselinum crispum
Turnip crinkle virus	Viruses	2	1	3	Arabidopsis thaliana
Turnip mosaic virus	Viruses	1	0	1	Arabidopsis thaliana
Turnip yellow mosaic virus	Viruses	1	0	1	Brassica rapa
Turnip yellows virus	Viruses	2	1	3	Brassica napus
Umbravirus pisi	Viruses	2	6	8	Lathyrus oleraceus
Varicosavirus lactucae	Viruses	0	18	18	Lactuca sativa
Watermelon mosaic virus	Viruses	2	3	5	Cucurbita pepo subsp. pepo
Xanthomonas campestris	Bacteria	0	1	1	Lactuca sativa
Xanthomonas hortorum	Bacteria	0	1	1	Lactuca sativa
Zucchini yellow mosaic virus	Viruses	1	2	3	Cucurbita pepo subsp. pepo
Zymoseptoria tritici	Fungi	0	83	83	Aegilops tauschii subsp. tauschii
