node1	node2	weight	dominant_treatment	treatment_breakdown
Puccinia striiformis f. sp. tritici	Zymoseptoria tritici	38	single	single:38
Puccinia striiformis	Zymoseptoria tritici	28	single	single:28
Alternaria alternata	Puccinia striiformis f. sp. tritici	24	single	single:24
Orthotospovirus impatiensnecromaculae	Varicosavirus lactucae	18	single	single:18
Alternaria alternata	Puccinia striiformis	15	single	single:15
Puccinia graminis f. sp. tritici	Zymoseptoria tritici	15	single	single:15
Ophiovirus mirafioriense	Orthotospovirus impatiensnecromaculae	14	single	single:14
Puccinia triticina	Zymoseptoria tritici	13	single	single:13
Bipolaris zeicola	Exserohilum turcicum	12	host_study	host_study:12
Mirafiori lettuce big-vein virus	Orthotospovirus impatiensnecromaculae	11	single	single:11
Puccinia striiformis f. sp. tritici	Pyrenophora tritici-repentis	8	single	single:8
Parastagonospora nodorum	Puccinia striiformis f. sp. tritici	8	single	single:8
Parastagonospora nodorum	Puccinia striiformis	7	single	single:7
Ophiovirus mirafioriense	Varicosavirus lactucae	7	single	single:7
Parastagonospora nodorum	Puccinia graminis f. sp. tritici	7	single	single:7
Alternaria alternata	Exserohilum turcicum	7	host_study	host_study:6|single:1
Alternaria alternata	Zymoseptoria tritici	6	single	single:6
Mirafiori lettuce big-vein virus	Varicosavirus lactucae	6	single	single:6
Enamovirus PEMV	Potyvirus pisumsemenportati	6	surveillance	surveillance:6
Enamovirus PEMV	Umbravirus pisi	6	surveillance	surveillance:6
Potyvirus pisumsemenportati	Umbravirus pisi	6	surveillance	surveillance:6
Alternaria alternata	Bipolaris zeicola	6	host_study	host_study:6
Mirafiori lettuce big-vein virus	Ophiovirus mirafioriense	5	single	single:5
Alternaria alternata	Pyrenophora tritici-repentis	5	single	single:5
Alternaria alternata	Fusarium graminearum	5	single	single:5
Enamovirus PEMV	Potyvirus phaseoluteum	5	surveillance	surveillance:5
Bean common mosaic virus	Peanut stripe virus	5	surveillance	surveillance:3|host_study:2
Papaya ringspot virus	Tobacco ringspot virus	5	host_study	host_study:5
Puccinia striiformis	Pyrenophora tritici-repentis	4	single	single:4
Potyvirus phaseoluteum	Potyvirus pisumsemenportati	4	surveillance	surveillance:4
Potyvirus phaseoluteum	Umbravirus pisi	4	surveillance	surveillance:4
Broad bean wilt virus 2	Cucumber mosaic virus	4	surveillance	surveillance:4
Leptosphaeria maculans	Zymoseptoria tritici	3	single	single:3
Pyrenophora tritici-repentis	Zymoseptoria tritici	3	single	single:3
Bipolaris sorokiniana	Puccinia striiformis f. sp. tritici	3	single	single:3
Alternaria solani	Puccinia striiformis	3	single	single:3
Listeria monocytogenes	Puccinia striiformis f. sp. tritici	3	single	single:3
Bean common mosaic virus	Cucumber mosaic virus	3	surveillance	surveillance:3
Bean common mosaic virus	Peanut mottle virus	3	host_study	host_study:2|surveillance:1
Watermelon mosaic virus	Zucchini yellow mosaic virus	3	surveillance	surveillance:3
Bipolaris sorokiniana	Pyricularia oryzae	3	single	single:2|host_study:1
Leptosphaeria maculans	Puccinia striiformis	2	single	single:2
Alternaria alternata	Leptosphaeria maculans	2	single	single:2
Leptosphaeria maculans	Puccinia striiformis f. sp. tritici	2	single	single:2
Colletotrichum fructicola	Moniliophthora perniciosa	2	single	single:2
Colletotrichum siamense	Moniliophthora perniciosa	2	single	single:2
Parastagonospora nodorum	Zymoseptoria tritici	2	single	single:2
Parastagonospora nodorum	Puccinia triticina	2	single	single:2
Alternaria alternata	Alternaria solani	2	single	single:2
Exserohilum turcicum	Puccinia striiformis f. sp. tritici	2	single	single:2
Alternaria alternata	Plasmopara viticola	2	single	single:2
Orthotospovirus impatiensnecromaculae	Sclerotinia sclerotiorum	2	single	single:2
Carrot virus Y	Celery mosaic virus	2	surveillance	surveillance:2
Bean common mosaic virus	Cowpea mild mottle virus	2	host_study	host_study:2
Broad bean wilt virus 2	Potato virus Y	2	surveillance	surveillance:2
Peanut mottle virus	Peanut stripe virus	2	host_study	host_study:2
Bromovirus SVS	Turnip crinkle virus	2	single	single:2
Alternaria alternata	Colletotrichum higginsianum	2	single	single:1|host_study:1
Brassica yellows virus	Turnip yellows virus	2	surveillance	surveillance:2
Pepper vein yellows virus	Potyvirus capsivenamaculae	2	surveillance	surveillance:2
Bean yellow mosaic virus	Stemphylium lycopersici	1	surveillance	surveillance:1
Bean yellow mosaic virus	Turnip yellows virus	1	surveillance	surveillance:1
Stemphylium lycopersici	Turnip yellows virus	1	surveillance	surveillance:1
Leptosphaeria maculans	Pyrenophora tritici-repentis	1	single	single:1
Leptosphaeria maculans	Setosphaeria turcica	1	single	single:1
Puccinia striiformis	Setosphaeria turcica	1	single	single:1
Pyrenophora tritici-repentis	Setosphaeria turcica	1	single	single:1
Setosphaeria turcica	Zymoseptoria tritici	1	single	single:1
Alternaria alternata	Parastagonospora nodorum	1	single	single:1
Cytorhabdovirus lactucamaculante	Ophiovirus mirafioriense	1	single	single:1
Cytorhabdovirus lactucamaculante	Orthotospovirus impatiensnecromaculae	1	single	single:1
Cytorhabdovirus lactucamaculante	Varicosavirus lactucae	1	single	single:1
Colletotrichum fructicola	Colletotrichum siamense	1	single	single:1
Bipolaris sorokiniana	Zymoseptoria tritici	1	single	single:1
Alternaria alternata	Bipolaris sorokiniana	1	single	single:1
Alternaria alternata	Bipolaris maydis	1	single	single:1
Bipolaris maydis	Puccinia striiformis f. sp. tritici	1	single	single:1
Orthotospovirus impatiensnecromaculae	Xanthomonas campestris	1	single	single:1
Orthotospovirus impatiensnecromaculae	Xanthomonas hortorum	1	single	single:1
Xanthomonas campestris	Xanthomonas hortorum	1	single	single:1
Rehmannia mosaic virus	Tobacco mosaic virus	1	surveillance	surveillance:1
Rehmannia mosaic virus	Tomato brown rugose fruit virus	1	surveillance	surveillance:1
Tobacco mosaic virus	Tomato brown rugose fruit virus	1	surveillance	surveillance:1
Puccinia triticina	Pyrenophora tritici-repentis	1	single	single:1
Pseudomonas syringae	Puccinia triticina	1	single	single:1
Pantoea ananatis	Puccinia triticina	1	single	single:1
Botrytis cinerea	Sclerotinia sclerotiorum	1	single	single:1
Fusarium odoratissimum	Puccinia graminis f. sp. tritici	1	single	single:1
Citrus leprosis virus C2	Colletotrichum fructicola	1	surveillance	surveillance:1
Brassica rapa virus 1	Turnip yellow mosaic virus	1	surveillance	surveillance:1
Alternaria alternata	Phytophthora sojae	1	single	single:1
Fusarium graminearum	Potato virus S	1	surveillance	surveillance:1
Cucumovirus CMV	Enamovirus PEMV	1	surveillance	surveillance:1
Cucumovirus CMV	Potyvirus phaseoluteum	1	surveillance	surveillance:1
Cucumovirus CMV	Potyvirus pisumsemenportati	1	surveillance	surveillance:1
Cucumovirus CMV	Umbravirus pisi	1	surveillance	surveillance:1
Enamovirus PEMV	Polerovirus TUYV	1	surveillance	surveillance:1
Polerovirus TUYV	Potyvirus phaseoluteum	1	surveillance	surveillance:1
Polerovirus TUYV	Potyvirus pisumsemenportati	1	surveillance	surveillance:1
Polerovirus TUYV	Umbravirus pisi	1	surveillance	surveillance:1
Brassica yellows virus	Enamovirus PEMV	1	surveillance	surveillance:1
Brassica yellows virus	Potyvirus pisumsemenportati	1	surveillance	surveillance:1
Brassica yellows virus	Umbravirus pisi	1	surveillance	surveillance:1
Cucumber mosaic virus	Peanut mottle virus	1	surveillance	surveillance:1
Cucurbit aphid-borne yellows virus	Papaya ringspot virus	1	surveillance	surveillance:1
Cucurbit aphid-borne yellows virus	Watermelon mosaic virus	1	surveillance	surveillance:1
Papaya ringspot virus	Watermelon mosaic virus	1	surveillance	surveillance:1
Cucumber mosaic virus	Potato virus Y	1	surveillance	surveillance:1
Enamovirus PEMV	Potyvirus trifolii	1	surveillance	surveillance:1
Potyvirus phaseoluteum	Potyvirus trifolii	1	surveillance	surveillance:1
Alternaria alternata	Fusarium oxysporum	1	abiotic_stress	abiotic_stress:1
Cucumber mosaic virus	Sweet potato virus C	1	surveillance	surveillance:1
Cucumovirus CMV	Potyvirus capsivenamaculae	1	surveillance	surveillance:1
Bromovirus SVS	Comovirus ArLV1	1	single	single:1
Fusarium oxysporum	Parastagonospora nodorum	1	host_study	host_study:1
Bromovirus SVS	Turnip mosaic virus	1	single	single:1
Carrot mottle virus	Torilis crimson leaf virus	1	surveillance	surveillance:1
Alternaria alternata	Pyricularia oryzae	1	host_study	host_study:1
Alternaria alternata	Botrytis cinerea	1	single	single:1
Cercospora kikuchii	Exserohilum turcicum	1	single	single:1
Alternaria alternata	Sclerotinia sclerotiorum	1	host_study	host_study:1
Tobacco ringspot virus	Watermelon mosaic virus	1	host_study	host_study:1
Cucumovirus CMV	Potyvirus citrulli	1	surveillance	surveillance:1
Cercospora beticola	Exserohilum turcica	1	single	single:1
Bipolaris sorokiniana	Fusarium graminearum	1	host_study	host_study:1
Enamovirus AEV	Umbravirus pisi	1	surveillance	surveillance:1
Prune dwarf virus	Prunus necrotic ringspot virus	1	surveillance	surveillance:1
Botrytis cinerea	Penicillium expansum	1	single	single:1
Comovirus ArLV1	Turnip crinkle virus	1	single	single:1
Fusarium graminearum	Parastagonospora nodorum	1	abiotic_stress	abiotic_stress:1
