name	host	n
Alternaria alternata	Triticum aestivum	19
Alternaria alternata	Aegilops tauschii subsp. tauschii	13
Alternaria alternata	Zea mays	6
Alternaria alternata	Triticinae	5
Alternaria alternata	Aegilops tauschii	5
Alternaria alternata	Arabidopsis thaliana	4
Alternaria alternata	Vitis vinifera	2
Alternaria alternata	Selaginella moellendorffii	1
Alternaria alternata	Quercus lobata	1
Alternaria alternata	Sorghum bicolor	1
Alternaria alternata	Setaria italica	1
Alternaria alternata	Lathyrus oleraceus	1
Alternaria solani	Triticum aestivum	2
Alternaria solani	Triticinae	1
Barley yellow dwarf virus PAV	Triticum aestivum	1
Bean common mosaic virus	Arachis hypogaea	10
Bean yellow mosaic virus	IRL clade	1
Bipolaris maydis	Quercus lobata	1
Bipolaris sorokiniana	Triticum aestivum	4
Bipolaris sorokiniana	Hordeum vulgare	2
Bipolaris sorokiniana	Pooideae	1
Bipolaris zeicola	Zea mays	12
Botrytis cinerea	Heliantheae alliance	1
Botrytis cinerea	Arabidopsis thaliana	1
Botrytis cinerea	Vitis vinifera	1
Brassica rapa virus 1	Brassica rapa	1
Brassica yellows virus	Brassica napus	2
Brassica yellows virus	Lathyrus oleraceus	1
Broad bean wilt virus 2	Capsicum annuum	5
Bromovirus SVS	Arabidopsis thaliana	4
Carrot mottle mimic virus	Daucus carota	2
Carrot mottle virus	Petroselinum crispum	1
Carrot red leaf virus	Daucus carota subsp. carota	1
Carrot virus Y	Daucus carota	1
Carrot virus Y	Daucus carota subsp. sativus	1
Celery mosaic virus	Daucus carota	1
Celery mosaic virus	Daucus carota subsp. sativus	1
Cercospora beticola	Zea mays	1
Cercospora kikuchii	Zea mays	1
Citrus leprosis virus C2	Citrus sinensis	1
Citrus tristeza virus	Citrus sinensis	2
Colletotrichum fructicola	Theobroma cacao	2
Colletotrichum fructicola	Citrus sinensis	1
Colletotrichum higginsianum	Arabidopsis thaliana	2
Colletotrichum siamense	Theobroma cacao	2
Comovirus ArLV1	Arabidopsis thaliana	2
Cowpea mild mottle virus	Arachis hypogaea	2
Cucumber mosaic virus	Capsicum annuum	4
Cucumber mosaic virus	Arachis hypogaea	3
Cucumber mosaic virus	Ipomoea batatas	1
Cucumovirus CMV	Lathyrus oleraceus	1
Cucumovirus CMV	Capsicum annuum	1
Cucumovirus CMV	Cucumis melo	1
Cucurbit aphid-borne yellows virus	Cucurbita moschata	1
Cytorhabdovirus lactucamaculante	Lactuca sativa	1
Enamovirus AEV	Lathyrus oleraceus	1
Enamovirus PEMV	Lathyrus oleraceus	7
Enamovirus PEMV	Vicia faba var. minor	1
Exserohilum turcica	Zea mays	1
Exserohilum turcicum	Zea mays	13
Exserohilum turcicum	Aegilops tauschii subsp. tauschii	1
Exserohilum turcicum	Triticum aestivum	1
Fusarium graminearum	Aegilops tauschii	6
Fusarium graminearum	Zea mays	4
Fusarium graminearum	Triticum aestivum	2
Fusarium graminearum	Aegilops tauschii subsp. tauschii	1
Fusarium graminearum	Solanum tuberosum	1
Fusarium graminearum	Hordeum vulgare	1
Fusarium odoratissimum	Triticum dicoccoides	1
Fusarium oxysporum	Sorghum bicolor	1
Fusarium oxysporum	Linum usitatissimum	1
Fusarium solani	Glycine max	1
Fusarium verticillioides	Sorghum bicolor	3
Grapevine fabavirus	Vitis vinifera	4
Grapevine leafroll-associated virus 2	Vitis vinifera	2
Grapevine rupestris stem pitting-associated virus	Vitis vinifera	2
Grapevine rupestris stem pitting-associated virus 1	Vitis vinifera	1
Leptosphaeria maculans	Triticum aestivum	4
Listeria monocytogenes	Poaceae	1
Listeria monocytogenes	Triticinae	1
Listeria monocytogenes	Aegilops tauschii subsp. tauschii	1
Mirafiori lettuce big-vein virus	Lactuca sativa	11
Moniliophthora perniciosa	Theobroma cacao	3
Ophiovirus mirafioriense	Lactuca sativa	14
Orthotospovirus impatiensnecromaculae	Lactuca sativa	32
Pantoea ananatis	Triticum aestivum	1
Papaya ringspot virus	Cucumis melo	5
Papaya ringspot virus	Cucurbita moschata	1
Parastagonospora nodorum	Triticum aestivum	11
Parastagonospora nodorum	Triticinae	7
Parastagonospora nodorum	Aegilops tauschii subsp. tauschii	4
Parastagonospora nodorum	Quercus lobata	1
Parastagonospora nodorum	Triticum dicoccoides	1
Parastagonospora nodorum	Triticum turgidum	1
Parastagonospora nodorum	Linum usitatissimum	1
Peanut mottle virus	Arachis hypogaea	3
Peanut stripe virus	Arachis hypogaea	5
Penicillium expansum	Vitis vinifera	1
Pepper vein yellows virus	Capsicum annuum	2
Phytophthora parasitica	Panax ginseng	3
Phytophthora sojae	Arabidopsis thaliana	3
Plasmopara viticola	Vitis vinifera	2
Polerovirus TUYV	Lathyrus oleraceus	1
Potato virus S	Solanum tuberosum	10
Potato virus X	Solanum tuberosum	1
Potato virus Y	Capsicum annuum	2
Potyvirus capsivenamaculae	Capsicum annuum	3
Potyvirus citrulli	Cucurbita pepo subsp. pepo	2
Potyvirus citrulli	Cucumis melo	1
Potyvirus cucurbitaflavitesselati	Cucurbita pepo subsp. pepo	2
Potyvirus phaseoluteum	Lathyrus oleraceus	5
Potyvirus phaseoluteum	Vicia faba var. minor	1
Potyvirus pisumsemenportati	Lathyrus oleraceus	7
Potyvirus trifolii	Vicia faba var. minor	1
Prune dwarf virus	Prunus persica	1
Prunus necrotic ringspot virus	Prunus persica	1
Pseudomonas syringae	Triticum turgidum	1
Puccinia graminis f. sp. tritici	Triticum aestivum	16
Puccinia graminis f. sp. tritici	Triticinae	7
Puccinia graminis f. sp. tritici	Triticum dicoccoides	4
Puccinia striiformis	Triticum aestivum	90
Puccinia striiformis	Triticinae	49
Puccinia striiformis	Aegilops tauschii subsp. tauschii	5
Puccinia striiformis	Brachypodium distachyon	4
Puccinia striiformis	Selaginella moellendorffii	1
Puccinia striiformis f. sp. tritici	Aegilops tauschii subsp. tauschii	38
Puccinia striiformis f. sp. tritici	Triticum aestivum	32
Puccinia striiformis f. sp. tritici	Quercus lobata	2
Puccinia striiformis f. sp. tritici	Brachypodium distachyon	2
Puccinia striiformis f. sp. tritici	NPAAA clade	1
Puccinia striiformis f. sp. tritici	Poaceae	1
Puccinia striiformis f. sp. tritici	Zea mays	1
Puccinia striiformis f. sp. tritici	Triticinae	1
Puccinia striiformis f. sp. tritici	Pooideae	1
Puccinia striiformis f. sp. tritici	Triticum	1
Puccinia striiformis f. sp. tritici	Quercus suber	1
Puccinia triticina	Triticum aestivum	17
Puccinia triticina	Triticum	7
Puccinia triticina	Triticinae	6
Puccinia triticina	Triticum turgidum	3
Puccinia triticina	Triticum dicoccoides	2
Puccinia triticina	Aegilops tauschii	1
Puccinia triticina	environmental samples	1
Puccinia triticina	Triticum urartu	1
Pyrenophora tritici-repentis	Aegilops tauschii subsp. tauschii	6
Pyrenophora tritici-repentis	Triticum aestivum	5
Pyrenophora tritici-repentis	Selaginella moellendorffii	1
Pyrenophora tritici-repentis	Triticinae	1
Pyricularia oryzae	Triticum aestivum	2
Pyricularia oryzae	Setaria italica	1
Pyricularia oryzae	Hordeum vulgare	1
Rehmannia mosaic virus	Solanum lycopersicum	1
Sclerotinia sclerotiorum	Lactuca sativa	2
Sclerotinia sclerotiorum	Heliantheae alliance	1
Sclerotinia sclerotiorum	Lathyrus oleraceus	1
Setosphaeria turcica	Triticum aestivum	1
Stemphylium lycopersici	IRL clade	1
Sweet potato virus C	Ipomoea batatas	1
Tobacco mosaic virus	Solanum lycopersicum	1
Tobacco ringspot virus	Cucumis melo	6
Tomato brown rugose fruit virus	Solanum lycopersicum	1
Torilis crimson leaf virus	Petroselinum crispum	1
Turnip crinkle virus	Arabidopsis thaliana	3
Turnip mosaic virus	Arabidopsis thaliana	1
Turnip yellow mosaic virus	Brassica rapa	1
Turnip yellows virus	Brassica napus	2
Turnip yellows virus	IRL clade	1
Umbravirus pisi	Lathyrus oleraceus	8
Varicosavirus lactucae	Lactuca sativa	18
Watermelon mosaic virus	Cucurbita pepo subsp. pepo	3
Watermelon mosaic virus	Cucurbita moschata	1
Watermelon mosaic virus	Cucumis melo	1
Xanthomonas campestris	Lactuca sativa	1
Xanthomonas hortorum	Lactuca sativa	1
Zucchini yellow mosaic virus	Cucurbita pepo subsp. pepo	3
Zymoseptoria tritici	Triticum aestivum	55
Zymoseptoria tritici	Aegilops tauschii subsp. tauschii	16
Zymoseptoria tritici	Triticinae	8
Zymoseptoria tritici	Brachypodium distachyon	6
Zymoseptoria tritici	Triticum dicoccoides	4
Zymoseptoria tritici	Triticum	2
Zymoseptoria tritici	Quercus lobata	1
Zymoseptoria tritici	Zea mays	1
Zymoseptoria tritici	Quercus suber	1
