name	kingdom	n_primary	n_secondary	total
Alternaria alternata	Fungi	2	51	53
Alternaria brassicicola	Fungi	6	0	6
Alternaria panax	Fungi	2	0	2
Alternaria solani	Fungi	0	3	3
Banana bract mosaic virus	Viruses	0	1	1
Banana mild mosaic virus	Viruses	2	0	2
Bean yellow mosaic virus	Viruses	1	0	1
Beet necrotic yellow vein virus	Viruses	1	0	1
Beet soil-borne virus	Viruses	0	1	1
Bipolaris maydis	Fungi	0	1	1
Bipolaris sorokiniana	Fungi	0	6	6
Blumeria graminis f. sp. tritici	Fungi	3	0	3
Blunervirus solani	Viruses	0	1	1
Botrytis cinerea	Fungi	2	31	33
Brassica rapa virus 1	Viruses	0	1	1
Candidatus Liberibacter	Bacteria	1	0	1
Carrot virus Y	Viruses	1	2	3
Celery mosaic virus	Viruses	2	0	2
Cercospora beticola	Fungi	0	1	1
Cercospora kikuchii	Fungi	0	1	1
Citrus leprosis virus C2	Viruses	1	0	1
Citrus tristeza virus	Viruses	0	1	1
Colletotrichum asianum	Fungi	1	0	1
Colletotrichum camelliae	Fungi	6	0	6
Colletotrichum fructicola	Fungi	1	21	22
Colletotrichum gloeosporioides	Fungi	10	10	20
Colletotrichum graminicola	Fungi	0	12	12
Colletotrichum higginsianum	Fungi	12	1	13
Colletotrichum orbiculare	Fungi	1	0	1
Colletotrichum siamense	Fungi	4	6	10
Columnea latent viroid	Viruses	0	1	1
Cucumber mosaic virus	Viruses	0	4	4
Cucurbit leaf crumple virus	Viruses	2	1	3
Cytorhabdovirus lactucamaculante	Viruses	0	1	1
Dichorhavirus orchidaceae	Viruses	1	0	1
Exserohilum turcicum	Fungi	1	2	3
Fusarium asiaticum	Fungi	16	0	16
Fusarium fujikuroi	Fungi	9	2	11
Fusarium graminearum	Fungi	41	23	64
Fusarium odoratissimum	Fungi	1	37	38
Fusarium oxysporum	Fungi	21	3	24
Fusarium oxysporum f. sp. albedinis	Fungi	1	0	1
Fusarium oxysporum f. sp. cepae	Fungi	1	0	1
Fusarium oxysporum f. sp. lactucae	Fungi	12	0	12
Fusarium oxysporum f. sp. lycopersici	Fungi	1	0	1
Fusarium oxysporum f. sp. matthiolae	Fungi	4	0	4
Fusarium oxysporum f. sp. rapae	Fungi	3	0	3
Fusarium oxysporum f. sp. raphani	Fungi	1	0	1
Fusarium proliferatum	Fungi	1	3	4
Fusarium pseudograminearum	Fungi	11	47	58
Fusarium verticillioides	Fungi	0	22	22
Heterodera glycines	Nematoda	1	0	1
Hyaloperonospora arabidopsidis	Oomycota	3	0	3
Kennedya yellow mosaic virus	Viruses	1	0	1
Lasiodiplodia theobromae	Fungi	0	2	2
Leptosphaeria maculans	Fungi	0	4	4
