treatment	setting	n_bp	n_coinf	n_single	coinf_rate	n_coinf_hc	n_single_hc	coinf_rate_hc
single	field	54	356	1306	0.2142	197	1465	0.1185
single	lab	843	577	5138	0.101	109	5606	0.0191
single	unclear	155	17	849	0.0196	10	856	0.0115
host_study	field	59	41	150	0.2147	26	165	0.1361
host_study	lab	277	290	822	0.2608	194	918	0.1745
host_study	unclear	82	28	185	0.1315	11	202	0.0516
abiotic_stress	field	7	5	31	0.1389	1	35	0.0278
abiotic_stress	lab	113	132	338	0.2809	87	383	0.1851
abiotic_stress	unclear	21	10	41	0.1961	6	45	0.1176
surveillance	field	67	68	279	0.196	43	304	0.1239
surveillance	lab	3	1	17	0.0556	1	17	0.0556
surveillance	unclear	14	3	39	0.0714	1	41	0.0238
coinf_experiment	field	1	0	3	0.0	0	3	0.0
coinf_experiment	lab	19	8	77	0.0941	0	85	0.0
coinf_experiment	unclear	1	0	9	0.0	0	9	0.0
combined_stress	field	0	0	0	0	0	0	0
combined_stress	lab	17	17	93	0.1545	0	110	0.0
combined_stress	unclear	0	0	0	0	0	0	0
