run	biosample	bioproject	rank	taxid	name	reads	distinct_minimizers	kmer_frac	genus_taxid	genus	declared
DRR125458	SAMD00112910	PRJDB6779	species	5599	Alternaria alternata	9232			5598	Alternaria	no
DRR125458	SAMD00112910	PRJDB6779	species	5016	Bipolaris maydis	279			33194	Bipolaris	no
DRR125458	SAMD00112910	PRJDB6779	species	45130	Bipolaris sorokiniana	274			33194	Bipolaris	no
DRR125458	SAMD00112910	PRJDB6779	species	45151	Pyrenophora tritici-repentis	808			5027	Pyrenophora	no
DRR125458	SAMD00112910	PRJDB6779	species	5454	Ascochyta rabiei	204			5453	Ascochyta	no
DRR125458	SAMD00112910	PRJDB6779	species	5022	Plenodomus lingam	274			118259	Plenodomus	no
DRR342061	SAMD00439263	PRJDB12902	species	318829	Pyricularia oryzae	926469			48558	Pyricularia	yes
DRR342061	SAMD00439263	PRJDB12902	species	5022	Plenodomus lingam	440			118259	Plenodomus	no
DRR848233			species	318829	Pyricularia oryzae	408621			48558	Pyricularia	no
DRR848233			species	5507	Fusarium oxysporum	247			5506	Fusarium	no
DRR857211			species	40559	Botrytis cinerea	324676			33196	Botrytis	no
DRR857211			species	278938	Botrytis elliptica	11357			33196	Botrytis	no
DRR857211			species	5180	Sclerotinia sclerotiorum	689			5179	Sclerotinia	no
DRR857211			species	38448	Monilinia fructicola	184			38447	Monilinia	no
DRR857211			species	2792576	Rhynchosporium graminicola	111			38037	Rhynchosporium	no
DRR857211			species	5507	Fusarium oxysporum	646			5506	Fusarium	no
DRR857211			species	100787	Verticillium longisporum	419			1036719	Verticillium	no
DRR857211			species	135779	Cercospora zeae-maydis	1194			29002	Cercospora	no
DRR857211			species	203908	Melampsora laricis-populina	110			5260	Melampsora	no
ERR10886906	SAMEA112356016	PRJEB59062	species	5518	Fusarium graminearum	400977			5506	Fusarium	yes
ERR10886906	SAMEA112356016	PRJEB59062	species	101028	Fusarium pseudograminearum	8312			5506	Fusarium	no
ERR10886906	SAMEA112356016	PRJEB59062	species	5516	Fusarium culmorum	2083			5506	Fusarium	no
ERR10886906	SAMEA112356016	PRJEB59062	species	5507	Fusarium oxysporum	2190			5506	Fusarium	no
ERR10886906	SAMEA112356016	PRJEB59062	species	29875	Trichoderma virens	286			5543	Trichoderma	no
ERR10886906	SAMEA112356016	PRJEB59062	species	27350	Puccinia striiformis	114			5296	Puccinia	no
ERR10886907	SAMEA112356016	PRJEB59062	species	5518	Fusarium graminearum	399656			5506	Fusarium	yes
ERR10886907	SAMEA112356016	PRJEB59062	species	101028	Fusarium pseudograminearum	8158			5506	Fusarium	no
ERR10886907	SAMEA112356016	PRJEB59062	species	5516	Fusarium culmorum	2099			5506	Fusarium	no
ERR10886907	SAMEA112356016	PRJEB59062	species	5507	Fusarium oxysporum	2125			5506	Fusarium	no
ERR10886907	SAMEA112356016	PRJEB59062	species	29875	Trichoderma virens	301			5543	Trichoderma	no
