run	biosample	rank	n_pathogens	n_cryptic	coinfection	declared_taxids	declared_names	stress	setting	coinf_intent
DRR125458	SAMD00112910	species	6	6	yes			abiotic	field	not_disease_focused
DRR125458	SAMD00112910	genus	0	0	no			abiotic	field	not_disease_focused
DRR342061	SAMD00439263	species	2	1	yes	318829	Magnaporthe oryzae	biotic	field	single_pathogen_focus
DRR342061	SAMD00439263	genus	0	0	no	318829	Magnaporthe oryzae	biotic	field	single_pathogen_focus
DRR848233		species	2	2	yes					
DRR848233		genus	0	0	no					
DRR857211		species	9	9	yes					
DRR857211		genus	0	0	no					
ERR10886906	SAMEA112356016	species	6	5	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886906	SAMEA112356016	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886907	SAMEA112356016	species	6	5	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886907	SAMEA112356016	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886909	SAMEA112356017	species	6	5	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886909	SAMEA112356017	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886910	SAMEA112356017	species	6	5	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886910	SAMEA112356017	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886911	SAMEA112356017	species	6	5	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886911	SAMEA112356017	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886913	SAMEA112356018	species	6	5	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886913	SAMEA112356018	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886916	SAMEA112356019	species	9	8	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886916	SAMEA112356019	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886918	SAMEA112356020	species	5	4	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886918	SAMEA112356020	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886919	SAMEA112356020	species	6	5	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886919	SAMEA112356020	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886920	SAMEA112356020	species	6	5	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886920	SAMEA112356020	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886921	SAMEA112356021	species	8	7	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886921	SAMEA112356021	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886923	SAMEA112356021	species	8	7	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886923	SAMEA112356021	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886930	SAMEA112356024	species	9	8	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886930	SAMEA112356024	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886939	SAMEA112356027	species	6	5	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886939	SAMEA112356027	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886940	SAMEA112356027	species	6	5	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886940	SAMEA112356027	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886941	SAMEA112356027	species	5	4	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886941	SAMEA112356027	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886942	SAMEA112356028	species	5	4	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886942	SAMEA112356028	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
