stratum	Run	mode	BioSample	BioProject	named_host	host_pct	euk_pct	fungi_pct	oomycete_pct	stat_pathogens	co_infection_flag	same_genus_secondary	llm_treatment	llm_study_setting	expected
B	SRR24162857	hal	SAMN34174564	PRJNA955234	Helianthus annuus		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR36930497	hal	SAMN54772828	PRJNA1406488	Rosa xanthina		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR10005149	hal	SAMN12607284	PRJNA561107	Ziziphus jujuba		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR28980729	hal	SAMN41272039	PRJNA1109454	Eriobotrya japonica		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR8279288	hal	SAMN10500398	PRJNA507457	Triticum dicoccoides		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR27341257	hal	SAMN39101768	PRJNA1056668	Pinus sylvestris var. mongolica		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR37245770	hal	SAMN55339995	PRJNA1423472	Trifolium pratense		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR29705317	hal	SAMN42272158	PRJNA1131149	Rosa rugosa		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR12777476	hal	SAMN16377604	PRJNA667543	Brassica rapa var. rapa		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR27849019	hal	SAMN39753130	PRJNA1072809	Pyrus communis		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR6453920	hal	SAMN08321372	PRJNA428769	Brassica napus var. pabularia		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	ERR11650695	hal	SAMEA113597964	PRJEB63995	Humulus lupulus var. lupulus		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	ERR3988226	hal	SAMEA6619819	PRJEB37020	Vitis vinifera subsp. sylvestris		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR1706194	hal	SAMN03261414	PRJNA269986	Vitis pseudoreticulata		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	ERR14155426	hal	SAMEA117610112	PRJEB83679	Fragaria x ananassa		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
