genus	n_phibase_seeds	n_phibase_assemblies	n_new_species	n_new_assemblies	n_new_scaffold	n_new_annotated	new_species
Aspergillus	4	466	317	1206	736	564	Aspergillus aculeatinus; Aspergillus aculeatinus CBS 121060; Aspergillus aculeatus; Aspergillus aculeatus ATCC 16872; Aspergillus aff. floccosus IMV 01167; Aspergillus affinis; Aspergillus aflatoxiformans; Aspergillus alliaceus; Aspergillus ambiguus; Aspergillus amoenus; Aspergillus amstelodami; Aspergillus annui; Aspergillus arachidicola; Aspergillus aspearensis; Aspergillus asperescens; Aspergillus aurantiobrunneus; Aspergillus austwickii; Aspergillus avenaceus; Aspergillus awamori; Aspergillus awamori var. piceus; Aspergillus baeticus; Aspergillus bertholletiae; Aspergillus biplanus; Aspergillus bombycis; Aspergillus brasiliensis; Aspergillus brasiliensis CBS 101740; Aspergillus bridgeri; Aspergillus brunneoviolaceus CBS 621.78; Aspergillus brunneus; Aspergillus caelatus
Fusarium	17	1117	337	969	731	245	Fusarium abutilonis; Fusarium acaciae-mearnsii; Fusarium acuminatum; Fusarium acutatum; Fusarium aethiopicum; Fusarium agapanthi; Fusarium akasia; Fusarium albidum; Fusarium albosuccineum; Fusarium algeriense; Fusarium ambrosium; Fusarium andiyazi; Fusarium anguioides; Fusarium annulatum; Fusarium anthophilum; Fusarium arcuatisporum; Fusarium armeniacum; Fusarium austroafricanum; Fusarium austroamericanum; Fusarium awan; Fusarium aywerte; Fusarium azukiicola; Fusarium babinda; Fusarium bactridioides; Fusarium begoniae; Fusarium beomiforme; Fusarium boothii; Fusarium brachygibbosum; Fusarium brasilicum; Fusarium brasiliense
Penicillium	3	21	199	733	408	300	Penicillium adametzioides; Penicillium alfredii; Penicillium angulare; Penicillium antarcticum; Penicillium argentinense; Penicillium arizonense; Penicillium atrosanguineum; Penicillium aurantiogriseum; Penicillium bialowiezense; Penicillium biforme; Penicillium biforme FM169; Penicillium bovifimosum; Penicillium brasilianum; Penicillium brefeldianum; Penicillium brevicompactum; Penicillium camemberti; Penicillium camemberti FM 013; Penicillium canariense; Penicillium canescens; Penicillium capsulatum; Penicillium carneum LCP05634; Penicillium caseifulvum; Penicillium cataractarum; Penicillium cf. chrysogenum; Penicillium cf. griseofulvum; Penicillium cf. viridicatum; Penicillium chermesinum; Penicillium chrysogenum; Penicillium chrysogenum KF-25; Penicillium chrysogenum NCPC10086
Colletotrichum	16	159	120	302	225	111	Colletotrichum abscissum; Colletotrichum adenophorae; Colletotrichum aenigma; Colletotrichum agaves; Colletotrichum australisinense (nom. inval.); Colletotrichum baiyuense; Colletotrichum brevisporum; Colletotrichum cangyuanense; Colletotrichum casaense; Colletotrichum caudatum; Colletotrichum cereale; Colletotrichum chlorophyti; Colletotrichum chrysophilum; Colletotrichum cliviicola; Colletotrichum cordylinicola; Colletotrichum costaricense; Colletotrichum cuscutae; Colletotrichum demersi; Colletotrichum destructivum; Colletotrichum dianense; Colletotrichum dimorphum; Colletotrichum echinochloae; Colletotrichum eleusines; Colletotrichum endophyticum; Colletotrichum eremochloae; Colletotrichum euphorbiae; Colletotrichum falcatum; Colletotrichum filicis; Colletotrichum fioriniae; Colletotrichum fioriniae PJ7
Trichoderma	1	7	91	263	163	82	Trichoderma aethiopicum; Trichoderma afarasin; Trichoderma afroharzianum; Trichoderma aggressivum f. europaeum; Trichoderma arundinaceum; Trichoderma asperelloides; Trichoderma asperellum; Trichoderma asperellum CBS 433.97; Trichoderma atrobrunneum; Trichoderma atroviride; Trichoderma atroviride IMI 206040; Trichoderma austrokoningii; Trichoderma barbatum; Trichoderma breve; Trichoderma brevicompactum; Trichoderma brevicrassum; Trichoderma camerunense; Trichoderma caribbaeum; Trichoderma carraovejensis (nom. inval.); Trichoderma ceciliae; Trichoderma cf. simile WF8; Trichoderma chlorosporum; Trichoderma citrinoviride; Trichoderma compactum; Trichoderma cornu-damae; Trichoderma deliquescens; Trichoderma endophyticum; Trichoderma erinaceum; Trichoderma evansii; Trichoderma gamsii
Phytophthora	6	73	97	204	156	50	Phytophthora abietivora; Phytophthora agathidicida; Phytophthora aleatoria; Phytophthora asiatica; Phytophthora attenuata; Phytophthora austrocedri; Phytophthora betacei; Phytophthora boehmeriae; Phytophthora brassicae; Phytophthora cajani; Phytophthora capsici LT1534; Phytophthora castanetorum; Phytophthora chlamydospora; Phytophthora cinnamomi; Phytophthora cinnamomi var. cinnamomi; Phytophthora cinnamomi var. robiniae; Phytophthora citricola; Phytophthora citrophthora; Phytophthora colocasiae; Phytophthora constricta; Phytophthora crassamura; Phytophthora cryptogea; Phytophthora elongata; Phytophthora europaea; Phytophthora flexuosa; Phytophthora foliorum; Phytophthora formosa; Phytophthora fragariae; Phytophthora fragariaefolia; Phytophthora gibbosa
Beauveria	1	223	20	158	24	17	Beauveria asiatica; Beauveria australis; Beauveria bassiana ARSEF 2860; Beauveria bassiana D1-5; Beauveria brongniartii; Beauveria brongniartii RCEF 3172; Beauveria caledonica; Beauveria gryllotalpidicola; Beauveria medogensis; Beauveria mimosiformis; Beauveria namnaoensis; Beauveria neobassiana; Beauveria pseudobassiana; Beauveria rudraprayagi; Beauveria scarabaeidicola; Beauveria sp. AdecLV25a; Beauveria sp. IMV 00265; Beauveria sp. NWAFU-1; Beauveria thailandica; Beauveria varroae
Alternaria	6	166	62	139	100	53	Alternaria alstroemeriae; Alternaria alternarina; Alternaria angustiovoidea; Alternaria arborescens; Alternaria arborescens EGS 39-128; Alternaria arbusti; Alternaria atra; Alternaria brassicae; Alternaria brassicicola ATCC 96836; Alternaria burnsii; Alternaria cf. alternata; Alternaria chlamydospora; Alternaria conjuncta; Alternaria consortialis; Alternaria dauci; Alternaria destruens; Alternaria ethzedia; Alternaria gaisen; Alternaria gansuensis; Alternaria hordeiaustralica; Alternaria incomplexa; Alternaria infectoria; Alternaria linariae; Alternaria metachromatica; Alternaria novae-zelandiae; Alternaria oregonensis; Alternaria porri; Alternaria postmessia; Alternaria radicina; Alternaria rosae
Pythium	1	3	46	90	43	5	Pythium amasculinum; Pythium angustatum; Pythium aphanidermatum DAOM BR444; Pythium apleroticum; Pythium aquatile; Pythium aristosporum; Pythium arrhenomanes ATCC 12531; Pythium biforme; Pythium brachiatum; Pythium catenulatum; Pythium cedri; Pythium chondricola; Pythium coloratum; Pythium diclinum; Pythium dissimile; Pythium dissotocum; Pythium folliculosum; Pythium graminicola; Pythium grandisporangium; Pythium guiyangense; Pythium hydnosporum; Pythium inflatum; Pythium insidiosum; Pythium lycopersici; Pythium monospermum; Pythium myriotylum; Pythium oligandrum; Pythium ornamentatum; Pythium pectinolyticum; Pythium periplocum
Epichloe	1	14	45	67	44	3	Epichloe amarillans; Epichloe amarillans E4668; Epichloe amarillans E57; Epichloe aotearoae; Epichloe baconii; Epichloe baconii ATCC 200745; Epichloe brachyelytri; Epichloe brachyelytri E4804; Epichloe bromicola; Epichloe bromicola ATCC 200750; Epichloe cabralii; Epichloe canadensis; Epichloe chisosa; Epichloe clarkii; Epichloe coenophiala; Epichloe elymi; Epichloe elymi E56; Epichloe festucae E2368; Epichloe festucae Fl1; Epichloe festucae var. lolii; Epichloe gansuensis; Epichloe gansuensis E7080; Epichloe gansuensis var. inebrians E818; Epichloe glyceriae; Epichloe glyceriae E277; Epichloe hybrida; Epichloe inebrians; Epichloe pampeana; Epichloe scottii; Epichloe sibirici
