taxid	organism_name	genus	n_assemblies	kmers_1_assembly	kmers_all_assemblies	pangenome_ratio	n_for_95pct	n_for_99pct	saturate_5pct	saturate_2pct	saturate_1pct	n_congener_taxa	frac_shared_1_assembly	frac_shared_all
13684	Parastagonospora nodorum	Parastagonospora	156	19851280	30972200	1.5602	68	129	3	6	10	0	0.0	0.0
5507	Fusarium oxysporum	Fusarium	55	22803136	116495400	5.1087	47	53	6	20	31	85	0.765141	0.389881
318829	Pyricularia oryzae	Pyricularia	45	16261680	25184400	1.5487	26	41	4	7	11	3	0.906266	0.681207
5061	Aspergillus niger	Aspergillus	42	16665152	57477600	3.449	38	41	7	11	13	3	0.009829	0.004475
456999	Rhizoctonia solani	Rhizoctonia	25	14427840	207335800	14.3705	23	25	14			0	0.0	0.0
45151	Pyrenophora tritici-repentis	Pyrenophora	24	15579576	21570800	1.3846	16	22	3	5	10	2	0.121276	0.1016
5127	Fusarium fujikuroi	Fusarium	18	20862160	32166200	1.5418	13	17	4	6	12	85	0.774438	0.652175
29920	Phytophthora cactorum	Phytophthora	18	25702440	37194600	1.4471	13	17	3	6	14	18	0.716035	0.559963
1051616	Verticillium nonalfalfae	Verticillium	17	13165432	14987400	1.1384	6	12	2	3	6	4	0.703166	0.681613
5518	Fusarium graminearum	Fusarium	16	18246224	26759200	1.4666	12	15	4	7	14	85	0.766309	0.598426
5523	Fusarium lateritium	Fusarium	15	17034384	116042800	6.8123	14	15	12			85	0.396386	0.36348
1715230	Fusarium cf. solani	Fusarium	14	19566656	63232400	3.2316	12	14	9	13		85	0.884571	0.674942
5059	Aspergillus flavus	Aspergillus	13	18251768	27000400	1.4793	9	13	4	8		3	0.002469	0.001963
40559	Botrytis cinerea	Botrytis	12	16610672	26376400	1.5879	10	12	5	10		6	0.199613	0.147041
27337	Verticillium dahliae	Verticillium	11	13791080	20159800	1.4618	8	11	4	8	9	4	0.914884	0.767071
948311	Fusarium proliferatum	Fusarium	9	21554680	50227200	2.3302	8	9	9			85	0.847052	0.680607
53985	Phytophthora fragariae	Phytophthora	9	29468552	37602800	1.276	6	9	3	5	8	18	0.719726	0.63858
5516	Fusarium culmorum	Fusarium	8	16412848	20455200	1.2463	5	8	3	6		85	0.709317	0.647581
4792	Phytophthora nicotianae	Phytophthora	8	23503064	34265000	1.4579	6	8	4	7		18	0.054181	0.043829
3469074	[Neocosmospora] sp. B6999-1	[Neocosmospora]	7	21057832	22883200	1.0867	2	5	2	3	5	4	0.869231	0.854041
3469077	[Neocosmospora] sp. B6999-4	[Neocosmospora]	7	22482608	23885800	1.0624	2	5	2	3	4	4	0.843906	0.825637
5016	Bipolaris maydis	Bipolaris	7	16435656	18342200	1.116	3	6	2	5	5	5	0.259158	0.245194
27350	Puccinia striiformis	Puccinia	7	17474720	30908800	1.7688	6	7	5			3	0.002651	0.001967
208348	Puccinia triticina	Puccinia	7	15842080	27434200	1.7317	6	7	6			3	0.00732	0.004695
120017	Ustilago hordei	Ustilago	7	11981864	13045200	1.0887	3	6	2	3	5	2	0.529358	0.495063
164328	Phytophthora ramorum	Phytophthora	7	20223488	29333200	1.4505	6	7	4			18	0.041054	0.03313
5499	Fulvia fulva	Fulvia	6	18424504	18843800	1.0228	1	3	2	2	3	0	0.0	0.0
