genus	deep_species	shallow_species	deep_depth	shallow_pangenome_kmers	overlap_kmers	ambiguous_at_b1	ambiguous_at_b4	frac_misassigned_at_b1	frac_misassigned_at_b4	misassigned_at_b1	misassigned_at_b4
Aspergillus	Aspergillus flavus	Aspergillus niger	1	57477600	37800	25200	29000	0.000219	0.000153	12600	8800
Aspergillus	Aspergillus flavus	Aspergillus niger	2	57477600	38600	25400	29800	0.00023	0.000153	13200	8800
Aspergillus	Aspergillus flavus	Aspergillus niger	3	57477600	40600	26000	31000	0.000254	0.000167	14600	9600
Aspergillus	Aspergillus flavus	Aspergillus niger	4	57477600	41200	26000	31200	0.000264	0.000174	15200	10000
Aspergillus	Aspergillus flavus	Aspergillus niger	5	57477600	41400	26000	31200	0.000268	0.000177	15400	10200
Aspergillus	Aspergillus flavus	Aspergillus niger	6	57477600	41400	26000	31200	0.000268	0.000177	15400	10200
Aspergillus	Aspergillus flavus	Aspergillus niger	7	57477600	42000	26000	31200	0.000278	0.000188	16000	10800
Aspergillus	Aspergillus flavus	Aspergillus niger	8	57477600	42000	26000	31200	0.000278	0.000188	16000	10800
Aspergillus	Aspergillus flavus	Aspergillus niger	9	57477600	42000	26000	31200	0.000278	0.000188	16000	10800
Aspergillus	Aspergillus flavus	Aspergillus niger	10	57477600	42000	26000	31200	0.000278	0.000188	16000	10800
Aspergillus	Aspergillus flavus	Aspergillus niger	11	57477600	42000	26000	31200	0.000278	0.000188	16000	10800
Aspergillus	Aspergillus flavus	Aspergillus niger	12	57477600	42200	26000	31200	0.000282	0.000191	16200	11000
Aspergillus	Aspergillus flavus	Aspergillus niger	13	57477600	44800	26000	32400	0.000327	0.000216	18800	12400
Aspergillus	Aspergillus niger	Aspergillus flavus	1	27000400	26000	25200	26000	3e-05	0.0	800	0
Aspergillus	Aspergillus niger	Aspergillus flavus	2	27000400	29000	27000	28600	7.4e-05	1.5e-05	2000	400
Aspergillus	Aspergillus niger	Aspergillus flavus	3	27000400	30600	28400	30200	8.1e-05	1.5e-05	2200	400
Aspergillus	Aspergillus niger	Aspergillus flavus	4	27000400	32400	29000	31200	0.000126	4.4e-05	3400	1200
Aspergillus	Aspergillus niger	Aspergillus flavus	5	27000400	33400	29200	31600	0.000156	6.7e-05	4200	1800
Aspergillus	Aspergillus niger	Aspergillus flavus	6	27000400	34000	29600	32000	0.000163	7.4e-05	4400	2000
Aspergillus	Aspergillus niger	Aspergillus flavus	7	27000400	34400	29800	32400	0.00017	7.4e-05	4600	2000
Aspergillus	Aspergillus niger	Aspergillus flavus	8	27000400	34800	30200	32800	0.00017	7.4e-05	4600	2000
Aspergillus	Aspergillus niger	Aspergillus flavus	9	27000400	36200	30600	33200	0.000207	0.000111	5600	3000
Aspergillus	Aspergillus niger	Aspergillus flavus	10	27000400	36600	30600	33600	0.000222	0.000111	6000	3000
Aspergillus	Aspergillus niger	Aspergillus flavus	11	27000400	36800	30600	33600	0.00023	0.000119	6200	3200
Aspergillus	Aspergillus niger	Aspergillus flavus	12	27000400	36800	30600	33600	0.00023	0.000119	6200	3200
Aspergillus	Aspergillus niger	Aspergillus flavus	13	27000400	36800	30600	33600	0.00023	0.000119	6200	3200
Aspergillus	Aspergillus niger	Aspergillus flavus	14	27000400	36800	30600	33600	0.00023	0.000119	6200	3200
Aspergillus	Aspergillus niger	Aspergillus flavus	15	27000400	36800	30600	33600	0.00023	0.000119	6200	3200
Aspergillus	Aspergillus niger	Aspergillus flavus	16	27000400	36800	30600	33600	0.00023	0.000119	6200	3200
Aspergillus	Aspergillus niger	Aspergillus flavus	17	27000400	37800	31600	34600	0.00023	0.000119	6200	3200
Aspergillus	Aspergillus niger	Aspergillus flavus	18	27000400	37800	31600	34600	0.00023	0.000119	6200	3200
Aspergillus	Aspergillus niger	Aspergillus flavus	19	27000400	37800	31600	34600	0.00023	0.000119	6200	3200
Aspergillus	Aspergillus niger	Aspergillus flavus	20	27000400	38000	31800	34800	0.00023	0.000119	6200	3200
