taxid	name	kingdom	n_total	n_scaffold_plus	n_annotated	best_level	date_min	date_max	n_countries	countries
5507	Fusarium oxysporum	fungal	838	524	70	Complete Genome	2011-08-05	2026-08-06	42	Australia; Belgium; Brazil; Canada; China; Colombia; Comoros; Costa Rica; Ethiopia; France; Germany; Greece; India; Indonesia; Iran; Israel; Italy; Japan; Malaysia; Morocco
318829	Pyricularia oryzae	fungal	604	453	63	Complete Genome	2011-10-14	2026-08-04	34	Bangladesh; Bolivia; Brazil; China; Costa Rica; Cote d'Ivoire; Ethiopia; France; French Guiana; Germany; Ghana; Guyana; India; Indonesia; Italy; Japan; Kenya; Mali; NA; None
5059	Aspergillus flavus	fungal	343	264	14	Complete Genome	2015-03-13	2026-07-06	18	Australia; China; Ethiopia; France; Germany; India; Japan; Kenya; Mexico; NA; Nigeria; South Korea; Spain; Thailand; USA; Uganda; Unknown; missing
282267	Fusarium asiaticum	fungal	257	10	0	Complete Genome	2016-08-31	2025-08-12	5	Brazil; China; Japan; Nepal; South Korea
176275	Beauveria bassiana	fungal	227	35	12	Complete Genome	2012-08-14	2026-05-15	43	Australia; Austria; Brazil; Bulgaria; Cameroon; Chile; China; Colombia; Costa Rica; Cote d'Ivoire; Denmark; France; Georgia; Germany; Greece; Honduras; Hong Kong; Hungary; India; Iran
13684	Parastagonospora nodorum	fungal	180	173	156	Complete Genome	2007-11-20	2021-10-25	10	Australia; Brazil; China; Finland; Iran; South Africa; Sweden; Switzerland; USA; Unknown
5599	Alternaria alternata	fungal	150	69	35	Complete Genome	2015-11-13	2026-07-13	15	Canada; Chile; China; Ethiopia; India; Iraq; Israel; Japan; Korea; None; Peru; South Africa; South Korea; USA; missing
55169	Botryosphaeria dothidea	fungal	141	131	2	Scaffold	2016-08-31	2026-07-13	4	Canada; China; India; missing
5518	Fusarium graminearum	fungal	137	126	19	Complete Genome	2008-11-21	2026-02-24	20	Argentina; Australia; Belgium; Canada; China; Ethiopia; France; Germany; India; Iran; Italy; Luxembourg; Netherlands; Poland; Russia; Serbia; South Africa; South Korea; USA; unknown
5061	Aspergillus niger	fungal	128	106	46	Complete Genome	2007-04-11	2026-07-27	21	Australia; Brazil; China; Denmark; France; India; Italy; Japan; Mexico; Netherlands; Norway; Pakistan; Peru; Portugal; South Korea; Thailand; Turkey; USA; Unknown; missing
