run	top_host	top_pathogen	masked_host_pct	unmasked_host_pct	pathogens_host_pct	masked_host_sp	unmasked_host_sp	pathogens_host_sp	masked_path_pct	unmasked_path_pct	pathogens_path_pct	masked_path_sp	unmasked_path_sp	pathogens_path_sp	masked_total_pct	unmasked_total_pct	pathogens_total_pct
ERR12013055	Triticum aestivum	Zymoseptoria tritici	0.58	5.0	0.0	6	15	0	6.22	39.66	7.07	7	8	9	8.5	71.44	7.3
ERR12013064	Castanea mollissima	Puccinia graminis	0.71	2.39	0.0	2	10	0	2.12	19.62	3.4	17	24	20	4.27	50.0	4.15
ERR15005467	Triticum aestivum	Puccinia triticina	1.1	9.9	0.0	6	17	0	5.41	6.22	5.47	8	11	10	6.9	61.89	5.7
ERR15005503	Triticum aestivum	Zymoseptoria tritici	1.1	5.92	0.0	7	14	0	16.01	17.94	16.09	6	8	7	17.84	45.18	16.66
ERR15005509	Triticum aestivum	Puccinia triticina	0.98	6.14	0.0	8	16	0	11.25	13.14	11.33	3	6	4	12.61	63.36	11.58
ERR15005518	Triticum aestivum	Puccinia triticina	1.37	7.99	0.0	7	16	0	4.54	5.31	4.57	6	8	6	6.78	43.52	5.2
ERR15005537	Triticum aestivum	Puccinia triticina	1.14	5.43	0.0	5	11	0	9.78	11.67	9.84	8	13	8	12.29	29.7	11.02
ERR1607768	Triticum aestivum	Puccinia striiformis	1.33	11.34	0.0	5	13	0	15.12	20.35	0.0	9	22	0	16.84	61.83	0
ERR1607770	Castanea mollissima	Puccinia striiformis	0.38	1.63	0.0	6	16	0	10.13	17.97	11.16	20	25	22	11.0	40.34	11.59
ERR1607794	Triticum aestivum	Puccinia striiformis	0.15	1.39	0.0	4	13	0	31.24	44.32	0.0	11	21	0	31.78	57.84	0
ERR1607838	Triticum aestivum	Puccinia striiformis	0.45	4.46	0.0	4	9	0	17.98	25.27	0.0	15	21	0	19.21	54.88	0
ERR1607841	Triticum aestivum	Puccinia striiformis	0.31	3.23	0.0	5	15	0	26.56	38.82	26.94	13	22	16	27.2	62.43	27.23
ERR1607846	Triticum aestivum	Puccinia striiformis	0.39	3.46	0.0	4	10	0	36.75	51.02	0.0	11	18	0	37.5	71.64	0
ERR3170185	Triticum aestivum	Puccinia striiformis	0.54	6.09	0.0	6	13	0	25.61	37.89	26.06	7	11	9	26.41	73.8	26.21
ERR3170187	Triticum aestivum	Puccinia striiformis	0.4	4.19	0.0	6	12	0	26.68	38.54	27.12	13	18	15	27.42	66.27	27.41
ERR3170212	Triticum aestivum	Puccinia striiformis	0.9	9.52	0.0	5	12	0	26.18	37.03	26.47	4	7	6	27.43	80.41	26.63
ERR3170237	Triticum aestivum	Puccinia striiformis	0.53	2.62	0.0	8	15	0	40.38	55.47	40.62	7	13	9	41.14	74.09	40.82
ERR4315280	Castanea mollissima	Puccinia striiformis	1.09	2.69	0.0	1	7	0	6.67	14.91	8.15	11	20	14	8.77	52.05	9.84
ERR4315308	Castanea mollissima	Puccinia striiformis	0.44	2.86	0.0	7	12	0	14.77	23.38	15.23	15	23	17	15.97	49.6	16.06
ERR4315440	Triticum aestivum	Puccinia striiformis	1.24	11.11	0.0	6	13	0	20.21	29.17	20.45	6	9	9	21.75	75.54	20.57
ERR4315587	Castanea mollissima	Puccinia striiformis	0.28	0.8	0.0	1	5	0	3.12	5.82	3.36	19	26	21	4.49	27.86	4.44
