org_key	organism	tier	BioProject	Run	euk_pct	analyzed	library_detected
pst	Puccinia striiformis f. sp. tritici	zero	PRJEB39756	ERR4421882	0.0	8797530	False
pst	Puccinia striiformis f. sp. tritici	zero	PRJEB39201	ERR4315255	0.0	18374114	False
pst	Puccinia striiformis f. sp. tritici	zero	PRJNA1250817	SRR33330098	0.0	27886928	False
pst	Puccinia striiformis f. sp. tritici	zero	PRJNA545454	SRR9185093	0.0	3449798	False
pst	Puccinia striiformis f. sp. tritici	zero	PRJEB50522	ERR8571419	0.0	16910522	False
pst	Puccinia striiformis f. sp. tritici	low	PRJNA588102	SRR10406083	0.71	44979674	True
pst	Puccinia striiformis f. sp. tritici	low	PRJEB39756	ERR4421881	0.25	18089475	False
pst	Puccinia striiformis f. sp. tritici	low	PRJNA749614	SRR15357733	0.12	77795231	False
pst	Puccinia striiformis f. sp. tritici	low	PRJEB36485	ERR3856820	0.57	12643738	False
pst	Puccinia striiformis f. sp. tritici	low	PRJEB39201	ERR4315412	0.48	19581968	False
pst	Puccinia striiformis f. sp. tritici	high	PRJNA545454	SRR9185094	1.07	4602393	True
pst	Puccinia striiformis f. sp. tritici	high	PRJEB49021	ERR7430038	18.36	26094933	True
pst	Puccinia striiformis f. sp. tritici	high	PRJNA1231252	SRR32620577	51.93	13661330	True
pst	Puccinia striiformis f. sp. tritici	high	PRJEB77002	ERR13340223	42.19	9988658	True
pst	Puccinia striiformis f. sp. tritici	high	PRJNA256347	SRR1576668	22.97	36721685	True
pgt	Puccinia graminis f. sp. tritici	zero	PRJNA415866	SRR6242050	0.0	124942306	False
pgt	Puccinia graminis f. sp. tritici	zero	PRJNA347320	SRR5010605	0.0	42467874	False
pgt	Puccinia graminis f. sp. tritici	zero	PRJNA415866	SRR6242041	0.0	28585986	False
pgt	Puccinia graminis f. sp. tritici	zero	PRJNA347320	SRR5010592	0.0	47860040	False
pgt	Puccinia graminis f. sp. tritici	zero	PRJNA415866	SRR6242052	0.0	126787946	False
pgt	Puccinia graminis f. sp. tritici	low	PRJNA347320	SRR5010572	0.33	49584374	False
pgt	Puccinia graminis f. sp. tritici	low	PRJNA313195	SRR3233296	0.22	39588495	False
pgt	Puccinia graminis f. sp. tritici	low	PRJNA415866	SRR6242055	0.23	83889930	False
pgt	Puccinia graminis f. sp. tritici	low	PRJNA347320	SRR5010600	0.56	50325713	False
pgt	Puccinia graminis f. sp. tritici	low	PRJNA347320	SRR5010591	0.5	36590426	True
pgt	Puccinia graminis f. sp. tritici	high	PRJNA1292970	SRR34575230	50.78	16924569	True
pgt	Puccinia graminis f. sp. tritici	high	PRJEB47693	ERR6847894	36.81	22957893	True
pgt	Puccinia graminis f. sp. tritici	high	PRJNA347320	SRR5010603	2.26	37957813	True
pgt	Puccinia graminis f. sp. tritici	high	PRJEB65589	ERR12013048	51.48	9941487	True
pgt	Puccinia graminis f. sp. tritici	high	PRJEB22223	ERR2099149	61.39	7950400	True
por	Pyricularia oryzae	zero	PRJEB45007	ERR5928204	0.0	36481497	False
por	Pyricularia oryzae	zero	PRJNA325291	SRR3657378	0.0	64499249	False
por	Pyricularia oryzae	zero	PRJNA1279063	SRR34026577	0.0	14298810	False
por	Pyricularia oryzae	zero	PRJNA526829	SRR8718829	0.0	21861362	False
por	Pyricularia oryzae	zero	PRJEB45007	ERR5928199	0.0	17072758	False
por	Pyricularia oryzae	low	PRJNA849030	SRR19648077	0.21	27843834	False
por	Pyricularia oryzae	low	PRJNA526829	SRR8718808	0.11	21915623	False
por	Pyricularia oryzae	low	PRJEB53625	ERR9860267	0.72	48357893	False
por	Pyricularia oryzae	low	PRJDB8014	DRR195594	0.89	18336408	True
por	Pyricularia oryzae	low	PRJDB15953	DRR477884	0.86	159315103	True
por	Pyricularia oryzae	high	PRJNA355407	SRR9127602	8.01	130732070	True
por	Pyricularia oryzae	high	PRJDB15953	DRR477885	2.08	62774637	True
por	Pyricularia oryzae	high	PRJNA646251	SRR12319310	28.37	1107318	True
por	Pyricularia oryzae	high	PRJNA418175	SRR6286283	1.7	25115266	True
por	Pyricularia oryzae	high	PRJEB45007	ERR5928159	18.66	24014042	True
