org_key	organism	tier	BioProject	Run	euk_pct	analyzed	library_detected	kallisto_pct	pst_pct	pgt_pct	por_pct	pct_classified	error
pst	Puccinia striiformis f. sp. tritici	zero	PRJEB39756	ERR4421882	0.0	8797530	False	63.200	65.81	0.0	0.0	65.81	
pst	Puccinia striiformis f. sp. tritici	zero	PRJEB39201	ERR4315255	0.0	18374114	False	31.100	32.24	0.0	0.0	32.24	
pst	Puccinia striiformis f. sp. tritici	zero	PRJNA1250817	SRR33330098	0.0	27886928	False	0.100	0.06	0.0	0.02	0.07	
pst	Puccinia striiformis f. sp. tritici	zero	PRJNA545454	SRR9185093	0.0	3449798	False	0.300	0.29	0.0	0.0	0.29	
pst	Puccinia striiformis f. sp. tritici	zero	PRJEB50522	ERR8571419	0.0	16910522	False	0.400	0.22	0.0	0.0	0.22	
pst	Puccinia striiformis f. sp. tritici	low	PRJNA588102	SRR10406083	0.71	44979674	True	5.300	5.81	0.0	0.01	5.81	
pst	Puccinia striiformis f. sp. tritici	low	PRJEB39756	ERR4421881	0.25	18089475	False	65.400	68.45	0.0	0.0	68.45	
pst	Puccinia striiformis f. sp. tritici	low	PRJNA749614	SRR15357733	0.12	77795231	False	2.300	2.36	0.0	0.01	2.37	
pst	Puccinia striiformis f. sp. tritici	low	PRJEB36485	ERR3856820	0.57	12643738	False	44.700	47.63	0.0	0.0	47.63	
pst	Puccinia striiformis f. sp. tritici	low	PRJEB39201	ERR4315412	0.48	19581968	False	7.600	5.83	0.0	0.01	5.86	
pst	Puccinia striiformis f. sp. tritici	high	PRJNA545454	SRR9185094	1.07	4602393	True	22.800	25.43	0.0	0.0	25.43	
pst	Puccinia striiformis f. sp. tritici	high	PRJEB49021	ERR7430038	18.36	26094933	True	24.300	23.17	0.0	0.0	23.18	
pst	Puccinia striiformis f. sp. tritici	high	PRJNA1231252	SRR32620577	51.93	13661330	True	54.200	55.13	0.0	0.0	55.13	
pst	Puccinia striiformis f. sp. tritici	high	PRJEB77002	ERR13340223	42.19	9988658	True	34.500	35.32	0.0	0.26	35.59	
pst	Puccinia striiformis f. sp. tritici	high	PRJNA256347	SRR1576668	22.97	36721685	True	21.000	23.5	0.0	0.08	23.58	
pgt	Puccinia graminis f. sp. tritici	zero	PRJNA415866	SRR6242050	0.0	124942306	False	0.200	0.18	0.0	0.02	0.19	
pgt	Puccinia graminis f. sp. tritici	zero	PRJNA347320	SRR5010605	0.0	42467874	False	7.000	1.92	0.0	0.01	1.92	
pgt	Puccinia graminis f. sp. tritici	zero	PRJNA415866	SRR6242041	0.0	28585986	False	0.200	0.12	0.0	0.02	0.15	
pgt	Puccinia graminis f. sp. tritici	zero	PRJNA347320	SRR5010592	0.0	47860040	False	0.300	0.18	0.0	0.04	0.23	
pgt	Puccinia graminis f. sp. tritici	zero	PRJNA415866	SRR6242052	0.0	126787946	False	0.300	0.13	0.0	0.03	0.16	
pgt	Puccinia graminis f. sp. tritici	low	PRJNA347320	SRR5010572	0.33	49584374	False	0.600	0.19	0.0	0.02	0.21	
pgt	Puccinia graminis f. sp. tritici	low	PRJNA313195	SRR3233296	0.22	39588495	False	0.400	0.1	0.0	0.01	0.12	
pgt	Puccinia graminis f. sp. tritici	low	PRJNA415866	SRR6242055	0.23	83889930	False	0.500	0.18	0.0	0.03	0.21	
pgt	Puccinia graminis f. sp. tritici	low	PRJNA347320	SRR5010600	0.56	50325713	False	1.000	0.14	0.0	0.02	0.16	
pgt	Puccinia graminis f. sp. tritici	low	PRJNA347320	SRR5010591	0.5	36590426	True	0.900	0.28	0.0	0.02	0.31	
pgt	Puccinia graminis f. sp. tritici	high	PRJNA1292970	SRR34575230	50.78	16924569	True	55.500	18.16	0.0	0.0	18.18	
pgt	Puccinia graminis f. sp. tritici	high	PRJEB47693	ERR6847894	36.81	22957893	True	34.500	12.96	0.0	0.05	13.03	
pgt	Puccinia graminis f. sp. tritici	high	PRJNA347320	SRR5010603	2.26	37957813	True	3.600	0.52	0.0	0.03	0.56	
pgt	Puccinia graminis f. sp. tritici	high	PRJEB65589	ERR12013048	51.48	9941487	True	44.000	7.59	0.0	0.17	7.77	
pgt	Puccinia graminis f. sp. tritici	high	PRJEB22223	ERR2099149	61.39	7950400	True	70.400	5.02	0.0	0.01	5.06	
por	Pyricularia oryzae	zero	PRJEB45007	ERR5928204	0.0	36481497	False	0.200	0.1	0.0	0.04	0.14	
por	Pyricularia oryzae	zero	PRJNA325291	SRR3657378	0.0	64499249	False	0.100	0.03	0.0	0.04	0.07	
por	Pyricularia oryzae	zero	PRJNA1279063	SRR34026577	0.0	14298810	False	1.100	0.4	0.0	0.04	0.45	
por	Pyricularia oryzae	zero	PRJNA526829	SRR8718829	0.0	21861362	False	0.100	3.75	0.0	0.02	3.77	
por	Pyricularia oryzae	zero	PRJEB45007	ERR5928199	0.0	17072758	False	0.100	0.08	0.0	0.01	0.09	
por	Pyricularia oryzae	low	PRJNA849030	SRR19648077	0.21	27843834	False	0.800	0.08	0.0	0.7	0.78	
por	Pyricularia oryzae	low	PRJNA526829	SRR8718808	0.11	21915623	False	0.100	4.32	0.0	0.08	4.4	
por	Pyricularia oryzae	low	PRJEB53625	ERR9860267	0.72	48357893	False	0.800	0.07	0.0	0.69	0.77	
por	Pyricularia oryzae	low	PRJDB8014	DRR195594	0.89	18336408	True	1.300	0.04	0.0	1.34	1.38	
por	Pyricularia oryzae	low	PRJDB15953	DRR477884	0.86	159315103	True	0.900	0.28	0.0	0.92	1.2	
por	Pyricularia oryzae	high	PRJNA355407	SRR9127602	8.01	130732070	True	9.200	0.03	0.0	9.78	9.81	
por	Pyricularia oryzae	high	PRJDB15953	DRR477885	2.08	62774637	True	2.000	0.2	0.0	2.15	2.35	
por	Pyricularia oryzae	high	PRJNA646251	SRR12319310	28.37	1107318	True	43.600	0.1	0.0	44.57	44.68	
por	Pyricularia oryzae	high	PRJNA418175	SRR6286283	1.7	25115266	True	2.000	0.03	0.0	1.97	2.0	
por	Pyricularia oryzae	high	PRJEB45007	ERR5928159	18.66	24014042	True	18.600	0.1	0.0	19.04	19.15	
