taxid	organism_name	genus	n_assemblies	quality_kmers	quality_new	quality_frac_new	quality_shared_congener	quality_frac_shared	mean_kmers	mean_new	mean_frac_new	mean_frac_shared	n_congener_taxa	permutations
13684	Parastagonospora nodorum	Parastagonospora	1	19705000	19705000	1.0	0	0.0	19851280	19851280	1.0	0.0	0	25
13684	Parastagonospora nodorum	Parastagonospora	2	19778000	73000	0.003691	0	0.0	21862488	2011208	0.091994	0.0	0	25
13684	Parastagonospora nodorum	Parastagonospora	3	19813200	35200	0.001777	0	0.0	22843560	981072	0.042947	0.0	0	25
13684	Parastagonospora nodorum	Parastagonospora	4	21698600	1885400	0.08689	0	0.0	23577712	734152	0.031138	0.0	0	25
13684	Parastagonospora nodorum	Parastagonospora	5	22610800	912200	0.040344	0	0.0	24157888	580176	0.024016	0.0	0	25
13684	Parastagonospora nodorum	Parastagonospora	6	23290200	679400	0.029171	0	0.0	24567216	409328	0.016662	0.0	0	25
13684	Parastagonospora nodorum	Parastagonospora	7	23302000	11800	0.000506	0	0.0	24863976	296760	0.011935	0.0	0	25
13684	Parastagonospora nodorum	Parastagonospora	8	23318600	16600	0.000712	0	0.0	25178928	314952	0.012509	0.0	0	25
13684	Parastagonospora nodorum	Parastagonospora	9	23329600	11000	0.000472	0	0.0	25538560	359632	0.014082	0.0	0	25
13684	Parastagonospora nodorum	Parastagonospora	10	23876200	546600	0.022893	0	0.0	25718904	180344	0.007012	0.0	0	25
13684	Parastagonospora nodorum	Parastagonospora	11	24241600	365400	0.015073	0	0.0	25912064	193160	0.007454	0.0	0	25
13684	Parastagonospora nodorum	Parastagonospora	12	24848600	607000	0.024428	0	0.0	26053368	141304	0.005424	0.0	0	25
13684	Parastagonospora nodorum	Parastagonospora	13	24852800	4200	0.000169	0	0.0	26197400	144032	0.005498	0.0	0	25
13684	Parastagonospora nodorum	Parastagonospora	14	24857000	4200	0.000169	0	0.0	26310736	113336	0.004308	0.0	0	25
13684	Parastagonospora nodorum	Parastagonospora	15	24859800	2800	0.000113	0	0.0	26430288	119552	0.004523	0.0	0	25
13684	Parastagonospora nodorum	Parastagonospora	16	25093000	233200	0.009293	0	0.0	26545624	115336	0.004345	0.0	0	25
13684	Parastagonospora nodorum	Parastagonospora	17	25312200	219200	0.00866	0	0.0	26686608	140984	0.005283	0.0	0	25
13684	Parastagonospora nodorum	Parastagonospora	18	25314600	2400	9.5e-05	0	0.0	26851752	165144	0.00615	0.0	0	25
13684	Parastagonospora nodorum	Parastagonospora	19	25318400	3800	0.00015	0	0.0	26918640	66888	0.002485	0.0	0	25
13684	Parastagonospora nodorum	Parastagonospora	20	25460600	142200	0.005585	0	0.0	27024512	105872	0.003918	0.0	0	25
13684	Parastagonospora nodorum	Parastagonospora	21	25624000	163400	0.006377	0	0.0	27133392	108880	0.004013	0.0	0	25
13684	Parastagonospora nodorum	Parastagonospora	22	25776200	152200	0.005905	0	0.0	27241256	107864	0.00396	0.0	0	25
13684	Parastagonospora nodorum	Parastagonospora	23	25939400	163200	0.006292	0	0.0	27326488	85232	0.003119	0.0	0	25
13684	Parastagonospora nodorum	Parastagonospora	24	26094200	154800	0.005932	0	0.0	27386400	59912	0.002188	0.0	0	25
13684	Parastagonospora nodorum	Parastagonospora	25	26189400	95200	0.003635	0	0.0	27449960	63560	0.002315	0.0	0	25
13684	Parastagonospora nodorum	Parastagonospora	26	26286400	97000	0.00369	0	0.0	27531040	81080	0.002945	0.0	0	25
13684	Parastagonospora nodorum	Parastagonospora	27	26383600	97200	0.003684	0	0.0	27589240	58200	0.00211	0.0	0	25
13684	Parastagonospora nodorum	Parastagonospora	28	26674800	291200	0.010917	0	0.0	27688656	99416	0.00359	0.0	0	25
13684	Parastagonospora nodorum	Parastagonospora	29	26684200	9400	0.000352	0	0.0	27750952	62296	0.002245	0.0	0	25
13684	Parastagonospora nodorum	Parastagonospora	30	26744200	60000	0.002243	0	0.0	27826184	75232	0.002704	0.0	0	25
13684	Parastagonospora nodorum	Parastagonospora	31	26793200	49000	0.001829	0	0.0	27903432	77248	0.002768	0.0	0	25
13684	Parastagonospora nodorum	Parastagonospora	32	26857600	64400	0.002398	0	0.0	27947520	44088	0.001578	0.0	0	25
13684	Parastagonospora nodorum	Parastagonospora	33	26863600	6000	0.000223	0	0.0	27984104	36584	0.001307	0.0	0	25
13684	Parastagonospora nodorum	Parastagonospora	34	26946000	82400	0.003058	0	0.0	28039352	55248	0.00197	0.0	0	25
13684	Parastagonospora nodorum	Parastagonospora	35	26957800	11800	0.000438	0	0.0	28079568	40216	0.001432	0.0	0	25
13684	Parastagonospora nodorum	Parastagonospora	36	26960800	3000	0.000111	0	0.0	28121592	42024	0.001494	0.0	0	25
13684	Parastagonospora nodorum	Parastagonospora	37	26963600	2800	0.000104	0	0.0	28157200	35608	0.001265	0.0	0	25
13684	Parastagonospora nodorum	Parastagonospora	38	27037600	74000	0.002737	0	0.0	28275368	118168	0.004179	0.0	0	25
13684	Parastagonospora nodorum	Parastagonospora	39	27037800	200	7e-06	0	0.0	28318640	43272	0.001528	0.0	0	25
13684	Parastagonospora nodorum	Parastagonospora	40	27113800	76000	0.002803	0	0.0	28390872	72232	0.002544	0.0	0	25
