label	species	n_biosamples	family
Triticum_aestivum	Triticum aestivum	1258	Poaceae
Triticum_durum	Triticum durum	1	Poaceae
Hordeum_vulgare	Hordeum vulgare	45	Poaceae
Musa_acuminata	Musa acuminata	19	Musaceae
Theobroma_cacao	Theobroma cacao	10	Malvaceae
Malus_domestica	Malus domestica	30	Rosaceae
Malus_pumila	Malus pumila	8	Rosaceae
Camellia_sinensis	Camellia sinensis	1	
Citrus_sinensis	Citrus sinensis	7	Rutaceae
Solanum_tuberosum	Solanum tuberosum	14	Solanaceae
Hibiscus_rosa_sinensis	Hibiscus rosa-sinensis	3	Malvaceae
Dieffenbachia_sp_	Dieffenbachia sp.	1	
Swinglea_glutinosa	Swinglea glutinosa	3	Rutaceae
Citrus_spp_	Citrus spp.	2	Rutaceae
Zea_mays	Zea mays	149	Poaceae
Camellia_oleifera	Camellia oleifera	7	
Oryza_sativa	Oryza sativa	110	Poaceae
Solanum_lycopersicum	Solanum lycopersicum	70	Solanaceae
Arabidopsis_thaliana	Arabidopsis thaliana	27	Brassicaceae
Eleusine_coracana	Eleusine coracana	24	Poaceae
Brassica_napus	Brassica napus	74	Brassicaceae
Arachis_hypogaea	Arachis hypogaea	3	Fabaceae
Mangifera_indica	Mangifera indica	8	
Triticum	Triticum	3	Poaceae
Glycine_max	Glycine max	47	Fabaceae
Nicotiana_tabacum	Nicotiana tabacum	22	Solanaceae
Vitis_vinifera	Vitis vinifera	60	Vitaceae
Vitis_amurensis	Vitis amurensis	2	Vitaceae
Fragaria___ananassa	Fragaria × ananassa	1	Rosaceae
Triticale	Triticale	2	Poaceae
Cucumis_melo	Cucumis melo	1	Cucurbitaceae
Ocimum_basilicum	Ocimum basilicum	1	
Gossypium_hirsutum	Gossypium hirsutum	20	Malvaceae
Cucurbita_pepo	Cucurbita pepo	49	Cucurbitaceae
Verbena_officinalis	Verbena officinalis	1	
Vicia_faba	Vicia faba	1	Fabaceae
Cucumis_sativus	Cucumis sativus	58	Cucurbitaceae
Silene_latifolia	Silene latifolia	1	
Robinia_pseudoacacia	Robinia pseudoacacia	1	Fabaceae
Pisum_sativum	Pisum sativum	26	Fabaceae
Trifolium_subterraneum	Trifolium subterraneum	5	Fabaceae
Dendrochilum_magnum	Dendrochilum magnum	1	
Veronica_spicata	Veronica spicata	1	
Coriandrum_sativum	Coriandrum sativum	2	
Daucus_carota	Daucus carota	4	
Apium_graveolens	Apium graveolens	1	
Petroselinum_crispum	Petroselinum crispum	1	
Passiflora_edulis	Passiflora edulis	1	
Tropaeolum_tuberosum	Tropaeolum tuberosum	7	
Allium_sativum	Allium sativum	1	Amaryllidaceae
Hydrangea_macrophylla	Hydrangea macrophylla	1	
Iris_tectorum	Iris tectorum	1	
Angelica_keiskei	Angelica keiskei	1	
Sorghum_bicolor	Sorghum bicolor	1	Poaceae
Prunus_domestica	Prunus domestica	4	Rosaceae
Setaria_italica	Setaria italica	5	Poaceae
Pinus_massoniana	Pinus massoniana	2	
Lactuca_sativa	Lactuca sativa	35	Asteraceae
Prunus_persica	Prunus persica	3	Rosaceae
Cunninghamia_lanceolata	Cunninghamia lanceolata	3	
Fragaria_x_ananassa	Fragaria x ananassa	8	Rosaceae
Chrysanthemum_morifolium	Chrysanthemum morifolium	3	Asteraceae
Olea_europaea	Olea europaea	2	
Helianthus_annuus	Helianthus annuus	8	Asteraceae
Manihot_esculenta	Manihot esculenta	1	Euphorbiaceae
Triticum_turgidum	Triticum turgidum	3	Poaceae
Populus_x_canadensis	Populus x canadensis	1	
Ipomoea_batatas	Ipomoea batatas	1	
Brachypodium_distachyon	Brachypodium distachyon	1	Poaceae
