retrieved	oa_status	doi	bioproject	title
x	bronze	10.1016/j.molp.2020.08.001	PRJNA151401	Two replicates of mRNA from Arabidopsis thaliana leaves 24 hours post infection with Botrytis cinerea
x	bronze	10.1016/j.molp.2021.07.008	PRJNA738667	RNA-seq of ZmMM1 wild type and mutant after NLB inoculation
x	bronze	10.1038/s41396-021-01058-x	PRJNA670487	Transcriptional response to host chemical cues underpins the expansion of host range in a fungal plant pathogen lineage.
x	bronze	10.1093/aob/mcw272	PRJNA349155	Gene expression analysis in Musa acuminata during compatible interactions with Meloidogyne incognita
x	bronze	10.1093/jxb/erae050	PRJNA977839	Oligogalacturonide Sensing Increases Resistance to Fusarium Head Blight in Durum Wheat
x	bronze	10.1093/plcell/koab221	PRJNA739851	RNA Sequencing
x	bronze	10.1093/plcell/koac300	PRJNA869950	The Phytophthora nuclear effector targets the host transcriptional complex to modulate plant immunity
x	bronze	10.1094/MPMI-03-17-0054-R	PRJNA369690	Maize and Cercospora zeina transcriptome analysis during gray leaf spot foliar disease
x	bronze	10.1094/MPMI-04-18-0107-A	PRJNA422914	Genomic insights into host adaptation between the wheat stripe rust pathogen (Puccinia striiformis f. sp. tritici) and the barley stripe rust pathogen (Puccinia striiformis f. sp. hordei).
x	bronze	10.1094/MPMI-05-20-0109-A	PRJNA628162	Transcriptome Profiling Data of Botrytis cinerea Infection on Whole Plant Solanum lycopersicum.
x	bronze	10.1094/MPMI-12-17-0309-A	PRJNA391093	Alternaria solani isolate: altNL03003/CBS 143772 Gapless genome sequence
x	bronze	10.1094/PHYTO-07-20-0297-A	PRJNA637660	RNA-Seq of Lasiodiplodia theobromae strain GZHS-2017-010 after infecting tea leaves
x	bronze	10.1105/tpc.18.00930	PRJNA505891	Integrated Genome-Scale Analysis Identifies Novel Genes and Networks Underlying Senescence in Maize.
x	bronze	10.1111/nph.13087	PRJNA240125	Simultaneous transcriptome analysis of Colletotrichum gloeosporioides and tomato fruits response reveals novel fungal-fruit arm and defense strategies
x	bronze	10.1111/nph.13948	PRJNA260080	RNA-seq Analysis of VRF1 and VRF2-dependent Genes in the mycelia of Magnaporthe oryzae 70-15
x	bronze	10.1111/pce.12937	PRJNA336478	Molecular analysis of interaction between the grapevine flower and Botrytis cinerea
x	bronze	10.1111/pce.14579	PRJNA307989	Triticum aestivum cv. fielder infected with Fusarium graminearum raw sequence reads
x	bronze	10.1111/tpj.13419	PRJNA321325	Systems genetics reveals a transcriptional network associated with susceptibility in the maize-gray leaf spot pathosystem
x	bronze	10.1111/tpj.70472	PRJNA1166635	Transcriptomic analysis of Erwinia amylovora during colonization on trichomes of apple
x	bronze	10.1534/genetics.118.300478	PRJNA417591	Arachis hypogaea Raw sequence reads
