accession	tissue_raw	tissue_category
SAMN61519482	secondary vein, leaf 10	leaf
SAMN61519481	secondary vein, leaf 10	leaf
SAMN61519480	secondary vein, leaf 10	leaf
SAMN61519479	secondary vein, leaf 10	leaf
SAMN61519478	secondary vein, leaf 10	leaf
SAMN61519477	secondary vein, leaf 10	leaf
SAMN61519476	secondary vein, leaf 10	leaf
SAMN61519475	secondary vein, leaf 10	leaf
SAMN61519474	secondary vein, leaf 10	leaf
SAMN61519473	secondary vein, leaf 10	leaf
SAMN61519472	secondary vein, leaf 10	leaf
SAMN61519471	secondary vein, leaf 10	leaf
SAMN61519470	secondary vein, leaf 10	leaf
SAMN61519469	secondary vein, leaf 10	leaf
SAMN61519468	secondary vein, leaf 10	leaf
SAMN61519467	secondary vein, leaf 10	leaf
SAMN61519466	secondary vein, leaf 10	leaf
SAMN61519465	secondary vein, leaf 10	leaf
SAMN61519464	secondary vein, leaf 10	leaf
SAMN61519463	secondary vein, leaf 10	leaf
SAMN61519462	secondary vein, leaf 10	leaf
SAMN61519461	secondary vein, leaf 10	leaf
SAMN61519460	secondary vein, leaf 10	leaf
SAMN61519459	secondary vein, leaf 10	leaf
SAMN61519458	secondary vein, leaf 10	leaf
SAMN61519457	secondary vein, leaf 10	leaf
SAMN61519456	secondary vein, leaf 10	leaf
SAMN61519455	secondary vein, leaf 10	leaf
SAMN61519454	secondary vein, leaf 10	leaf
SAMN61519453	secondary vein, leaf 10	leaf
SAMN61519452	secondary vein, leaf 10	leaf
SAMN61519451	secondary vein, leaf 10	leaf
SAMN61519450	secondary vein, leaf 10	leaf
SAMN61519449	secondary vein, leaf 10	leaf
SAMN61519448	secondary vein, leaf 10	leaf
SAMN61519447	secondary vein, leaf 10	leaf
SAMN62256939	leaf	leaf
SAMN62256938	leaf	leaf
SAMN62256937	leaf	leaf
SAMN62256936	leaf	leaf
SAMN62256935	leaf	leaf
SAMN62256934	leaf	leaf
SAMN62256933	leaf	leaf
SAMN62256932	leaf	leaf
SAMN62256931	leaf	leaf
SAMN62256930	leaf	leaf
SAMN62256929	leaf	leaf
SAMN62256928	leaf	leaf
SAMN62256927	leaf	leaf
SAMN62256926	leaf	leaf
SAMN62256925	leaf	leaf
SAMN62256924	leaf	leaf
SAMN57088731	leaf	leaf
SAMN57088730	leaf	leaf
SAMN57088729	leaf	leaf
SAMN57088728	leaf	leaf
SAMN57088727	leaf	leaf
SAMN57088726	leaf	leaf
SAMN57088725	leaf	leaf
SAMN57088724	leaf	leaf
SAMN57088723	leaf	leaf
SAMN57088722	leaf	leaf
SAMN57088721	leaf	leaf
SAMN57088720	leaf	leaf
SAMN57088719	leaf	leaf
SAMN57088718	leaf	leaf
SAMN57088717	leaf	leaf
SAMN57088716	leaf	leaf
SAMN57088715	leaf	leaf
SAMN57088714	leaf	leaf
SAMN57088713	leaf	leaf
SAMN57088712	leaf	leaf
SAMN57088711	leaf	leaf
SAMN57088710	leaf	leaf
SAMN57088709	leaf	leaf
SAMN57088708	leaf	leaf
SAMN57088707	leaf	leaf
SAMN57088706	leaf	leaf
SAMN57088705	leaf	leaf
SAMN57088704	leaf	leaf
SAMN57088703	leaf	leaf
SAMN57088702	leaf	leaf
SAMN57088701	leaf	leaf
SAMN57088700	leaf	leaf
SAMN57088699	leaf	leaf
SAMN57088698	leaf	leaf
SAMN57088697	leaf	leaf
SAMN57088696	leaf	leaf
SAMN57088695	leaf	leaf
SAMN57088694	leaf	leaf
SAMN57088693	leaf	leaf
SAMN57088692	leaf	leaf
SAMN57088691	leaf	leaf
SAMN57088690	leaf	leaf
SAMN57088689	leaf	leaf
SAMN57088688	leaf	leaf
SAMN57088687	leaf	leaf
SAMN57088686	leaf	leaf
SAMN57088685	leaf	leaf
SAMN57088684	leaf	leaf
SAMN57088683	leaf	leaf
SAMN57088682	leaf	leaf
SAMN57088681	leaf	leaf
SAMN57088680	leaf	leaf
SAMN57088679	leaf	leaf
SAMN57088678	leaf	leaf
SAMN57088677	leaf	leaf
SAMN57088676	leaf	leaf
SAMN57088675	leaf	leaf
SAMN57088674	leaf	leaf
SAMN57088673	leaf	leaf
SAMN57088672	leaf	leaf
SAMN22074140	leaf and stem	leaf
SAMD01948562	shoot apex	aerial_other
SAMD01948561	leaflet	leaf
SAMN62208265	rosettes	aerial_other
SAMN62208264	rosettes	aerial_other
SAMN62208263	rosettes	aerial_other
SAMN62208262	rosettes	aerial_other
SAMN62208261	rosettes	aerial_other
SAMN62208260	rosettes	aerial_other
SAMN62208259	rosettes	aerial_other
SAMN62208258	rosettes	aerial_other
SAMN62208257	rosettes	aerial_other
SAMN62208256	rosettes	aerial_other
SAMN62208255	rosettes	aerial_other
SAMN62208254	rosettes	aerial_other
SAMN62208253	rosettes	aerial_other
SAMN62208252	rosettes	aerial_other
SAMN62208251	rosettes	aerial_other
SAMN62208250	rosettes	aerial_other
