label	species	n_single	n_multi	n_confirmed	family
Phaseolus_vulgaris	Phaseolus vulgaris	107	9	116	Fabaceae
IRL_clade	IRL clade	12	1	13	Fabaceae
Lactuca_sativa	Lactuca sativa	317	22	339	Asteraceae
Arabidopsis_thaliana	Arabidopsis thaliana	1714	91	1805	Brassicaceae
Theobroma_cacao	Theobroma cacao	9	2	11	Malvaceae
Quercus_lobata	Quercus lobata	0	1	1	
Capsicum_annuum	Capsicum annuum	81	31	112	Solanaceae
Aegilops_tauschii	Aegilops tauschii	12	6	18	Poaceae
Mangifera_indica	Mangifera indica	31	10	41	
Zea_mays	Zea mays	882	97	979	Poaceae
Solanum_lycopersicum	Solanum lycopersicum	553	120	673	Solanaceae
BOP_clade	BOP clade	201	7	208	Poaceae
Triticum_aestivum	Triticum aestivum	954	218	1172	Poaceae
Fragaria_vesca	Fragaria vesca	12	3	15	Rosaceae
Cucumis_melo	Cucumis melo	45	35	80	Cucurbitaceae
Solanum_pennellii	Solanum pennellii	6	9	15	Solanaceae
Ananas_comosus	Ananas comosus	0	1	1	
Hevea_brasiliensis	Hevea brasiliensis	0	1	1	Euphorbiaceae
Musa_acuminata	Musa acuminata	73	12	85	Musaceae
NPAAA_clade	NPAAA clade	35	1	36	Fabaceae
Cicer_arietinum	Cicer arietinum	67	52	119	Fabaceae
Solanum_tuberosum	Solanum tuberosum	343	58	401	Solanaceae
Aegilops_tauschii_subsp__tauschii	Aegilops tauschii subsp. tauschii	196	1	197	Poaceae
Brassica_napus	Brassica napus	222	10	232	Brassicaceae
Malus_domestica	Malus domestica	94	15	109	Rosaceae
Prunus_persica	Prunus persica	29	14	43	Rosaceae
Brassica_oleracea	Brassica oleracea	10	6	16	Brassicaceae
Hordeum_vulgare	Hordeum vulgare	162	32	194	Poaceae
Cucumis_sativus	Cucumis sativus	100	11	111	Cucurbitaceae
PACMAD_clade	PACMAD clade	56	1	57	Poaceae
Oryza_sativa	Oryza sativa	249	19	268	Poaceae
Heliantheae_alliance	Heliantheae alliance	15	1	16	Asteraceae
Arabidopsis_lyrata	Arabidopsis lyrata	0	1	1	Brassicaceae
Quercus_suber	Quercus suber	4	1	5	
Populus_alba	Populus alba	1	1	2	
Solanum_subgen__Lycopersicon	Solanum subgen. Lycopersicon	3	4	7	Solanaceae
Cucurbita_moschata	Cucurbita moschata	10	3	13	Cucurbitaceae
Citrus_sinensis	Citrus sinensis	29	6	35	Rutaceae
Daucus_carota	Daucus carota	37	3	40	
Daucus_carota_subsp__sativus	Daucus carota subsp. sativus	0	1	1	
Brassica_rapa	Brassica rapa	25	3	28	Brassicaceae
Pisum_sativum	Pisum sativum	15	1	16	Fabaceae
Beta_vulgaris	Beta vulgaris	19	3	22	
Triticum_dicoccoides	Triticum dicoccoides	32	0	32	Poaceae
Glycine_max	Glycine max	467	5	472	Fabaceae
Camellia_sinensis	Camellia sinensis	27	1	28	
Nicotiana_tabacum	Nicotiana tabacum	129	27	156	Solanaceae
