bp	setting	n_runs	coinf_rate	coinf_rate_hc
PRJEB31334	field	153	0.6797	0.0654
PRJEB39201	field	539	0.1429	0.1317
PRJEB84390	field	99	0.3838	0.1515
PRJEB15280	field	117	0.2906	0.2393
PRJNA1228670	field	198	0.1616	0.1566
PRJNA687280	lab	46	0.4348	0.4348
PRJNA484520	lab	63	0.3016	0.0
PRJNA577523	lab	18	1.0	0.0
PRJNA705878	lab	15	1.0	0.0
PRJNA761393	lab	17	0.8824	0.0
PRJNA1458989	lab	17	0.7647	0.0
PRJNA757692	lab	14	0.9286	0.0
PRJNA775969	lab	13	0.9231	0.0
PRJEB47693	field	27	0.4074	0.3333
PRJNA1113144	lab	18	0.6111	0.0
PRJEB33109	field	11	1.0	0.0
PRJNA1244880	lab	48	0.2083	0.0417
PRJEB65589	field	46	0.2174	0.1522
PRJNA352342	lab	10	1.0	0.0
PRJNA850943	lab	19	0.5263	0.0
PRJNA574904	lab	9	1.0	1.0
PRJEB5141	lab	8	1.0	0.0
PRJNA1183537	lab	12	0.6667	0.0
PRJNA486288	field	7	1.0	0.2857
PRJEB59062	lab	27	0.2593	0.0
PRJNA636958	lab	12	0.5833	0.0
PRJNA148307	lab	9	0.6667	0.0
PRJNA1292970	field	69	0.087	0.029
PRJNA254725	lab	6	1.0	1.0
PRJNA605036	lab	9	0.6667	0.0
PRJNA609405	lab	8	0.75	0.0
PRJNA707596	lab	11	0.5455	0.0909
PRJNA1400105	lab	6	1.0	0.6667
PRJNA514418	lab	9	0.6667	0.0
PRJNA344473	lab	13	0.4615	0.0
PRJNA780900	lab	7	0.8571	0.0
PRJNA875114	lab	19	0.3158	0.2632
PRJEB32362	lab	9	0.5556	0.0
PRJNA811707	lab	6	0.8333	0.0
PRJNA1293538	lab	9	0.5556	0.0
PRJNA1092066	lab	5	1.0	0.0
PRJNA643593	lab	6	0.8333	0.0
PRJNA565562	lab	5	1.0	0.0
PRJNA797683	lab	9	0.5556	0.0
PRJNA1055939	field	16	0.3125	0.125
PRJNA1217477	lab	213	0.0235	0.0235
PRJNA870250	lab	11	0.4545	0.0
PRJNA662919	lab	8	0.625	0.0
PRJNA875112	lab	13	0.3846	0.2308
PRJNA870262	lab	6	0.8333	0.0
PRJNA1055734	field	47	0.1064	0.1064
PRJNA714375	lab	5	1.0	0.0
PRJNA412801	lab	12	0.4167	0.0
PRJNA834779	lab	7	0.7143	0.0
PRJNA630776	lab	7	0.7143	0.0
PRJNA1207595	lab	4	1.0	0.0
PRJNA700975	lab	4	1.0	1.0
PRJNA1100932	lab	6	0.6667	0.0
PRJNA176472	lab	4	1.0	0.0
PRJNA1366440	lab	6	0.6667	0.0
PRJNA946259	lab	7	0.5714	0.0
PRJNA1328502	lab	6	0.6667	0.0
PRJDB33989	lab	5	0.8	0.0
PRJNA419139	lab	6	0.6667	0.3333
PRJNA1392009	lab	9	0.4444	0.4444
PRJNA925193	field	10	0.3	0.3
PRJNA1173477	lab	6	0.5	0.0
PRJNA383548	lab	12	0.25	0.0
PRJNA542165	lab	6	0.5	0.0
PRJNA540383	lab	8	0.375	0.25
PRJNA1107791	lab	18	0.1667	0.1667
PRJDB39595	lab	5	0.6	0.0
PRJEB68334	lab	18	0.1667	0.1667
PRJNA905255	lab	6	0.5	0.0
PRJEB36485	field	39	0.0769	0.0513
PRJNA1405621	lab	11	0.2727	0.0
PRJNA435897	lab	12	0.25	0.0
PRJDB38620	lab	3	1.0	0.0
PRJNA1191549	lab	7	0.4286	0.0
PRJNA976214	lab	7	0.4286	0.0
PRJNA1431145	lab	3	1.0	0.0
PRJNA515801	lab	9	0.3333	0.0
PRJNA1475220	lab	3	1.0	0.0
PRJNA842823	lab	12	0.25	0.0
PRJNA577532	lab	3	1.0	0.0
PRJNA706136	lab	3	1.0	1.0
PRJNA896484	lab	6	0.5	0.0
PRJNA834642	lab	3	1.0	0.0
PRJDB39409	lab	6	0.3333	0.0
PRJNA253086	lab	4	0.5	0.0
PRJNA558612	field	7	0.2857	0.2857
PRJNA448328	lab	13	0.1538	0.1538
PRJNA1315207	lab	6	0.3333	0.0
PRJNA1108966	lab	5	0.4	0.2
PRJNA1332781	lab	2	1.0	0.0
PRJNA977635	lab	2	1.0	0.0
PRJNA791339	lab	2	1.0	0.0
PRJNA1314854	lab	5	0.4	0.2
PRJEB67960	lab	5	0.4	0.0
PRJNA952825	lab	2	1.0	0.0
PRJNA1013391	lab	2	1.0	0.0
PRJNA1433507	lab	9	0.2222	0.0
PRJNA574559	lab	2	1.0	0.0
PRJNA1402133	lab	3	0.6667	0.0
PRJNA819185	lab	3	0.6667	0.0
PRJNA1354640	lab	5	0.4	0.0
PRJNA593073	lab	2	1.0	0.0
PRJNA728113	lab	5	0.4	0.0
PRJNA240676	lab	2	1.0	0.5
PRJNA649398	lab	2	1.0	0.0
PRJEB13569	field	4	0.5	0.5
PRJNA1479102	lab	12	0.1667	0.1667
PRJNA765923	lab	4	0.5	0.0
PRJNA1193783	lab	3	0.6667	0.0
PRJNA515188	lab	2	1.0	0.0
PRJDB39569	lab	3	0.6667	0.3333
PRJNA1127037	lab	3	0.6667	0.6667
PRJNA628751	lab	1	1.0	0.0
PRJNA1248058	lab	1	1.0	0.0
PRJNA853137	lab	6	0.1667	0.1667
PRJNA531386	lab	1	1.0	0.0
PRJNA747857	lab	1	1.0	0.0
PRJNA1250817	field	28	0.0357	0.0357
PRJEB34186	lab	12	0.0833	0.0
PRJNA854212	lab	2	0.5	0.5
PRJNA725323	lab	1	1.0	0.0
PRJNA808992	lab	9	0.1111	0.0
PRJNA560644	lab	11	0.0909	0.0909
PRJNA545454	lab	2	0.5	0.0
PRJNA422914	lab	2	0.5	0.0
PRJNA716464	lab	1	1.0	0.0
PRJNA950118	lab	35	0.0286	0.0286
PRJNA956871	lab	11	0.0909	0.0909
PRJEB39756	field	8	0.125	0.125
PRJNA1196143	lab	1	1.0	0.0
PRJNA293594	lab	1	1.0	0.0
PRJNA1017476	lab	12	0.0833	0.0
PRJNA1021048	lab	5	0.2	0.2
PRJNA338256	lab	8	0.125	0.0
PRJNA883377	lab	3	0.3333	0.0
PRJNA1272045	lab	14	0.0714	0.0714
PRJNA283526	lab	1	1.0	1.0
PRJNA350867	lab	1	1.0	0.0
PRJNA932159	lab	2	0.5	0.0
PRJNA1162778	lab	11	0.0909	0.0909
PRJNA487807	lab	4	0.25	0.0
PRJNA670487	field	32	0.0312	0.0312
PRJEB13072	lab	1	1.0	1.0
PRJNA1157721	lab	4	0.25	0.0
PRJNA1491631	lab	1	1.0	0.0
PRJNA748207	lab	1	1.0	0.0
PRJNA1202856	lab	4	0.25	0.0
PRJNA36323	lab	3	0.3333	0.0
PRJNA397359	lab	1	1.0	0.0
PRJNA398030	lab	1	1.0	0.0
PRJNA1499897	lab	4	0.25	0.25
PRJDB19723	lab	11	0.0909	0.0909
PRJNA899438	lab	6	0.1667	0.1667
PRJNA1244272	lab	1	1.0	0.0
PRJNA641525	lab	2	0.5	0.0
PRJNA1189264	lab	5	0.2	0.0
PRJNA689117	lab	1	1.0	1.0
PRJNA1182511	lab	1	1.0	1.0
PRJNA1471993	lab	5	0.2	0.0
PRJNA1275759	lab	1	1.0	1.0
PRJNA1330017	lab	7	0.1429	0.1429
PRJNA768797	lab	3	0.3333	0.0
PRJNA667277	lab	1	1.0	0.0
PRJNA761500	lab	5	0.2	0.0
PRJNA1170567	lab	3	0.3333	0.0
PRJNA1161467	lab	5	0.2	0.2
PRJNA911587	lab	1	1.0	1.0
PRJNA842515	lab	2	0.5	0.0
PRJNA892753	lab	2	0.5	0.0
PRJNA321325	field	3	0.3333	0.3333
