No-PMID BioProjects: 889
Already dumped: 20 BPs — skipping
To query: 869
[   1/869] PRJNA1173477 → 0 results
[   2/869] PRJNA293594 → 4 results
[   3/869] PRJNA797683 → 0 results
[   4/869] PRJNA168272 → 1 results
[   5/869] PRJNA1405621 → 3 results
[   6/869] PRJNA435897 → 2 results
[   7/869] PRJNA1315207 → 1 results
[   8/869] PRJNA531386 → 0 results
[   9/869] PRJEB13072 → 0 results
[  10/869] PRJNA1157721 → 0 results
[  11/869] PRJNA398030 → 4 results
[  12/869] PRJNA747857 → 0 results
[  13/869] PRJEB20582 → 0 results
[  14/869] PRJEB36485 → 1 results
[  15/869] PRJNA1250817 → 0 results
[  16/869] PRJEB45236 → 0 results
[  17/869] PRJNA393407 → 2 results
[  18/869] PRJNA1107791 → 1 results
[  19/869] PRJNA716464 → 0 results
[  20/869] PRJNA1196143 → 1 results
[  21/869] PRJNA1110392 → 0 results
[  22/869] PRJNA558612 → 0 results
[  23/869] PRJEB61893 → 1 results
[  24/869] PRJNA1491631 → 0 results
[  25/869] PRJNA748207 → 0 results
[  26/869] PRJNA1202856 → 2 results
[  27/869] PRJNA791897 → 0 results
[  28/869] PRJNA807078 → 0 results
[  29/869] PRJNA1429803 → 0 results
[  30/869] PRJNA1089140 → 0 results
[  31/869] PRJNA811762 → 3 results
[  32/869] PRJEB46468 → 1 results
[  33/869] PRJNA831271 → 1 results
[  34/869] PRJNA372579 → 0 results
[  35/869] PRJNA1029805 → 0 results
[  36/869] PRJNA609706 → 1 results
[  37/869] PRJNA886106 → 0 results
[  38/869] PRJNA1123478 → 0 results
[  39/869] PRJEB14966 → 0 results
[  40/869] PRJNA1085269 → 1 results
[  41/869] PRJNA655998 → 1 results
[  42/869] PRJNA436064 → 1 results
[  43/869] PRJEB20188 → 0 results
[  44/869] PRJNA764665 → 0 results
[  45/869] PRJNA372589 → 1 results
[  46/869] PRJNA372582 → 0 results
[  47/869] PRJNA906117 → 2 results
[  48/869] PRJNA1367782 → 0 results
[  49/869] PRJNA1457771 → 1 results
[  50/869] PRJNA372591 → 0 results
[  51/869] PRJNA441049 → 0 results
[  52/869] PRJNA675178 → 0 results
[  53/869] PRJNA786373 → 0 results
[  54/869] PRJNA721009 → 1 results
[  55/869] PRJEB26891 → 0 results
[  56/869] PRJNA1255445 → 0 results
[  57/869] PRJNA739688 → 4 results
[  58/869] PRJNA721132 → 6 results
[  59/869] PRJNA1122186 → 1 results
[  60/869] PRJNA408463 → 0 results
[  61/869] PRJNA1273519 → 0 results
[  62/869] PRJNA565800 → 1 results
[  63/869] PRJNA177586 → 0 results
[  64/869] PRJNA372598 → 0 results
[  65/869] PRJNA641217 → 0 results
[  66/869] PRJNA1044756 → 1 results
[  67/869] PRJNA1181034 → 1 results
[  68/869] PRJNA441161 → 0 results
[  69/869] PRJNA876621 → 1 results
[  70/869] PRJNA373361 → 1 results
[  71/869] PRJNA1118412 → 0 results
[  72/869] PRJNA1122550 → 1 results
[  73/869] PRJNA441165 → 0 results
[  74/869] PRJNA441163 → 0 results
[  75/869] PRJNA323552 → 3 results
[  76/869] PRJNA1188614 → 0 results
[  77/869] PRJNA556310 → 1 results
[  78/869] PRJEB51980 → 1 results
[  79/869] PRJEB49021 → 0 results
[  80/869] PRJNA1100184 → 0 results
[  81/869] PRJNA441175 → 0 results
[  82/869] PRJNA915611 → 0 results
[  83/869] PRJNA441170 → 1 results
[  84/869] PRJNA857179 → 3 results
[  85/869] PRJNA506360 → 0 results
[  86/869] PRJNA441164 → 0 results
[  87/869] PRJNA313195 → 0 results
[  88/869] PRJNA1279063 → 1 results
[  89/869] PRJNA1454804 → 1 results
[  90/869] PRJEB108982 → 0 results
[  91/869] PRJNA1381266 → 0 results
[  92/869] PRJDB19364 → 0 results
[  93/869] PRJNA935094 → 0 results
[  94/869] PRJNA372585 → 1 results
[  95/869] PRJNA372580 → 0 results
[  96/869] PRJNA787799 → 1 results
[  97/869] PRJNA441157 → 0 results
[  98/869] PRJNA290690 → 6 results
[  99/869] PRJNA630379 → 0 results
[ 100/869] PRJNA1139047 → 1 results
[ 101/869] PRJNA373363 → 0 results
[ 102/869] PRJNA643423 → 1 results
[ 103/869] PRJNA1479505 → 0 results
[ 104/869] PRJNA441158 → 0 results
[ 105/869] PRJNA408465 → 1 results
[ 106/869] PRJNA372593 → 0 results
[ 107/869] PRJNA372596 → 0 results
[ 108/869] PRJNA372576 → 1 results
[ 109/869] PRJNA1347294 → 0 results
[ 110/869] PRJNA372571 → 0 results
[ 111/869] PRJNA1467209 → 0 results
[ 112/869] PRJEB19257 → 2 results
[ 113/869] PRJNA441173 → 0 results
[ 114/869] PRJNA372584 → 0 results
[ 115/869] PRJNA674747 → 2 results
[ 116/869] PRJNA372573 → 0 results
[ 117/869] PRJNA441166 → 0 results
[ 118/869] PRJNA1435232 → 1 results
[ 119/869] PRJEB14623 → 0 results
[ 120/869] PRJNA706547 → 0 results
[ 121/869] PRJNA1003258 → 0 results
[ 122/869] PRJNA373360 → 0 results
[ 123/869] PRJNA373358 → 0 results
[ 124/869] PRJNA1205778 → 0 results
[ 125/869] PRJNA372578 → 0 results
[ 126/869] PRJDB42575 → 0 results
[ 127/869] PRJNA372586 → 0 results
[ 128/869] PRJNA1088402 → 0 results
[ 129/869] PRJNA1111043 → 0 results
[ 130/869] PRJNA1018533 → 0 results
[ 131/869] PRJDB41276 → 0 results
[ 132/869] PRJNA916092 → 0 results
[ 133/869] PRJNA372575 → 0 results
[ 134/869] PRJNA1389356 → 2 results
[ 135/869] PRJNA441168 → 0 results
[ 136/869] PRJNA372595 → 0 results
[ 137/869] PRJNA631873 → 4 results
[ 138/869] PRJNA1498604 → 0 results
[ 139/869] PRJNA833778 → 0 results
[ 140/869] PRJNA441169 → 0 results
[ 141/869] PRJNA372592 → 0 results
[ 142/869] PRJNA408460 → 0 results
[ 143/869] PRJNA373362 → 1 results
[ 144/869] PRJNA372597 → 0 results
[ 145/869] PRJNA372572 → 0 results
[ 146/869] PRJNA441176 → 0 results
[ 147/869] PRJNA295929 → 0 results
[ 148/869] PRJNA373359 → 1 results
[ 149/869] PRJNA839570 → 2 results
[ 150/869] PRJNA906097 → 0 results
[ 151/869] PRJNA492254 → 0 results
[ 152/869] PRJNA372594 → 0 results
[ 153/869] PRJNA372588 → 0 results
[ 154/869] PRJNA372590 → 0 results
[ 155/869] PRJNA372577 → 1 results
[ 156/869] PRJNA372587 → 1 results
[ 157/869] PRJNA1220327 → 4 results
[ 158/869] PRJNA1263482 → 1 results
[ 159/869] PRJNA892893 → 1 results
[ 160/869] PRJNA1331714 → 0 results
[ 161/869] PRJNA1465229 → 0 results
[ 162/869] PRJNA380230 → 1 results
[ 163/869] PRJNA778051 → 1 results
[ 164/869] PRJNA1426910 → 2 results
[ 165/869] PRJNA1085399 → 1 results
[ 166/869] PRJNA476648 → 9 results
[ 167/869] PRJNA1495917 → 0 results
[ 168/869] PRJNA325291 → 0 results
[ 169/869] PRJNA910335 → 1 results
[ 170/869] PRJNA914331 → 0 results
[ 171/869] PRJNA1173795 → 1 results
[ 172/869] PRJNA1247000 → 2 results
[ 173/869] PRJNA1148379 → 1 results
[ 174/869] PRJNA1469971 → 0 results
[ 175/869] PRJNA291119 → 0 results
[ 176/869] PRJNA1063333 → 1 results
[ 177/869] PRJEB9304 → 0 results
[ 178/869] PRJNA1246341 → 3 results
[ 179/869] PRJDB15139 → 1 results
[ 180/869] PRJNA1328233 → 0 results
[ 181/869] PRJNA373349 → 0 results
[ 182/869] PRJEB30662 → 0 results
[ 183/869] PRJNA532644 → 0 results
[ 184/869] PRJNA713956 → 0 results
[ 185/869] PRJNA938293 → 0 results
[ 186/869] PRJNA574053 → 0 results
[ 187/869] PRJNA527147 → 1 results
[ 188/869] PRJNA789725 → 0 results
[ 189/869] PRJNA387508 → 1 results
[ 190/869] PRJNA299335 → 1 results
[ 191/869] PRJDB13303 → 1 results
[ 192/869] PRJNA1031822 → 0 results
[ 193/869] PRJNA336478 → 3 results
[ 194/869] PRJNA1452279 → 0 results
[ 195/869] PRJNA1108353 → 1 results
[ 196/869] PRJNA441162 → 0 results
[ 197/869] PRJNA739093 → 0 results
[ 198/869] PRJNA392846 → 0 results
[ 199/869] PRJNA774504 → 0 results
[ 200/869] PRJNA408470 → 1 results
[ 201/869] PRJNA1166635 → 5 results
[ 202/869] PRJNA1017666 → 0 results
[ 203/869] PRJNA408469 → 0 results
[ 204/869] PRJNA819263 → 0 results
[ 205/869] PRJNA307612 → 0 results
[ 206/869] PRJNA1007488 → 1 results
[ 207/869] PRJNA373353 → 0 results
[ 208/869] PRJNA373354 → 1 results
[ 209/869] PRJNA379426 → 0 results
[ 210/869] PRJNA604447 → 0 results
[ 211/869] PRJNA1082681 → 0 results
[ 212/869] PRJNA408459 → 1 results
[ 213/869] PRJNA320364 → 0 results
[ 214/869] PRJNA278013 → 0 results
[ 215/869] PRJNA373348 → 0 results
[ 216/869] PRJNA230463 → 0 results
[ 217/869] PRJNA669466 → 0 results
[ 218/869] PRJNA1110723 → 0 results
[ 219/869] PRJNA637660 → 1 results
[ 220/869] PRJNA408464 → 1 results
[ 221/869] PRJNA373356 → 1 results
[ 222/869] PRJNA373186 → 0 results
[ 223/869] PRJNA408471 → 0 results
[ 224/869] PRJNA1289099 → 4 results
[ 225/869] PRJNA408462 → 0 results
[ 226/869] PRJNA373350 → 0 results
[ 227/869] PRJNA408461 → 0 results
[ 228/869] PRJNA373355 → 1 results
[ 229/869] PRJNA373352 → 0 results
[ 230/869] PRJNA877037 → 0 results
[ 231/869] PRJNA441159 → 0 results
[ 232/869] PRJNA373346 → 0 results
[ 233/869] PRJNA234029 → 0 results
[ 234/869] PRJNA1394492 → 3 results
[ 235/869] PRJNA929181 → 0 results
[ 236/869] PRJNA372583 → 0 results
[ 237/869] PRJNA552379 → 0 results
[ 238/869] PRJNA731618 → 2 results
[ 239/869] PRJNA441174 → 0 results
[ 240/869] PRJNA441160 → 0 results
[ 241/869] PRJNA408529 → 0 results
[ 242/869] PRJNA441156 → 1 results
[ 243/869] PRJNA372581 → 0 results
[ 244/869] PRJNA373364 → 0 results
[ 245/869] PRJNA373357 → 0 results
[ 246/869] PRJNA373351 → 1 results
[ 247/869] PRJNA373347 → 1 results
[ 248/869] PRJNA408458 → 0 results
[ 249/869] PRJNA372570 → 0 results
[ 250/869] PRJEB6937 → 1 results
[ 251/869] PRJNA373187 → 0 results
[ 252/869] PRJNA1422174 → 0 results
