count	tissue
18792	leaf
10543	Leaf
2410	leaves
1302	Leaves
1175	root
744	Cotton fiber
664	Root
585	young leaf
421	Young leaf
389	seedling leaf
384	stem
366	leaf or winter bud
364	leave
262	NA
261	whole plant
240	shoot
238	seed
223	Blade
200	Leaf sample
182	fruit
181	Seed
169	Chinese Academy of Forestry
168	bud
166	shoots
166	not applicable
164	Shoot
162	Spike
158	bulk of young leaves
154	leaf tissue
152	thallus
138	Flower
137	flower
126	seedling
120	one bud and two leaves
120	tepals
116	roots
115	Rhizome
106	true leaf
102	anther
100	spike
89	soil
88	Whole plant
82	Plant leaf
81	Vegetative
80	whole cell
77	Roots
75	embryo
73	Stem
72	needle tissue
63	underground tissue
63	aboveground tissue
59	Branch
58	Needle
57	peel
57	Dried: Silica Gel
56	Needles
52	florets
51	herbarium leaf
50	Seedling
49	Rootstock
49	Scion
48	rosettes
48	buds
45	root tip
45	mesocarp-enriched tissues
45	Leaf and/or Bud
45	shoots and leaves
42	Fruit
42	Leafs
42	elongation zone
41	Fresh leaf tissue
40	Tender buds and leaves
39	Whole seedling
39	root,stem,leaf,flower
39	whole seedling
39	not collected
39	floret
39	Bud
38	hypocotyl
38	bulb
37	blade
36	fiber
36	secondary vein, leaf 10
36	fruit core
36	seedlings
36	Apical shoot
36	Shanghai Academy of Agricultural Sciences
36	Pod wall
36	leafy-head
33	seed coat
33	tender leaf
32	Fraction 1 (Non-conductive phloem. Conductive phloem. Cambium. Differentiating xylem)
32	leaf and/or young floral buds
32	leaf head
31	young leaves
31	tassel
31	endosperm
30	callus
30	flower bud
30	meiocyte
30	shoot/leaves
30	Fraction 2 (Differentiating xylem)
30	ear primordia
29	inflorescence
28	10 day old root
28	Female strobili
28	Male strobili
28	Ovary
28	leaf material
27	Maize root
27	leaf sheath
27	Pistil
26	Stems and leaves
26	young leaves, roots, and cambial tissues
25	not provided
25	ear
24	shoot apex region containing one unexpanded leaf
24	8 central spikelets from infected heads
24	hairy roots
24	leaves, roots
24	Mixed
24	roots, embryo and coleoptile
24	seed embryo
24	T.ascendens tree bark
24	bud and first leave
24	young shoots
24	meristem
24	root cap
23	Aerial_part
23	Dried: Herbarium
22	rhizome
21	Petal
21	plant
21	Fruit exocarp
21	plants
20	tuber
20	floral_bud
20	Pollinarium
20	curd
20	mature leaves
19	Style
19	petal
19	spikelet
19	Plant
19	drupe
18	mesocarp
18	Whole Rosette tissue
18	Pulp
18	cotyledons
18	Not provided
18	shoot tips
18	8 youngest leaves
18	differentiation zone
18	root cap and meristem
18	seedcoat
18	3 to 5 seedlings
17	axillary tissues
17	missing
17	sepal
16	fruit peel
16	whole organism
16	Mature leaf
16	Whole Frond includig roots
16	Kernel
16	needle
16	Stem+leaf
15	pedicel
15	rhizosphere soil
15	all
15	pseudostem
14	stem xylem (trunk heartwood, near pith)
14	stem xylem (trunk heartwood, near bark)
14	herbarium
14	First leaf
13	Cambium
13	21 dag soil-grown aerial tissue
13	whole flower
13	Phloem
13	nodules
13	flag leaf
13	dry leaf
13	Bulb
13	whole thallus
13	flowers
13	Coleoptile
12	areial_part
12	Shoots
12	tissue sample
12	21 dag 1/2MS-grown aerial tissue
12	All seedling
12	Leaf rosette
12	whole stem
12	fleshy root flesh
12	Tissue culture seedlings
12	Floral bud
12	berry
12	spike rachis
12	Spike primordia
12	Lamina flag leaf
12	3cm spike peduncle
12	Leaf fresh tissue collected in silica gel
12	Fruit abscission zone and mesocarp
12	mid-fruit vascular tissue
12	leaves and stem
12	Leaf bud
12	Encased Leaves
12	Second Leaf Blade
12	First Leaf Sheath
12	First Leaf Blade
12	leaf cells
11	vegetative/pollen buds
11	Second leaf
10	phloem
10	microtuber
10	Fruit pulp, fruit peel
10	Epidermal tissues
9	pineapple pulp
9	Whole seedlings
9	cotyledon
9	Exocarps
9	Unknown
9	Fruit flesh samples collected from the middle section
9	lateral root-derived shoot
9	Shoot base
9	ROOT
9	short shoot
9	long shoot
9	adjacent non-haustorial tissues
9	haustorium
9	Sprout
9	stems and roots
9	SHOOTS
9	NEEDLES
9	female flower
9	Developing xylem and phloem
9	tomato flesh
9	taproot
9	Root tissue
9	stem apex
9	Main root
9	young fruit
9	Top, young leaves
9	tissue culture of tea seedlings(height of 4-5 cm)
9	3rd and 4th leaf
9	Aboveground
8	whole seedlings
8	young true leaf
