BioProject	doi
PRJDB10741	10.1099/jgv.0.001525
PRJDB12891	10.1073/pnas.2116896119
PRJDB12902	10.1073/pnas.2116896119
PRJDB15953	10.1093/molbev/msad186
PRJDB16420	10.64898/2026.08.07.743458
PRJDB19723	10.3390/plants14020241
PRJDB2278	10.1186/s12864-015-1480-x
PRJDB5677	10.1016/j.hpj.2025.06.018
PRJDB6779	10.1101/2021.02.21.431301
PRJDB8014	10.1111/mpp.12869
PRJDB9607	10.1093/plphys/kiag187
PRJEB10406	10.3390/genes16050539
PRJEB10574	10.1111/tpj.14184
PRJEB11304	10.1186/s13059-016-1145-3
PRJEB12497	10.1186/s12864-016-2684-4
PRJEB13048	10.3389/fpls.2022.985396
PRJEB13569	10.3390/jof4010039
PRJEB15280	10.1093/gbe/evx241
PRJEB19257	10.1094/PDIS-06-20-1329-RE
PRJEB21223	10.1038/s41598-017-04792-5
PRJEB21682	10.1186/s12915-023-01726-8
PRJEB22223	10.1038/s42003-018-0013-y
PRJEB24521	10.18699/vjgb-24-103
PRJEB24686	10.1038/s41467-023-43178-2
PRJEB3069	10.1126/science.1194573
PRJEB31334	10.1186/s12864-021-07488-3
PRJEB33109	10.1186/s12864-021-07488-3
PRJEB34186	10.1093/gpbjnl/qzae012
PRJEB34899	10.1016/j.resmic.2020.05.001
PRJEB36444	10.1093/plcell/koab049
PRJEB36485	10.1111/ppa.13468
PRJEB39201	10.1186/s12864-021-07488-3
PRJEB39262	10.1186/s12870-021-03110-6
PRJEB39398	10.1111/1758-2229.70034
PRJEB39756	10.1002/ps.6380
PRJEB44222	10.1038/s41467-023-37551-4
PRJEB44745	10.1073/pnas.2301358120
PRJEB45007	10.1073/pnas.2301358120
PRJEB46918	10.1038/s41467-023-37551-4
PRJEB46991	10.1038/s41598-021-01376-2
PRJEB47693	10.1111/ppa.13532
PRJEB47779	10.1186/s12915-023-01726-8
PRJEB48949	10.3390/plants11070864
PRJEB50522	10.1038/s42003-022-03780-4
PRJEB51973	10.1101/2022.04.05.487121
PRJEB53625	10.1371/journal.pbio.3001945
PRJEB55233	10.1038/s41598-022-27030-z
PRJEB55781	10.3390/ijms27010457
PRJEB59062	10.1186/s12915-024-01852-x
PRJEB59238	10.1186/s12915-024-01852-x
PRJEB64683	10.1101/2024.02.16.580628
PRJEB65589	10.1111/nph.19864
PRJEB67960	10.1038/s41467-025-60033-8
PRJEB68334	10.1111/mpp.13498
PRJEB6937	10.1094/PHYTO-09-21-0393-R
PRJEB75479	10.1080/15476286.2025.2459039
PRJEB75530	10.1371/journal.ppat.1007666
PRJEB77002	10.3389/fpls.2024.1464454
PRJEB79249	10.1038/s41598-025-96159-4
PRJEB84390	10.1186/s12864-025-12230-4
PRJEB86173	10.1093/jxb/eraf337
PRJEB8798	10.1104/pp.114.255927
PRJEB88084	10.1111/tpj.70590
PRJEB88172	10.1186/s13059-025-03906-x
PRJEB88178	10.1111/nph.71053
PRJEB9490	10.15252/embr.201540509
PRJEB98125	10.1016/j.envexpbot.2026.106352
PRJNA1006160	10.1093/g3journal/jkae191
PRJNA1006331	10.1111/tpj.70182
PRJNA1011022	10.1007/s42161-024-01672-6
PRJNA1011491	10.3390/jof9100988
PRJNA1013336	10.1016/j.xplc.2024.101011
PRJNA1013391	10.3389/fpls.2024.1444271
PRJNA1017476	10.1371/journal.ppat.1012671
PRJNA1018253	10.1111/tpj.16978
PRJNA1018308	10.1186/s40168-024-01839-4
PRJNA1018845	10.1038/s41598-024-53643-7
PRJNA1021048	10.3389/fmicb.2024.1357579
PRJNA1022321	10.1186/1755-8794-7-40
PRJNA1025922	10.1038/s41597-024-03361-6
PRJNA1028178	10.3390/biology13070522
PRJNA1031966	10.1111/pbi.70279
PRJNA1036172	10.1111/jipb.13732
PRJNA1039520	10.1111/pce.15039
PRJNA1041741	10.1093/plcell/koaf105
PRJNA1043471	10.1111/mpp.13413
