# Unpaywall coverage — 725 unique DOIs
doi	bp	has_methods	is_oa	status	host	version	pdf_url
10.1094/MPMI-06-21-0148-A	PRJNA686475	False	True	gold	publisher	publishedVersion	https://doi.org/10.1094/mpmi-06-21-0148-a
10.1186/s12864-021-07488-3	PRJEB15280	True	True	gold	publisher	publishedVersion	https://link.springer.com/content/pdf/10.1186/s12864-021-07488-3.pdf
10.1111/nph.19864	PRJEB65589	False	True	hybrid	publisher	publishedVersion	https://doi.org/10.1111/nph.19864
10.1186/s12915-019-0684-y	PRJEB31334	True	True	gold	publisher	publishedVersion	https://bmcbiol.biomedcentral.com/counter/pdf/10.1186/s12915-019-0684-y
10.1080/00275514.2019.1607135	PRJNA486288	False	False	closed			
10.1186/s12870-024-06032-1	PRJNA1113144	True	True	gold	publisher	publishedVersion	https://bmcplantbiol.biomedcentral.com/counter/pdf/10.1186/s12870-024-06032-1
10.1111/ppa.13532	PRJEB47693	True	True	hybrid	publisher	publishedVersion	https://doi.org/10.1111/ppa.13532
10.1186/s12864-025-12230-4	PRJEB84390	True	True	gold	publisher	publishedVersion	https://link.springer.com/content/pdf/10.1186/s12864-025-12230-4.pdf
10.3389/fpls.2024.1415534	PRJNA1092066	True	True	gold	publisher	publishedVersion	https://doi.org/10.3389/fpls.2024.1415534
10.1128/mbio.00629-23	PRJNA872313	True	True	gold	publisher	publishedVersion	https://doi.org/10.1128/mbio.00629-23
10.1186/s12915-023-01717-9	PRJEB33109	True	True	gold	publisher	publishedVersion	https://bmcbiol.biomedcentral.com/counter/pdf/10.1186/s12915-023-01717-9
10.1101/859728v1	PRJNA588102	True	False	error			
10.3390/plants14162458	PRJNA1293538	True	True	gold	publisher	publishedVersion	https://www.mdpi.com/2223-7747/14/16/2458/pdf?version=1754644364
10.1101/2024.12.10.627719	PRJEB39201	True	True	green	repository	acceptedVersion	https://www.biorxiv.org/content/biorxiv/early/2024/12/15/2024.12.10.627719.full.pdf
10.1094/MPMI-07-20-0205-A	PRJNA643593	True	True	gold	publisher	publishedVersion	https://doi.org/10.1094/mpmi-07-20-0205-a
10.1186/s12864-021-07655-6	PRJNA687280	True	True	gold	publisher	publishedVersion	https://bmcgenomics.biomedcentral.com/counter/pdf/10.1186/s12864-021-07655-6
10.1101/2023.03.30.534825	PRJNA950118	True	True	green	repository	acceptedVersion	https://www.biorxiv.org/content/biorxiv/early/2023/04/03/2023.03.30.534825.full.pdf
10.3389/fmicb.2020.00360	PRJNA560644	True	True	gold	publisher	publishedVersion	https://www.frontiersin.org/articles/10.3389/fmicb.2020.00360/pdf
10.3390/biom10050782	PRJNA628751	True	True	gold	publisher	publishedVersion	https://www.mdpi.com/2218-273X/10/5/782/pdf?version=1590669286
10.1101/2020.01.11.897884	PRJNA545454	True	True	green	repository	acceptedVersion	https://www.biorxiv.org/content/biorxiv/early/2020/01/13/2020.01.11.897884.full.pdf
10.1093/g3journal/jkad125	PRJNA925193	True	True	gold	publisher	publishedVersion	https://academic.oup.com/g3journal/advance-article-pdf/doi/10.1093/g3journal/jkad125/50647744/jkad125.pdf
10.1101/2023.04.03.535386	PRJNA148307	True	True	green	repository	acceptedVersion	https://www.biorxiv.org/content/biorxiv/early/2023/04/04/2023.04.03.535386.full.pdf
10.6084/m9.figshare.28856261	PRJNA1248058	True	False	error			
10.1101/2025.05.26.656185	PRJNA1207595	False	True	green	repository	acceptedVersion	https://doi.org/10.1101/2025.05.26.656185
10.1371/journal.ppat.1006670	PRJNA352342	True	True	gold	publisher	publishedVersion	https://journals.plos.org/plospathogens/article/file?id=10.1371/journal.ppat.1006670&type=printable
10.1111/nph.18164	PRJNA293594	False	False	closed			
10.3390/jof7020150	PRJNA700975	True	True	gold	publisher	publishedVersion	https://www.mdpi.com/2309-608X/7/2/150/pdf?version=1614250067
10.1128/mra.01385-18	PRJNA338256	True	True	gold	publisher	publishedVersion	https://mra.asm.org/content/ga/8/1/e01385-18.full.pdf
10.1046/j.1364-3703.2003.00190.x	PRJNA253086	False	False	closed			
10.1111/mpp.70076	PRJNA883377	True	True	gold	publisher	publishedVersion	https://doi.org/10.1111/mpp.70076
10.1371/journal.ppat.1012671	PRJNA1017476	True	True	gold	publisher	publishedVersion	https://doi.org/10.1371/journal.ppat.1012671
10.1111/nph.15221	PRJNA448328	False	False	closed			
10.1038/s41396-021-01058-x	PRJNA670487	True	True	bronze	publisher	publishedVersion	https://www.nature.com/articles/s41396-021-01058-x.pdf
10.1101/2025.01.24.634825	PRJNA542165	True	True	green	repository	acceptedVersion	https://www.biorxiv.org/content/biorxiv/early/2025/01/25/2025.01.24.634825.full.pdf
10.1094/MPMI-10-20-0297-R	PRJEB34186	True	True	gold	publisher	publishedVersion	https://apsjournals.apsnet.org/doi/pdf/10.1094/MPMI-10-20-0297-R
10.1111/1462-2920.15063	PRJNA36323	True	True	hybrid	publisher	publishedVersion	https://doi.org/10.1111/1462-2920.15063
10.3390/microorganisms7110495	PRJNA487807	True	True	gold	publisher	publishedVersion	https://www.mdpi.com/2076-2607/7/11/495/pdf?version=1572244467
10.1094/MPMI-06-22-0133-R	PRJNA383548	True	True	gold	publisher	publishedVersion	https://doi.org/10.1094/mpmi-06-22-0133-r
10.1016/j.chom.2026.02.001	PRJNA1315207	False	False	closed			
10.1111/ppa.13468	PRJEB36485	False	True	hybrid	publisher	publishedVersion	https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/ppa.13468
10.1094/MPMI-04-18-0107-A	PRJNA422914	True	True	bronze	publisher	publishedVersion	https://apsjournals.apsnet.org/doi/pdf/10.1094/MPMI-04-18-0107-A
10.1371/journal.pone.0280004	PRJNA725323	True	True	gold	publisher	publishedVersion	https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0280004&type=printable
10.3390/jof10060368	PRJNA1100932	True	True	gold	publisher	publishedVersion	https://doi.org/10.3390/jof10060368
10.1038/s42003-022-03780-4	PRJEB50522	True	True	gold	publisher	publishedVersion	https://www.nature.com/articles/s42003-022-03780-4.pdf
10.3389/fmicb.2020.01188	PRJNA605036	True	True	gold	publisher	publishedVersion	https://www.frontiersin.org/articles/10.3389/fmicb.2020.01188/pdf
10.1101/510404v1	PRJNA254725	True	False	error			
10.1111/mpp.70317	PRJNA609405	True	True	gold	publisher	publishedVersion	https://doi.org/10.1111/mpp.70317
