BioProject	search	text	outcome
PRJNA1244880	No DOI found	No DOI	No full text available
PRJNA686475	Web search	Manual PDF	Full text retrieved
PRJEB31334	Web search	PMC OA	Full text retrieved
PRJEB15280	Web search	PMC OA	Full text retrieved
PRJEB84390	Web search	PMC OA	Full text retrieved
PRJEB65589	Web search	Manual PDF	Full text retrieved
PRJEB47693	Web search	PMC OA	Full text retrieved
PRJNA1113144	Web search	PMC OA	Full text retrieved
PRJNA1292970	No DOI found	No DOI	No full text available
PRJNA486288	Web search	Manual PDF	Full text retrieved
PRJEB39201	Web search	Unpaywall PDF	Full text retrieved
PRJNA872313	Web search	PMC OA	Full text retrieved
PRJNA1293538	NCBI (DOI only)	PMC OA	Full text retrieved
PRJNA1092066	Web search	PMC OA	Full text retrieved
PRJEB33109	Web search	PMC OA	Full text retrieved
PRJNA540383	No DOI found	No DOI	No full text available
PRJNA574904	No DOI found	No DOI	No full text available
PRJNA1031678	No DOI found	No DOI	No full text available
PRJNA643593	Web search	Manual PDF	Full text retrieved
PRJNA588102	Web search	Manual PDF	Full text retrieved
PRJNA687280	NCBI (DOI only)	PMC OA	Full text retrieved
PRJNA148307	Web search	Unpaywall PDF	Full text retrieved
PRJDB39409	No DOI found	No DOI	No full text available
PRJNA768796	No DOI found	No DOI	No full text available
PRJNA628751	NCBI (DOI only)	PMC OA	Full text retrieved
PRJDB39595	No DOI found	No DOI	No full text available
PRJNA808992	No DOI found	No DOI	No full text available
PRJNA560644	Web search	Unpaywall PDF	Full text retrieved
PRJNA1248058	Web search	Manual PDF	Full text retrieved
PRJNA925193	Web search	PMC OA	Full text retrieved
PRJNA905255	No DOI found	No DOI	No full text available
PRJNA545454	Web search	Unpaywall PDF	Full text retrieved
PRJEB5141	No DOI found	No DOI	No full text available
PRJNA950118	Web search	Unpaywall PDF	Full text retrieved
PRJNA853137	No DOI found	No DOI	No full text available
PRJNA1207595	Web search	Manual PDF	Full text retrieved
PRJNA811707	No DOI found	No DOI	No full text available
PRJNA1173477	No DOI found	No DOI	No full text available
PRJNA293594	Web search	Manual PDF	Full text retrieved
PRJNA253086	NCBI (DOI only)	Manual PDF	Full text retrieved
PRJNA1017476	NCBI (DOI only)	PMC OA	Full text retrieved
PRJNA352342	NCBI (DOI only)	Unpaywall PDF	Full text retrieved
PRJNA338256	Web search	PMC OA	Full text retrieved
PRJNA700975	Web search	PMC OA	Full text retrieved
PRJNA797683	No DOI found	No DOI	No full text available
PRJNA883377	NCBI (DOI only)	PMC OA	Full text retrieved
PRJNA168272	No DOI found	No DOI	No full text available
PRJNA435897	No DOI found	No DOI	No full text available
PRJNA448328	NCBI (DOI only)	Manual PDF	Full text retrieved
PRJNA1315207	Web search	No OA copy found	No full text available
PRJNA383548	Web search	Manual PDF	Full text retrieved
PRJNA542165	Web search	Unpaywall PDF	Full text retrieved
PRJNA487807	NCBI (DOI only)	PMC OA	Full text retrieved
PRJNA670487	NCBI (DOI only)	Manual PDF	Full text retrieved
PRJNA531386	No DOI found	No DOI	No full text available
PRJEB13072	No DOI found	No DOI	No full text available
PRJNA1157721	No DOI found	No DOI	No full text available
PRJNA36323	Web search	PMC OA	Full text retrieved
PRJNA747857	No DOI found	No DOI	No full text available
PRJEB34186	Web search	Unpaywall PDF	Full text retrieved
PRJEB20582	No DOI found	No DOI	No full text available
PRJEB36485	Web search	Unpaywall PDF	Full text retrieved
PRJNA1100932	NCBI (DOI only)	PMC OA	Full text retrieved
PRJEB45236	No DOI found	No DOI	No full text available
PRJNA393407	No DOI found	No DOI	No full text available
PRJNA725323	Web search	Unpaywall PDF	Full text retrieved
PRJNA254725	No DOI found	No DOI	No full text available
PRJNA1107791	No DOI found	No DOI	No full text available
PRJNA176472	Web search	PMC OA	Full text retrieved
PRJEB50522	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA422914	Web search	Manual PDF	Full text retrieved
PRJNA716464	No DOI found	No DOI	No full text available
PRJNA605036	Web search	Unpaywall PDF	Full text retrieved
PRJNA609405	Web search	Manual PDF	Full text retrieved
PRJNA171217	Web search	Manual PDF	Full text retrieved
PRJNA1196143	No DOI found	No DOI	No full text available
PRJNA392275	Web search	Unpaywall PDF	Full text retrieved
PRJEB68334	Web search	PMC OA	Full text retrieved
PRJNA1110392	No DOI found	No DOI	No full text available
PRJNA1021048	Web search	PMC OA	Full text retrieved
PRJNA382499	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA283526	NCBI (DOI only)	PMC OA	Full text retrieved
PRJNA558612	No DOI found	No DOI	No full text available
PRJNA932159	Web search	Manual PDF	Full text retrieved
PRJNA396589	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA256347	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA1137604	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1491631	No DOI found	No DOI	No full text available
PRJNA1202856	Web search	Manual PDF	Full text retrieved
PRJNA397359	Web search	Manual PDF	Full text retrieved
PRJNA1228670	No DOI found	No DOI	No full text available
PRJNA588304	Web search	Unpaywall PDF	Full text retrieved
PRJNA895362	Web search	PMC OA	Full text retrieved
PRJEB46468	No DOI found	No DOI	No full text available
PRJNA1064071	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA389503	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA372579	No DOI found	No DOI	No full text available
PRJNA18535	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA609706	No DOI found	No DOI	No full text available
PRJEB77002	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA1162778	Web search	PMC OA	Full text retrieved
PRJNA1083222	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA260080	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA245759	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA516496	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA886106	No DOI found	No DOI	No full text available
PRJEB45007	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1267768	Web search	PMC OA	Full text retrieved
PRJNA1123478	No DOI found	No DOI	No full text available
PRJEB14966	No DOI found	No DOI	No full text available
PRJNA841073	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA293991	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1085269	No DOI found	No DOI	No full text available
PRJNA151285	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA1195871	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA655998	Web search	Manual PDF	Full text retrieved
PRJNA932210	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA436064	Web search	Manual PDF	Full text retrieved
PRJNA1164193	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA415866	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA250530	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA764665	No DOI found	No DOI	No full text available
PRJNA407960	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1231252	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA644240	NCBI (PMID)	PMC OA	Full text retrieved
PRJEB8798	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA1250817	No DOI found	No DOI	No full text available
PRJNA372589	No DOI found	No DOI	No full text available
PRJNA591157	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA372582	No DOI found	No DOI	No full text available
PRJNA874673	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1158549	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA673988	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA803733	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA628162	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA529541	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA646251	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA906117	No DOI found	No DOI	No full text available
PRJNA1367782	No DOI found	No DOI	No full text available
PRJNA1457771	Web search	No OA copy found	No full text available
PRJNA849030	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA372591	No DOI found	No DOI	No full text available
PRJNA526829	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA554133	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA496584	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA441049	No DOI found	No DOI	No full text available
PRJEB22223	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA675178	No DOI found	No DOI	No full text available
PRJEB75530	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA786373	No DOI found	No DOI	No full text available
PRJNA721009	No DOI found	No DOI	No full text available
PRJNA692809	NCBI (PMID)	PMC OA	Full text retrieved
PRJEB26891	No DOI found	No DOI	No full text available
PRJNA1255445	No DOI found	No DOI	No full text available
PRJNA341340	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA739688	Web search	Unpaywall PDF	Full text retrieved
PRJNA721132	Web search	Manual PDF	Full text retrieved
