Mode: HAL
NCBI_API_KEY set: yes
Runs from 01_sra:    559,328
STAT cache (shared): 304,311 entries total, 255,893 for this mode already cached
  Fetching STAT for 303,435 runs …
  [200/303,435] fetched  07:41:26
  [400/303,435] fetched  07:41:39
  [600/303,435] fetched  07:41:53
  [800/303,435] fetched  07:42:06
  [1,000/303,435] fetched  07:42:20
  [1,200/303,435] fetched  07:42:33
  [1,400/303,435] fetched  07:42:46
  [1,600/303,435] fetched  07:43:00
  [1,800/303,435] fetched  07:43:13
  [2,000/303,435] fetched  07:43:27
  [2,200/303,435] fetched  07:43:40
  [2,400/303,435] fetched  07:43:53
  [2,600/303,435] fetched  07:44:07
  [2,800/303,435] fetched  07:44:21
  [3,000/303,435] fetched  07:44:34
  [3,200/303,435] fetched  07:44:48
  [3,400/303,435] fetched  07:45:01
  [3,600/303,435] fetched  07:45:14
  [3,800/303,435] fetched  07:45:27
  [4,000/303,435] fetched  07:45:41
  [4,200/303,435] fetched  07:45:54
  [4,400/303,435] fetched  07:46:08
  [4,600/303,435] fetched  07:46:21
  [4,800/303,435] fetched  07:46:34
  [5,000/303,435] fetched  07:46:48
  [5,200/303,435] fetched  07:47:01
  [5,400/303,435] fetched  07:47:15
  [5,600/303,435] fetched  07:47:28
  [5,800/303,435] fetched  07:47:41
  [6,000/303,435] fetched  07:47:55
  [6,200/303,435] fetched  07:48:09
  [6,400/303,435] fetched  07:48:23
  [6,600/303,435] fetched  07:48:36
  [6,800/303,435] fetched  07:48:49
  [7,000/303,435] fetched  07:49:03
  [7,200/303,435] fetched  07:49:16
  [7,400/303,435] fetched  07:49:30
  [7,600/303,435] fetched  07:49:43
  [7,800/303,435] fetched  07:49:58
  [8,000/303,435] fetched  07:50:11
  [8,200/303,435] fetched  07:50:25
  STAT error ERR13658512: Failed after 5 retries: https://trace.ncbi.nlm.nih.gov/Traces/sra-db-be/run_taxonomy?acc=ERR13658512&cluster_name=public
  [8,400/303,435] fetched  07:50:38
  [8,600/303,435] fetched  07:50:52
  [8,800/303,435] fetched  07:51:09
  [9,000/303,435] fetched  07:51:25
  [9,200/303,435] fetched  07:51:40
  [9,400/303,435] fetched  07:51:55
  [9,600/303,435] fetched  07:52:09
  [9,800/303,435] fetched  07:52:23
  [10,000/303,435] fetched  07:52:37
