Run	mode	BioSample	BioProject	SRAStudy	Platform	ScientificName	host	host_pct	host_species_pct	primary_pathogen	primary_taxid	primary_pct	secondary_pathogens	secondary_kingdoms	n_secondary	interaction_status	co_infection_flag	same_genus_secondary	biosample_n_runs	biosample_representative	fungi_pct	virus_pct	bacteria_pct	oomycete_pct	nematode_pct	analyzed
SRR29057131	mal	SAMN41403941	PRJNA1111826	SRP508141	ILLUMINA	Puccinia triticina	Stenosarchaea group	2.32	0.45	Puccinia triticina	208348		environmental samples (0.2%); Puccinia graminis (0.1%)	Bacteria; Fungi	2	unresolved	multi_kingdom	True	1	True	24.35	0.0	60.42	0.0	0.0	34767742
SRR29057069	mal	SAMN41403996	PRJNA1111826	SRP508141	ILLUMINA	Puccinia triticina	Puccinia striiformis	13.02	6.37	Puccinia triticina	208348		Puccinia striiformis (6.4%); environmental samples (0.2%)	Bacteria; Fungi	2	novel_host_range	multi_kingdom	True	1	True	24.1	0.0	36.34	0.0	0.0	109113911
SRR32938356	mal	SAMN47734607	PRJNA1244880	SRP575731	ILLUMINA	Phytophthora capsici	Phaseolus vulgaris	63.55	54.56	Phytophthora capsici	4784		Phytophthora infestans (0.5%); Fusarium oxysporum (0.1%)	Fungi; Oomycota	2	novel_host_range	multi_kingdom	True	1	True	6.2	0.0	0.14	5.12	0.0	85679757
SRR10420664	mal	SAMN13241310	PRJNA588304	SRP229293	ILLUMINA	Bean yellow mosaic virus	IRL clade	3.82	2.36	Bean yellow mosaic virus	12197		Stemphylium lycopersici (0.6%); Turnip yellows virus (0.1%)	Fungi; Viruses	2	unresolved	multi_kingdom	False	1	True	7.09	40.07	1.37	0.0	0.0	1794367
ERR1607767	mal	SAMEA4415685	PRJEB15280	ERP016995	ILLUMINA	Puccinia striiformis	Leptosphaeria maculans	1.64	0.29	Puccinia striiformis	27350		Zymoseptoria tritici (2.9%); Leptosphaeria maculans (0.3%); Setosphaeria turcica (0.2%); Pyrenophora tritici-repentis (0.1%)	Fungi	4	novel_host_range	multi_species	False	1	True	12.66	0.0	15.01	0.0	0.0	14337030
ERR1607848	mal	SAMEA4415766	PRJEB15280	ERP016995	ILLUMINA	Puccinia striiformis	Zymoseptoria tritici	2.16	1.6	Puccinia striiformis	27350		Alternaria alternata (3.1%); Zymoseptoria tritici (1.6%); Leptosphaeria maculans (0.3%); Puccinia graminis (0.1%)	Fungi	4	novel_host_range	multi_species	True	1	True	15.85	0.0	0.0	0.0	0.0	24715745
ERR3170234	mal	SAMEA5366356	PRJEB31334	ERP113880	ILLUMINA	Puccinia striiformis	Alternaria alternata	8.08	0.66	Puccinia striiformis	27350		Alternaria alternata (0.7%); Parastagonospora nodorum (0.3%); Puccinia graminis f. sp. tritici CRL 75-36-700-3 (0.2%)	Fungi	3	novel_host_range	multi_species	True	1	True	7.3	0.0	10.21	0.0	0.0	21661496
ERR4315363	mal	SAMEA7036005	PRJEB39201	ERP122692	ILLUMINA	Puccinia striiformis f. sp. tritici	Zymoseptoria tritici	9.42	2.23	Puccinia striiformis f. sp. tritici	168172		Zymoseptoria tritici (2.2%); Alternaria alternata (0.8%); Leptosphaeria maculans (0.1%)	Fungi	3	novel_host_range	multi_species	False	1	True	7.29	0.0	7.87	0.0	0.0	26023475
SRR32667274	mal	SAMN47293285	PRJNA1228670	SRP569900	ELEMENT	Orthotospovirus impatiensnecromaculae	Orthotospovirus impatiensnecromaculae	51.07	22.35	Orthotospovirus impatiensnecromaculae	3052576		Ophiovirus mirafioriense (6.6%); Mirafiori lettuce big-vein virus (3.6%); Varicosavirus lactucae (0.5%)	Viruses	3	novel_host_range	multi_species	False	1	True	0.0	29.5	1.92	0.0	0.0	8665553
SRR32667293	mal	SAMN47293311	PRJNA1228670	SRP569900	ELEMENT	Orthotospovirus impatiensnecromaculae	Lactuca sativa	54.17	45.89	Orthotospovirus impatiensnecromaculae	3052576		Ophiovirus mirafioriense (1.8%); Cytorhabdovirus lactucamaculante (1.0%); Varicosavirus lactucae (0.3%)	Viruses	3	known	multi_species	False	1	True	0.0	25.4	1.89	0.0	0.0	26531813
