run	analyzed	fungi_pct	viruses_pct	bacteria_pct	oomycota_pct	nematoda_pct
SRR1171035	29398251	0.0	0.0	0.9876	0.0	0.0
ERR5960078	10696323	0.8155	0.0	1.9053	0.0	0.0
SRR9997709	15798042	0.0	0.0	0.0	0.0	0.0
SRR9997707	15679392	23.4817	0.0	0.0	0.0	0.0
SRR13349983	55065379	0.538	0.0	0.1405	0.0	0.0
SRR16796993	57607077	9.8513	0.0	12.5022	0.0	0.0
SRR32908671	285605420	0.2756	0.0	0.7042	0.0	0.0
ERR4315247	18288667	0.1791	0.0	6.4965	0.0	0.0
SRR32620565	9975277	37.7789	0.0	2.9792	0.0	0.0
SRR15184339	49318083	69.4498	0.0	0.2617	0.0	0.0
SRR29057155	23665527	63.9736	0.0	5.5412	0.0	0.0
SRR34026570	11854260	0.0	0.0	0.7114	0.0	0.0
SRR37325202	34478824	1.4155	0.0	0.6808	0.0	0.0
SRR6942216	44246183	2.6732	0.0	0.0	0.0	0.0
SRR7251389	24850948	0.0	0.0	0.0	0.0	0.0
SRR28266341	23703422	0.0	0.0	0.1439	0.0	0.0
SRR32817856	35977253	0.0	0.0	1.4562	0.0	0.0
ERR5696248	5883240	0.0	0.0	2.1038	0.0	0.0
SRR26434856	360376	0.0	0.0	96.7143	0.0	0.0
SRR11216267	18218339	0.0	0.0	0.0	0.0	0.0
SRR26065688	55206824	23.9863	0.0	0.9929	0.0	0.0
SRR7842688	99477047	37.7193	0.0	0.0	0.0	0.0
ERR8571450	22064667	0.0	0.0	13.5197	0.0	0.0
ERR2593135	53403536	1.7374	0.0	0.6719	0.0	0.0
SRR11214574	16449238	2.8157	0.0	0.2881	0.0	0.0
SRR18253500	57943871	0.0	0.0	0.532	0.0	0.0
ERR13340223	9988658	42.1936	0.0	9.7112	0.0	0.0
SRR30567910	19198052	95.4893	0.0	0.1979	0.0	0.0
SRR18253628	61675876	0.0	0.0	0.5002	0.0	0.0
SRR30722126	42938883	12.5433	0.0	0.4046	0.0	0.0
SRR39651399	23049850	0.0	0.0	2.2402	0.0	0.0
ERR4315583	20519834	33.1618	0.1119	3.7061	0.0	0.0
SRR3750722	37733953	10.8222	0.0	0.1001	0.0	0.0
SRR37325194	34392366	0.5503	0.1523	0.9415	0.0	0.0
SRR34575275	1956491	18.1171	0.0	8.0643	0.0	0.0
SRR28207803	30690850	0.0	0.0	0.1778	20.7665	0.0
SRR35833129	4273596	8.4356	2.3088	17.8524	0.0	0.0
SRR13349994	66834943	0.0	0.0	0.1885	0.0	0.0
ERR8571447	18156278	0.0	0.0	5.308	0.0	0.0
SRR29057200	27657745	57.6414	0.0	6.1557	0.0	0.0
SRR1568072	10671466	68.9434	0.0	0.4868	0.0	0.0
SRR1265034	12426858	64.1391	0.0	0.6998	0.0	0.0
SRR29077178	28221054	45.8975	0.0	0.7041	0.0	0.0
ERR5696296	5297114	0.0	0.0	0.741	0.0	0.0
SRR34708599	47855651	27.8366	0.0	0.8253	0.0	0.0
SRR8474990	40510004	79.4377	0.0	0.0	0.0	0.0
SRR21777789	31782598	0.9214	0.0	0.0	0.0	0.0
ERR5928173	19906158	11.1031	0.0	2.0488	0.0	0.0
ERR1607845	15815046	9.8866	0.0	0.0	0.0	0.0
ERR1224587	19615259	0.0	0.0	2.1011	0.0	0.0
ERR4315593	25751767	2.5487	0.0	9.4498	0.0	0.0
ERR15005476	19507828	9.2612	0.4791	3.0018	0.0	0.0
SRR11214658	7732063	75.1035	0.0	0.3329	0.0	0.0
ERR3170195	21513708	5.6825	0.0	4.8996	0.0	0.0
ERR4315557	18258363	0.4244	0.0	4.1889	0.0	0.0
SRR25865097	40010604	0.0	0.0	0.1506	0.0	0.0
SRR24374433	816207	0.0	0.0	4.2831	0.0	0.0
SRR33696070	91644138	28.8975	0.0	6.3745	0.0	0.0
SRR29057283	25040296	49.1806	0.2701	11.0573	0.0	0.0
ERR4315477	16655341	0.1182	0.0	11.7042	0.0	0.0
SRR3657378	64499249	0.0	0.0	2.1401	0.0	0.0
SRR10201818	20119524	16.3021	1.1507	0.0	0.0	0.0
ERR4315673	14747442	0.2388	0.0	1.681	0.0	0.0
SRR28901646	116419807	0.0	0.0	2.8068	0.0	0.0
SRR29888331	33061186	0.1096	0.0	0.0	0.0	0.0
ERR3856830	5850295	0.2299	0.0	28.1041	0.0	0.0
SRR11216278	30133723	0.0	0.0	0.0	0.0	0.0
SRR29385651	17722583	92.3663	0.0	0.1721	0.0	0.0
SRR33696067	55483371	40.3223	0.0	6.5245	0.0	0.0
SRR32908625	68296008	0.0	0.0	0.5447	0.0	0.0
SRR12329588	38155536	32.3814	0.0	0.9223	0.0	0.0
SRR29057093	20441113	60.9833	0.0	4.286	0.0	0.0
SRR35270177	18744379	92.9613	0.0	1.3196	0.0	0.0
SRR39231531	14680950	0.0	0.0	0.0	0.0	0.0
ERR8571395	23001388	0.0	0.0	7.6588	0.0	0.0
ERR6548384	41342725	0.0	0.0	0.6243	0.0	0.0
ERR15005468	24734974	13.9532	0.5521	12.0492	0.0	0.0
ERR3856848	15924847	0.3785	0.0	1.6717	0.0	0.0
ERR1554681	7238685	0.0	0.0	6.0387	27.2327	0.0
SRR18253531	47733100	0.0	0.0	0.2658	0.0	0.0
SRR21777793	38979264	0.4213	0.0	0.225	0.0	0.0
SRR19346774	42364112	0.631	0.0	0.4542	0.0	0.0
SRR2185182	1018179	40.7755	0.0	0.0	0.0	0.0
SRR28258170	25704912	80.166	0.0	3.9846	0.0	0.0
SRR22834524	37220050	0.0	0.0	1.751	0.0	0.0
SRR29057103	18134661	52.648	0.0	4.684	0.0	0.0
ERR1607730	31661334	0.7852	0.0	0.1485	0.0	0.0
ERR4315582	20536457	0.6087	0.0	0.6334	0.0	0.0
ERR4315615	20549885	4.2498	0.0	4.1393	0.0	0.0
ERR5928182	10785506	0.0	0.0	4.0383	0.0	0.0
ERR15005492	19871806	21.9032	1.2227	3.5418	0.0	0.0
ERR4315619	17515374	0.1115	0.0	14.7593	0.0	0.0
SRR18253560	57942895	0.0	0.0	0.2916	0.0	0.0
SRR31647332	11031736	0.3217	0.1967	0.2282	0.0	0.0
SRR1587431	29806513	0.0	0.0	0.1215	0.0	0.0
SRR31020425	38838421	0.0	0.0	5.915	0.0	0.0
ERR12013067	39185700	37.0406	0.1485	1.6136	0.0	0.0
SRR32817843	31043572	0.0	0.0	1.2535	0.0	0.0
SRR13349957	65244022	2.7026	0.0	0.4148	0.0	0.0
ERR3170210	19576872	1.7314	0.0	5.8055	0.0	0.0
SRR391832	11763983	0.8546	0.0	0.0	0.0	0.0
SRR31647323	4218047	54.6366	0.3027	0.0	0.0	0.0
DRR195593	21067292	2.1111	0.0	1.9298	0.0	0.0
ERR12253006	17954962	0.7399	0.6583	7.8122	0.0	0.0
ERR1554664	7647406	0.0	0.0	5.9315	19.1594	0.0
ERR1607823	26028955	0.6821	0.0	3.2738	0.0	0.0
ERR5960063	10157921	0.6547	0.0	1.746	0.0	0.0
ERR4315591	18472750	0.0	0.0	8.7077	0.0	0.0
SRR8606642	26843166	0.0	0.0	0.0	0.0	0.0
SRR19648060	47922108	0.4272	0.0	1.453	0.0	0.0
SRR33001923	98044237	0.0	0.0	1.3793	0.0	0.0
ERR3170229	22259503	6.141	0.0	5.1062	0.0	0.0
ERR5928220	3112919	0.1672	0.0	3.0195	0.0	0.0
SRR12415609	174586348	1.4056	0.0	6.5707	0.0	0.0
SRR11887734	54315055	0.0	0.0	1.7697	0.0	0.0
SRR35750229	7852093	0.0	0.0	87.8013	0.0	0.0
SRR8074947	23500409	0.0	0.0	0.3135	0.0	0.0
ERR4315475	16842910	0.1248	0.0	18.5927	0.0	0.0
SRR32817854	29410558	0.0	0.0	0.7655	0.0	0.0
SRR28763274	77899863	15.5581	0.0	0.2611	0.0	0.0
SRR11214603	13907374	77.934	0.0	0.2451	0.0	0.0
SRR12329589	36878152	21.0865	0.0	0.5906	0.0	0.0
ERR1954094	9827160	1.5253	0.0	1.2141	0.0	0.0
ERR3500554	17741653	0.5691	0.0	2.3133	0.0	0.0
ERR15005455	24286618	18.9146	0.8332	3.0726	0.0	0.0
SRR29437247	215187068	0.1638	0.0	6.666	0.0	0.0
SRR11214643	7214917	37.412	0.0	0.2917	0.0	0.0
SRR11214568	16573517	3.834	0.0	0.3486	0.0	0.0
SRR28353113	23593517	0.0	0.0	0.0	0.0	0.0
ERR5928156	15373869	3.3255	0.0	4.7349	0.0	0.0
ERR3500528	44321466	0.4837	0.0	1.8686	0.0	0.0
SRR25865099	38139360	0.0	0.0	0.5873	0.0	0.0
SRR9684535	376366349	1.0122	0.0	0.3863	0.0	0.0
SRR14871480	42157677	0.1297	0.0	2.5691	0.7507	0.0
ERR1554680	33201545	0.0	0.0	5.8195	23.2714	0.0
SRR28258171	23864030	75.9104	0.0	1.9825	0.0	0.0
SRR23512629	38321656	3.2781	0.0	1.3676	0.0	0.0
SRR29888333	33663537	0.7637	0.0	0.0	0.0	0.0
SRR11214618	19665335	26.5636	0.0	0.3032	0.0	0.0
DRR857913	36032335	44.3952	0.1626	0.1709	0.0	0.0
SRR11348677	7206771	0.3445	0.0	0.4813	0.0	0.0
ERR5928189	9751243	0.0	0.0	4.008	0.0	0.0
SRR23706864	81383840	0.0	0.0	0.9067	0.0	0.0
SRR28258195	25807585	88.4559	0.0	0.5596	0.0	0.0
SRR6813487	33997313	69.9495	0.0	3.013	0.0	0.0
ERR1607742	32105175	0.5503	0.0	0.2687	0.0	0.0
ERR9860267	48357893	0.7185	0.0	0.8787	0.0	0.0
ERR4761827	30140844	0.4602	0.0	1.2544	0.0	0.0
ERR13108595	22842035	0.0	0.0	0.6486	0.0	0.0
ERR5696214	5423069	0.0	0.0	1.3208	0.0	0.0
ERR12252997	23419766	1.4321	0.0	7.8587	0.0	0.0
SRR11248480	4201436	0.0	0.0	89.0607	0.0	0.0
ERR1224564	15944872	0.0	0.0	0.2626	0.0	0.0
SRR14318418	2570496	16.4175	0.0	0.9774	0.0	0.0
SRR30771151	23259603	13.8555	0.0	0.7621	0.0	0.0
SRR24718844	10962915	0.0	0.0	85.9238	0.0	0.0
SRR30771150	12844405	13.2332	0.0	0.7483	0.0	0.0
SRR32908669	109129089	0.0	0.0	0.625	0.0	0.0
SRR4296239	11511557	0.0	0.0	0.0	0.0	0.0
SRR6242027	110991386	6.5567	0.0	3.5625	0.0	0.0
ERR1954101	9711319	1.8868	0.0	0.8069	0.0	0.0
ERR1905196	3230425	0.0	0.0	89.5283	0.0	0.0
ERR5696254	5051794	0.0	0.0	1.5872	0.0	0.0
ERR3383639	28747259	3.3973	0.0	10.6604	0.0	0.0
ERR2593106	47994010	0.7854	0.0	0.777	0.0	0.0
SRR29057075	21543893	52.3365	0.0	2.8873	0.0	0.0
ERR3170262	22840306	3.8536	0.1332	3.8935	0.0	0.0
SRR9875066	54020605	1.7446	0.0	3.2439	0.0	0.0
ERR4315430	23389277	0.1762	0.0	10.0898	0.0	0.0
ERR1224584	22815982	0.0	0.0	2.9015	0.0	0.0
SRR28258083	16944203	84.778	0.0	0.7998	0.0	0.0
ERR3188443	24656216	2.7667	0.0	3.0123	0.0	0.0
ERR3856832	61743420	0.6429	0.0	0.7174	0.0	0.0
SRR1587433	46147632	0.8198	0.0	1.4308	0.0	0.0
SRR7640301	46677996	0.0	0.0	0.0	0.0	0.0
SRR12855391	31493241	0.0	0.0	0.7709	0.0	0.0
SRR11214605	13414704	63.7141	0.0	0.5836	0.0	0.0
SRR16005725	29891907	55.0594	0.0	12.1354	0.0	0.0
SRR29057122	23215490	50.3227	0.0	6.9699	0.0	0.0
SRR6059243	117304610	0.0	0.2617	4.0119	4.3624	0.0
SRR33696076	51547906	40.6733	0.0	7.1031	0.0	0.0
SRR39651400	23194728	0.0	0.0	2.1282	0.0	0.0
SRR32908583	188953247	0.0	0.0	0.687	0.0	0.0
SRR32938339	79229993	1.064	0.0	0.1494	5.3102	0.0
SRR391843	9420145	1.8823	0.0	0.0	0.0	0.0
SRR28266342	29481538	0.0	0.0	0.1167	0.0	0.0
ERR3500514	43292166	0.0	0.0	5.5405	0.0	0.0
ERR3856818	17288992	0.4804	0.0	1.8404	0.0	0.0
SRR14871470	54050730	0.0	0.0	3.2941	0.4345	0.0
ERR4315412	19581968	0.4766	0.0	12.3131	0.0	0.0
SRR32620576	14547426	53.2495	0.0	1.1423	0.0	0.0
SRR30278502	20141476	0.0	0.0	0.3508	0.0	0.0
SRR32908641	98586807	0.0	0.0	0.8805	0.0	0.0
SRR18901623	28905694	0.0	0.0	56.3428	0.0	0.0
SRR18901622	29524636	0.0	0.0	56.304	0.0	0.0
SRR18901625	29641505	0.0	0.0	56.3163	0.0	0.0
SRR18901624	29869916	0.0	0.0	56.3144	0.0	0.0
SRR38814971	26176960	0.0	0.0	0.7611	0.0	0.0
ERR6335671	53392327	0.7247	0.0	0.1737	0.0	0.0
ERR13150773	23013004	2.625	0.0	0.3182	0.0	0.0
ERR5960080	11835423	0.6464	0.0	1.4187	0.0	0.0
SRR1562182	21889996	0.1561	0.0	1.3249	0.0	0.0
SRR8465327	26417171	0.0	0.0	0.6497	0.0	0.0
ERR12013073	9758894	27.95	0.0	6.8787	0.0	0.0
SRR18253622	47211004	0.0	0.0	0.3989	0.0	0.0
SRR28704973	21855807	37.0918	0.0	0.4163	0.0	0.0
SRR29076533	26498063	25.0301	0.0	1.999	0.0	0.0
SRR29888324	40480611	1.8996	0.0	0.1002	0.0	0.0
SRR13577175	41389082	0.3237	0.0	2.5034	0.0	0.0
ERR1607750	20195228	1.6707	0.0	0.3381	0.0	0.0
ERR4315608	23113036	0.4008	0.0	5.8809	0.0	0.0
SRR9050961	53770667	5.0705	0.3388	0.2132	0.0	0.0
SRR19521788	71552674	0.0	0.0	0.0	0.0	0.0
