Run	mode	BioSample	BioProject	SRAStudy	Platform	host	host_pct	library_organism	library_detected	stat_pathogens	stat_hosts	n_pathogens	interaction_status	co_infection_flag	same_genus_secondary	biosample_n_runs	biosample_representative	fungi_pct	virus_pct	bacteria_pct	oomycete_pct	nematode_pct	analyzed
SRR10420664	mal	SAMN13241310	PRJNA588304	SRP229293	ILLUMINA	IRL clade	3.82	Bean yellow mosaic virus	True	Bean yellow mosaic virus:39.3%; Stemphylium lycopersici:0.6%; Turnip yellows virus:0.1%	IRL clade:2.4%; Fabeae:1.0%	3	unresolved	multi_kingdom	False	1	True	7.09	40.07	1.37	0.0	0.0	1794367
SRR32938356	mal	SAMN47734607	PRJNA1244880	SRP575731	ILLUMINA	Phaseolus vulgaris	63.55	Phytophthora capsici	False	Phytophthora infestans:0.5%; Fusarium oxysporum:0.1%	Phaseolus vulgaris:54.6%	2	novel_host_range	multi_kingdom	True	1	True	6.2	0.0	0.14	5.12	0.0	85679757
SRR14318418	mal	SAMN17118325	PRJNA686475	SRP316148	ILLUMINA	Brassiceae	26.52	Fusarium oxysporum f. sp. rapae	True	Fusarium oxysporum:3.6%; Fusarium oxysporum f. sp. lycopersici:1.4%; Fusarium odoratissimum:0.3%; Fusarium oxysporum NRRL 32931:0.2%; Fusarium fujikuroi:0.1%	Brassiceae:24.1%	5	unresolved	multi_species	True	5	False	16.42	0.0	0.98	0.0	0.0	2570496
SRR32667274	mal	SAMN47293285	PRJNA1228670	SRP569900	ELEMENT	Viridiplantae	51.07	Orthotospovirus impatiensnecromaculae	True	Orthotospovirus impatiensnecromaculae:22.3%; Ophiovirus mirafioriense:6.6%; Mirafiori lettuce big-vein virus:3.6%; Impatiens necrotic spot virus:1.5%; Varicosavirus lactucae:0.5%	Viridiplantae:51.1%	5	unresolved	multi_species	False	1	True	0.0	29.5	1.92	0.0	0.0	8665553
SRR34695332	mal	SAMN50023628	PRJNA1228670	SRP569900	ELEMENT	Viridiplantae	40.9	Orthotospovirus impatiensnecromaculae	True	Orthotospovirus impatiensnecromaculae:30.0%; Ophiovirus mirafioriense:11.6%; Mirafiori lettuce big-vein virus:6.3%; Impatiens necrotic spot virus:2.0%; Varicosavirus lactucae:0.9%	Viridiplantae:40.9%	5	unresolved	multi_species	False	1	True	0.0	42.49	1.34	0.0	0.0	30513586
ERR3170234	mal	SAMEA5366356	PRJEB31334	ERP113880	ILLUMINA	Triticinae	8.08	Puccinia striiformis	True	Puccinia striiformis f. sp. tritici:0.9%; Alternaria alternata:0.7%; Parastagonospora nodorum:0.3%; Puccinia graminis f. sp. tritici CRL 75-36-700-3:0.2%	Triticinae:6.2%; Aegilops tauschii subsp. tauschii:2.5%	4	unresolved	multi_species	True	1	True	7.3	0.0	10.21	0.0	0.0	21661496
ERR1607767	mal	SAMEA4415685	PRJEB15280	ERP016995	ILLUMINA	Mesangiospermae	1.64	Puccinia striiformis	False	Zymoseptoria tritici:2.9%; Leptosphaeria maculans:0.3%; Setosphaeria turcica:0.2%; Pyrenophora tritici-repentis:0.1%	Mesangiospermae:1.6%	4	unresolved	multi_species	False	1	True	12.66	0.0	15.01	0.0	0.0	14337030
ERR1607848	mal	SAMEA4415766	PRJEB15280	ERP016995	ILLUMINA	Poales	2.16	Puccinia striiformis	False	Alternaria alternata:3.1%; Zymoseptoria tritici:1.6%; Leptosphaeria maculans:0.3%; Puccinia graminis:0.1%	Poales:0.5%	4	unresolved	multi_species	True	1	True	15.85	0.0	0.0	0.0	0.0	24715745
ERR3170248	mal	SAMEA5366370	PRJEB31334	ERP113880	ILLUMINA	Triticinae	11.95	Puccinia striiformis	True	Puccinia striiformis:1.5%; Puccinia striiformis f. sp. tritici:1.1%; Puccinia graminis f. sp. tritici CRL 75-36-700-3:0.4%; Alternaria alternata:0.2%	Triticinae:7.6%; eudicotyledons:0.1%	4	unresolved	multi_species	True	1	True	3.59	0.11	1.93	0.0	0.0	18959568
SRR32667339	mal	SAMN47293239	PRJNA1228670	SRP569900	ELEMENT	Lactuca sativa	54.95	Orthotospovirus impatiensnecromaculae	True	Orthotospovirus impatiensnecromaculae:27.0%; Mirafiori lettuce big-vein virus:4.1%; Impatiens necrotic spot virus:2.4%; Varicosavirus lactucae:0.9%	Lactuca sativa:50.4%	4	known	multi_species	False	1	True	0.0	32.76	1.2	0.0	0.0	209686522
SRR32741181	mal	SAMN47417318	PRJNA1228670	SRP569900	ELEMENT	Lactuca sativa	56.35	Orthotospovirus impatiensnecromaculae	True	Orthotospovirus impatiensnecromaculae:24.1%; Impatiens necrotic spot virus:1.4%; Ophiovirus mirafioriense:0.8%; Mirafiori lettuce big-vein virus:0.4%	Lactuca sativa:46.0%	4	known	multi_species	False	1	True	0.0	26.47	1.63	0.0	0.0	15685628
