Run	BioProject	SRAStudy	Platform	ScientificName	host	host_pct	host_species_pct	primary_pathogen	primary_taxid	primary_pct	secondary_pathogens	secondary_kingdoms	n_secondary	known_interaction	co_infection_flag	same_genus_secondary	fungi_pct	virus_pct	bacteria_pct	oomycete_pct	nematode_pct	analyzed
SRR27326369	PRJNA1055939	SRP479663	ILLUMINA	Arabidopsis thaliana	Arabidopsis thaliana	2.42		Phytophthora sojae	67593	1.77	Phytophthora parasitica (0.7%); Alternaria alternata (0.1%)	Fungi; Oomycota	2	True	multi_kingdom	True	2.597415182527248	0.05833708680480992	1.0959232260680338	5.554504669680297	0.0002713352874642322	2579834
SRR18083504	PRJNA808784	SRP360703	ILLUMINA	Arabidopsis thaliana	Arabidopsis thaliana	41.5		Botrytis cinerea	40559	13.83	Impatiens necrotic spot orthotospovirus (7.3%)	Viruses	1	True	multi_kingdom	False	21.80998679698903	7.272125954958039	3.83949898184573	0.0	0.0	3849122
SRR13823999	PRJNA705878	SRP308812	ILLUMINA	Arabidopsis thaliana	Arabidopsis thaliana	1.45		Fusarium oxysporum	5507	21.87	Fusarium oxysporum NRRL 32931 (2.7%); Fusarium verticillioides 7600 (0.2%)	Fungi	2	True	multi_species	True	69.05879408230754	7.646651301995318e-05	0.15921602452637917	0.0	1.274441883665886e-05	7846572
SRR15607740	PRJNA757692	SRP334062	ILLUMINA	Cicer arietinum	Cicer arietinum	13.73		Phytophthora sojae	67593	5.18	Phytophthora parasitica (1.5%); Phytophthora infestans (1.0%)	Oomycota	2	False	multi_species	True	0.08634846847224992	5.6839844556142024e-05	2.075401988869884	12.85207911406795	0.0	22871280
SRR33516414	PRJNA1259747	SRP584394	ILLUMINA	Arachis hypogaea	Arachis hypogaea	89.72		Carlavirus vignae	3427805	6.8	Potyvirus phaseovulgaris (0.3%); Potyvirus arachidis (0.2%)	Viruses	2	True	multi_species	False	0.0006856754470978894	7.46509429858723	0.11210365012896055	0.0	0.0	23334655
SRR20613496	PRJNA861952	SRP387903	ILLUMINA	Vitis vinifera	Vitis vinifera	71.18		Grapevine fabavirus	1849838	17.9	Grapevine Pinot gris virus (1.0%); Grapevine fleck virus 2 (0.2%)	Viruses	2	True	multi_species	True	0.007071788359869835	22.07424842163124	0.06149108280963741	0.0	0.0	23897774
SRR36467001	PRJNA1387344	SRP655565	ILLUMINA	Lilium	Lilium	1.12		Carlavirus lilii	3427777	35.61	Stralarivirus fragariae (2.5%); Cheravirus mali (0.8%)	Viruses	2	True	multi_species	False	0.0008704835308931451	41.495693398374854	0.21431977368101032	0.0	0.0	23779887
SRR15607736	PRJNA757692	SRP334062	ILLUMINA	Cicer arietinum	Cicer arietinum	78.84		Phytophthora sojae	67593	1.63	Phytophthora parasitica (0.4%); Phytophthora infestans (0.3%)	Oomycota	2	False	multi_species	True	0.03085314604576563	3.900524152435604e-05	0.6119705699385217	3.8970266824455866	0.0	23073822
SRR15742937	PRJNA761393	SRP336033	ILLUMINA	Cicer arietinum	Cicer arietinum	11.97		Phytophthora sojae	67593	6.04	Phytophthora parasitica (1.6%); Phytophthora infestans (1.1%)	Oomycota	2	False	multi_species	True	0.14622657956943053	4.111877272634569e-05	1.6581391814535256	14.784357530689407	0.0	24319792
SRR8204128	PRJNA505891	SRP169508	ILLUMINA	Zea mays	Zea mays	1.04		Alternaria alternata	5599	18.15	Cercospora beticola (10.2%); Bipolaris maydis (2.4%)	Fungi	2	False	multi_species	False	39.365175702210536	0.0012908970030510896	0.059943753310958595	0.0	0.0	24711499
SRR38355298	PRJNA1458989	SRP695998	ILLUMINA	Arabidopsis thaliana	Arabidopsis thaliana	44.82		Fusarium oxysporum	5507	15.8	Fusarium oxysporum Fo47 (3.7%); Fusarium odoratissimum (0.6%)	Fungi	2	True	multi_species	True	50.57209324349788	0.0067366826036399565	0.38710296287111556	1.2204135151521661e-05	0.0	16387888
SRR33516430	PRJNA1259747	SRP584394	ILLUMINA	Arachis hypogaea	Arachis hypogaea	82.24		Carlavirus vignae	3427805	15.21	Potyvirus phaseovulgaris (0.7%); Peanut stripe virus (0.1%)	Viruses	2	True	multi_species	False	0.0027804739577494643	16.09448440879611	0.1417599788816558	0.0	0.0	27153644
SRR33516417	PRJNA1259747	SRP584394	ILLUMINA	Arachis hypogaea	Arachis hypogaea	88.18		Carlavirus vignae	3427805	8.04	Potyvirus phaseovulgaris (0.4%); Potyvirus arachidis (0.2%)	Viruses	2	True	multi_species	False	0.0006392667554027891	8.77767130479491	0.10561973373856146	0.0	0.0	24872246
SRR15742940	PRJNA761393	SRP336033	ILLUMINA	Cicer arietinum	Cicer arietinum	11.41		Phytophthora sojae	67593	5.62	Phytophthora parasitica (1.6%); Phytophthora infestans (1.0%)	Oomycota	2	False	multi_species	True	0.16333554985346913	0.0002544989280784477	1.8600395559614433	14.164494761434412	0.0	32220175
