BioProject	n_runs	title	description	pmids	publications	primaries	secondaries
PRJEB39201	71	RNA-Seq of field samples of Wheat Yellow Rust uploaded into the Rust Expression Browser	The Rust Expression Browser allows for the simultaneous investigation of > 1,000 samples of Wheat Yellow Rust (Puccinia striiformis fsp. tritici) infected Wheat (Triticum aestivum) leaves quantified a			Puccinia striiformis f. sp. tritici	Alternaria alternata; Bipolaris maydis; Bipolaris sorokiniana; Exserohilum turcicum; Leptosphaeria maculans; Listeria monocytogenes; Parastagonospora nodorum; Pyrenophora tritici-repentis; Zymoseptoria tritici
PRJNA1067407	36	Tomato Brown Rugose Fruit Virus Nextstrain Build Version 4: Pathways of Introduction and Local Spread	Tomato brown rugose fruit virus (ToBRFV; Tobamovirus fructirugosum) is a harmful virus significantly reducing yield and fruit quality in tomato. It was first detected in Israel and Jordan in 2015 and 			Tomato brown rugose fruit virus	Pepino mosaic virus; Phytophthora infestans
PRJNA1228670	32						
PRJEB15280	28	Field pathogenomics detects rapid global spread of recent emergent European lineages of wheat yellow rust	Wheat yellow (stripe) rust disease, caused by the fungus Puccinia striiformis f. sp. tritici (PST), poses a significant threat to global wheat production. The past decade has seen the emergence of new			Puccinia striiformis	Alternaria alternata; Leptosphaeria maculans; Parastagonospora nodorum; Pyrenophora tritici-repentis; Setosphaeria turcica; Zymoseptoria tritici
PRJEB53888	26	Tomato brown rugose fruit virus (ToBRFV) Nextstrain build version 3; The rise of a novel clade	In the Netherlands, tomato brown rugose fruit virus (ToBRFV) was first identified in tomato crops in 2019. Since then, the National Plant Protection Organization (NPPO-NL) is performing surveys to tra			Tomato brown rugose fruit virus	Pepino mosaic virus
PRJNA687280	20	Analysis of differentially expressed genes during the interaction of Sclerotinia sclerotiorum with moderately resistant and highly susceptible chickpea lines	A timecourse transcriptional analysis of S. sclerotiorum gene expression during chickpea infection			Sclerotinia sclerotiorum	Botrytis cinerea
PRJNA1242556	18	Tomato Brown Rugose Fruit Virus Nextstrain Build Version 5	Tomato Brown Rugose Fruit Virus Nextstrain Build Version 5			Tomato brown rugose fruit virus	Blunervirus solani; Pepino mosaic virus; Phytophthora infestans
PRJEB84390	14	Sequencing reads associated with the study: Comparative genomics of brown rust field samples	Sequencing reads associated with the study: Comparative genomics of brown rust field samples			Puccinia triticina	Pantoea ananatis; Parastagonospora nodorum; Pseudomonas syringae; Pyrenophora tritici-repentis; Zymoseptoria tritici
PRJEB31334	10	Mobile And Real-time PLant disEase (MARPLE) diagnostics for strain-level identification of wheat yellow rust	We developed a portable, genomics-based, point-of-care approach specifically tailored for identifying individual strains of complex fungal plant pathogens. Using targeted sequencing, we overcame limit			Puccinia striiformis	Alternaria alternata; Alternaria solani; Parastagonospora nodorum; Pyrenophora tritici-repentis Pt-1C-BFP; Zymoseptoria tritici
PRJNA1220327	10	Turnip mosaic virus strain:YC5 Raw sequence reads	We have investigated how the speed of host replacement affects the evolution of virulence and genome dynamics of an RNA virus. Specifically, we have examined how sudden vs. gradual transitions from mo			Turnip mosaic virus	Potyvirus rapae
PRJNA574904	9						
PRJNA1429803	7	PLant viral metagenomes 2026	Data from viral infected plants			Potato leafroll virus	Carlavirus sigmasolani; Polerovirus PLRV; Tobamovirus brugmansiae
PRJEB42296	7	EMG produced TPA metagenomics assembly of PRJEB42296 data set (First expansion of the public Tomato brown rugose fruit virus (ToBRFV) Nextstrain build; inclusion of new genomic and epidemiological data).	The Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) data set PRJEB42296, and was assembled with metaSPAdes v3.15.3. This project includes samples from the	29069476	[29069476] EBI Metagenomics in 2017: enriching the analysis of microbial communities, from sequence reads to assemblies.	Tomato brown rugose fruit virus	Pepino mosaic virus
PRJNA254725	6	Transcriptional responses of Bdtf1-deletion mutant to the phytoalexin brassinin in the necrotrophic fungus Alternaria brassicicola	Brassica species produce antifungal indolyl compounds, brassinin and its derivatives, during microbial infection. The fungal pathogen Alternaria brassicicola detoxifies brassinin and possibly its deri	25061722	[25061722] Transcriptional responses of the Bdtf1-deletion mutant to the phytoalexin brassinin in the necrotrophic fungus Alternaria brassicicola.	Alternaria brassicicola	Pyrenophora teres
PRJNA700975	4	Transcriptome profiles of Sporisorium reilianum during the early infection of resistant and susceptible maize isogenic lines	The biotrophic fungus Sporisorium reilianum causes destructive head smut disease in maize (Zea mays L.). To explore the pathogenicity arsenal of this fungus, we tracked its transcriptome changes durin			Sporisorium reilianum	Fusarium proliferatum; Fusarium verticillioides 7600
PRJEB47693	4						
PRJNA1111826	4	Puccinia triticina genetic diversity	This project contains DNA and RNA sequences of the wheat leaf fungus, Puccinia triticina. The genomic DNA sequences were generated from purified urediniospores while the RNA sequences were generated f			Puccinia triticina	Parastagonospora nodorum; Pyrenophora tritici-repentis
PRJNA925193	3						
PRJEB65589	3	How to curtail the rise in wheat stem rust infections in western Europe	.			Puccinia graminis f. sp. tritici	Zymoseptoria tritici
PRJNA1107791	3						
PRJEB68334	3	Azole resistance in Blumeria	Blumeria graminis f.sp. tritici (wheat powdery mildew) isolates from the USA and UK were compared for sensitivity to the lanosterol demethylation inhibitor (DMI) azole fungicides tebuconazole and prot			Blumeria graminis f. sp. tritici	Fusarium proliferatum; Penicillium expansum; Xanthomonas oryzae
PRJNA863277	2	A Tale of Two Molds: Comparative Penicillium spp. transcriptomics reveals conserved pathways, processes, and loci associated with ungerminated conidia and blue mold decay	A transcriptomic approach was implemented using two Penicillium species to identify genes related to fungal aggressiveness in apple fruit and loci contained in ungerminated conidia. Total RNA was isol	36557667	[36557667] Comparative	Penicillium expansum	Apple chlorotic leaf spot virus; Apple stem grooving virus
PRJEB20582	2						
PRJNA540383	2	Fusarium pseudograminearum Raw sequence reads	RNA-seq of Fusarium pseudograminearum			Fusarium pseudograminearum	Alternaria alternata
