Run	BioProject	SRAStudy	Platform	ScientificName	host	host_pct	host_species_pct	primary_pathogen	primary_taxid	primary_pct	secondary_pathogens	secondary_kingdoms	n_secondary	known_interaction	co_infection_flag	same_genus_secondary	fungi_pct	virus_pct	bacteria_pct	oomycete_pct	nematode_pct	analyzed
SRR32938356	PRJNA1244880	SRP575731	ILLUMINA	Phytophthora capsici	Phaseolus vulgaris	63.55	54.56	Phytophthora capsici	4784		Phytophthora infestans (0.5%); Fusarium oxysporum (0.1%)	Fungi; Oomycota	2	False	multi_kingdom	True	6.2	0.01	0.14	5.12	0.0	85679757
SRR31839225	PRJNA1202856	SRP554064	ILLUMINA	Fusarium graminearum	Zea mays	38.74	35.39	Fusarium graminearum	5518		Sorghum mosaic virus (6.2%); Fusarium pseudograminearum (0.2%)	Fungi; Viruses	2	True	multi_kingdom	True	50.06	6.2	0.39	0.0	0.0	30549809
ERR1607767	PRJEB15280	ERP016995	ILLUMINA	Puccinia striiformis	Leptosphaeria maculans	1.64	0.29	Puccinia striiformis	27350		Zymoseptoria tritici (2.9%); Leptosphaeria maculans (0.3%); Setosphaeria turcica (0.2%); Pyrenophora tritici-repentis (0.1%)	Fungi	4	False	multi_species	False	12.66	0.0	15.01	0.0	0.0	14337030
ERR1607848	PRJEB15280	ERP016995	ILLUMINA	Puccinia striiformis	Zymoseptoria tritici	2.16	1.6	Puccinia striiformis	27350		Alternaria alternata (3.1%); Zymoseptoria tritici (1.6%); Leptosphaeria maculans (0.3%); Puccinia graminis (0.1%)	Fungi	4	False	multi_species	True	15.85	0.0	0.08	0.0	0.0	24715745
ERR3170234	PRJEB31334	ERP113880	ILLUMINA	Puccinia striiformis	Alternaria alternata	8.08	0.66	Puccinia striiformis	27350		Alternaria alternata (0.7%); Parastagonospora nodorum (0.3%); Puccinia graminis f. sp. tritici CRL 75-36-700-3 (0.2%)	Fungi	3	False	multi_species	True	7.3	0.0	10.21	0.0	0.0	21661496
ERR12013072	PRJEB65589	ERP150722	ILLUMINA	Puccinia graminis f. sp. tritici	Alternaria metachromatica	1.39	0.28	Puccinia graminis f. sp. tritici			Puccinia graminis (10.2%); Zymoseptoria tritici (4.7%); Puccinia triticina (3.0%)	Fungi	3		multi_species	True	49.51	0.02	1.33	0.0	0.0	18233974
ERR6847886	PRJEB47693	ERP131992	ILLUMINA	Puccinia graminis f. sp. tritici	Zymoseptoria tritici	26.76	2.3	Puccinia graminis f. sp. tritici			Puccinia graminis (40.9%); Zymoseptoria tritici (2.3%); Parastagonospora nodorum (0.9%)	Fungi	3		multi_species	True	47.69	0.0	0.54	0.0	0.0	27142351
SRR34575216	PRJNA1292970	SRP601665	ILLUMINA	Puccinia graminis f. sp. tritici	Puccinia graminis	29.53	22.77	Puccinia graminis f. sp. tritici			Puccinia graminis (22.8%); Puccinia triticina (10.8%); Parastagonospora nodorum (4.7%)	Fungi	3		multi_species	True	41.94	0.15	1.39	0.0	0.0	10532497
ERR4315363	PRJEB39201	ERP122692	ILLUMINA	Puccinia striiformis f. sp. tritici	Zymoseptoria tritici	9.42	2.23	Puccinia striiformis f. sp. tritici			Zymoseptoria tritici (2.2%); Alternaria alternata (0.8%); Leptosphaeria maculans (0.1%)	Fungi	3		multi_species	False	7.29	0.03	7.87	0.0	0.0	26023475
ERR6847892	PRJEB47693	ERP131992	ILLUMINA	Puccinia graminis f. sp. tritici	Puccinia triticina	25.25	3.8	Puccinia graminis f. sp. tritici			Puccinia graminis (37.2%); Puccinia triticina (3.8%); Parastagonospora nodorum (2.1%)	Fungi	3		multi_species	True	50.71	0.0	0.55	0.0	0.0	19829984
