BioProject	modes	n_runs	study_design	title	primary_pmid	primary_pub_date	primary_publication	n_papers_found	primaries	secondaries
PRJNA1111826	mal	112	unclear	Puccinia triticina genetic diversity	41639764	2026-02-04	[41639764] Avirulence genes identified through linkage mapping and region-specific association studies in the wheat leaf rust pathogen Puccinia triticina.	1	Puccinia triticina	Parastagonospora nodorum (0.1%); Parastagonospora nodorum (1.1%); Puccinia graminis (0.1%); Puccinia graminis (0.2%); Puccinia graminis (0.3%); Puccinia striiformis (0.1%); Puccinia striiformis (0.2%); Puccinia striiformis (0.7%); Puccinia striiformis (6.4%); Pyrenophora tritici-repentis (1.5%); environmental samples (0.1%); environmental samples (0.2%)
PRJEB31334	mal	104	field_survey	Mobile And Real-time PLant disEase (MARPLE) diagnostics for strain-level identification of wheat yellow rust	33750297	2021-03-09	[33750297] Rust expression browser: an open source database for simultaneous analysis of host and pathogen gene expression profiles with expVIP.	1	Puccinia striiformis	Alternaria alternata (0.1%); Alternaria alternata (0.2%); Alternaria alternata (0.7%); Alternaria alternata (13.3%); Alternaria alternata (2.3%); Alternaria alternata (5.6%); Alternaria solani (0.1%); Alternaria solani (0.2%); Alternaria solani (0.3%); Parastagonospora nodorum (0.1%); Parastagonospora nodorum (0.3%); Parastagonospora nodorum (0.4%); Parastagonospora nodorum (0.8%); Puccinia graminis f. sp. tritici CRL 75-36-700-3 (0.2%); Puccinia graminis f. sp. tritici CRL 75-36-700-3 (0.3%); Puccinia graminis f. sp. tritici CRL 75-36-700-3 (0.4%); Puccinia graminis f. sp. tritici CRL 75-36-700-3 (0.5%); Puccinia graminis f. sp. tritici CRL 75-36-700-3 (0.6%); Puccinia graminis f. sp. tritici CRL 75-36-700-3 (0.7%); Puccinia graminis f. sp. tritici CRL 75-36-700-3 (0.8%); Puccinia graminis f. sp. tritici CRL 75-36-700-3 (0.9%); Puccinia graminis f. sp. tritici CRL 75-36-700-3 (1.0%); Pyrenophora tritici-repentis Pt-1C-BFP (0.2%); Zymoseptoria tritici (0.5%); Zymoseptoria tritici (1.0%)
PRJEB39201	mal	77	field_survey	RNA-Seq of field samples of Wheat Yellow Rust uploaded into the Rust Expression Browser	33750297	2021-03-09	[33750297] Rust expression browser: an open source database for simultaneous analysis of host and pathogen gene expression profiles with expVIP.	1	Puccinia striiformis f. sp. tritici	Alternaria alternata (0.1%); Alternaria alternata (0.2%); Alternaria alternata (0.3%); Alternaria alternata (0.4%); Alternaria alternata (0.5%); Alternaria alternata (0.7%); Alternaria alternata (0.8%); Alternaria alternata (1.0%); Alternaria alternata (1.2%); Alternaria alternata (1.4%); Alternaria alternata (1.5%); Alternaria alternata (1.6%); Alternaria alternata (1.7%); Alternaria alternata (2.0%); Alternaria alternata (2.4%); Bipolaris maydis (0.1%); Bipolaris sorokiniana (0.1%); Exserohilum turcicum (0.1%); Exserohilum turcicum (0.2%); Leptosphaeria maculans (0.1%); Listeria monocytogenes (1.0%); Listeria monocytogenes (5.9%); Parastagonospora nodorum (0.1%); Parastagonospora nodorum (0.8%); Parastagonospora nodorum (0.9%); Parastagonospora nodorum (1.0%); Parastagonospora nodorum (2.1%); Parastagonospora nodorum (3.0%); Puccinia graminis (0.1%); Puccinia graminis (0.3%); Puccinia graminis (1.0%); Pyrenophora tritici-repentis (0.1%); Pyrenophora tritici-repentis (0.4%); Pyrenophora tritici-repentis (0.5%); Pyrenophora tritici-repentis (0.6%); Pyrenophora tritici-repentis (0.7%); Pyrenophora tritici-repentis (2.9%); Zymoseptoria tritici (0.6%); Zymoseptoria tritici (0.9%); Zymoseptoria tritici (1.0%); Zymoseptoria tritici (1.1%); Zymoseptoria tritici (1.2%); Zymoseptoria tritici (1.3%); Zymoseptoria tritici (1.6%); Zymoseptoria tritici (1.8%); Zymoseptoria tritici (10.2%); Zymoseptoria tritici (13.9%); Zymoseptoria tritici (14.0%); Zymoseptoria tritici (14.8%); Zymoseptoria tritici (2.2%); Zymoseptoria tritici (2.3%); Zymoseptoria tritici (2.4%); Zymoseptoria tritici (2.5%); Zymoseptoria tritici (2.7%); Zymoseptoria tritici (2.9%); Zymoseptoria tritici (21.1%); Zymoseptoria tritici (29.0%); Zymoseptoria tritici (3.2%); Zymoseptoria tritici (3.5%); Zymoseptoria tritici (3.6%); Zymoseptoria tritici (3.8%); Zymoseptoria tritici (4.3%); Zymoseptoria tritici (4.5%); Zymoseptoria tritici (6.9%); Zymoseptoria tritici (8.4%)
PRJEB84390	mal	38	field_survey	Sequencing reads associated with the study: Comparative genomics of brown rust field samples	41299216	2025-11-26	[41299216] k-mer-based GWAS reveals a candidate avirulence gene and structural variation in Puccinia triticina linked to gain of Lr20 virulence.	1	Puccinia triticina	Pantoea ananatis (2.3%); Parastagonospora nodorum (0.8%); Parastagonospora nodorum (3.7%); Pseudomonas syringae (1.0%); Puccinia graminis (0.1%); Puccinia graminis (0.2%); Puccinia graminis (0.3%); Puccinia graminis (0.4%); Puccinia graminis (9.1%); Puccinia striiformis (0.1%); Puccinia striiformis (0.4%); Puccinia striiformis (21.9%); Pyrenophora tritici-repentis (0.1%); Zymoseptoria tritici (0.1%); Zymoseptoria tritici (1.2%); Zymoseptoria tritici (1.3%); Zymoseptoria tritici (1.5%); Zymoseptoria tritici (1.9%); Zymoseptoria tritici (11.9%); Zymoseptoria tritici (13.5%); Zymoseptoria tritici (2.1%); Zymoseptoria tritici (3.5%); Zymoseptoria tritici (4.6%); Zymoseptoria tritici (4.8%); Zymoseptoria tritici (5.7%); environmental samples (4.1%)
PRJNA1067407	mal	35	field_survey	Tomato Brown Rugose Fruit Virus Nextstrain Build Version 4: Pathways of Introduction and Local Spread				0	Tomato brown rugose fruit virus	Pepino mosaic virus (11.8%); Pepino mosaic virus (14.6%); Pepino mosaic virus (23.3%); Pepino mosaic virus (24.0%); Pepino mosaic virus (28.0%); Pepino mosaic virus (31.0%); Pepino mosaic virus (31.1%); Pepino mosaic virus (34.1%); Pepino mosaic virus (34.6%); Pepino mosaic virus (36.3%); Pepino mosaic virus (36.6%); Pepino mosaic virus (37.7%); Pepino mosaic virus (39.1%); Pepino mosaic virus (39.9%); Pepino mosaic virus (41.6%); Pepino mosaic virus (42.8%); Pepino mosaic virus (43.0%); Pepino mosaic virus (43.1%); Pepino mosaic virus (46.5%); Pepino mosaic virus (46.9%); Pepino mosaic virus (47.6%); Pepino mosaic virus (51.7%); Pepino mosaic virus (52.0%); Pepino mosaic virus (52.4%); Pepino mosaic virus (53.6%); Pepino mosaic virus (59.0%); Pepino mosaic virus (61.2%); Pepino mosaic virus (61.3%); Pepino mosaic virus (61.6%); Pepino mosaic virus (64.4%); Pepino mosaic virus (65.5%); Pepino mosaic virus (70.0%); Phytophthora infestans (13.6%)
PRJEB15280	mal	34	field_survey	Field pathogenomics detects rapid global spread of recent emergent European lineages of wheat yellow rust	29177504	2017-12-01	[29177504] Pathogenomic Analysis of Wheat Yellow Rust Lineages Detects Seasonal Variation and Host Specificity.	3	Puccinia striiformis	Alternaria alternata (0.3%); Alternaria alternata (0.4%); Alternaria alternata (0.6%); Alternaria alternata (1.3%); Alternaria alternata (2.4%); Alternaria alternata (3.1%); Leptosphaeria maculans (0.3%); Parastagonospora nodorum (0.7%); Puccinia graminis (0.1%); Puccinia graminis (0.2%); Puccinia graminis (0.3%); Pyrenophora tritici-repentis (0.1%); Pyrenophora tritici-repentis (2.1%); Setosphaeria turcica (0.2%); Zymoseptoria tritici (0.6%); Zymoseptoria tritici (0.8%); Zymoseptoria tritici (0.9%); Zymoseptoria tritici (1.3%); Zymoseptoria tritici (1.4%); Zymoseptoria tritici (1.5%); Zymoseptoria tritici (1.6%); Zymoseptoria tritici (1.8%); Zymoseptoria tritici (10.6%); Zymoseptoria tritici (10.9%); Zymoseptoria tritici (19.9%); Zymoseptoria tritici (2.4%); Zymoseptoria tritici (2.6%); Zymoseptoria tritici (2.9%); Zymoseptoria tritici (3.0%); Zymoseptoria tritici (3.3%); Zymoseptoria tritici (3.4%); Zymoseptoria tritici (5.0%); Zymoseptoria tritici (5.1%); Zymoseptoria tritici (9.3%)
PRJNA1228670	mal	32	unclear	Impatiens Necrotic Spot Orthotospovirus Whole Genome sequencing and assembly				0	Orthotospovirus impatiensnecromaculae	Cytorhabdovirus lactucamaculante (1.0%); Mirafiori lettuce big-vein virus (0.4%); Mirafiori lettuce big-vein virus (0.7%); Mirafiori lettuce big-vein virus (0.8%); Mirafiori lettuce big-vein virus (0.9%); Mirafiori lettuce big-vein virus (2.5%); Mirafiori lettuce big-vein virus (3.4%); Mirafiori lettuce big-vein virus (3.6%); Mirafiori lettuce big-vein virus (4.1%); Mirafiori lettuce big-vein virus (6.3%); Mirafiori lettuce big-vein virus (7.1%); Ophiovirus mirafioriense (0.3%); Ophiovirus mirafioriense (0.4%); Ophiovirus mirafioriense (0.8%); Ophiovirus mirafioriense (1.3%); Ophiovirus mirafioriense (1.6%); Ophiovirus mirafioriense (1.8%); Ophiovirus mirafioriense (11.6%); Ophiovirus mirafioriense (3.5%); Ophiovirus mirafioriense (4.4%); Ophiovirus mirafioriense (4.8%); Ophiovirus mirafioriense (6.6%); Ophiovirus mirafioriense (9.7%); Orthotospovirus tomatomaculae (27.9%); Sclerotinia sclerotiorum (7.1%); Sclerotinia sclerotiorum (8.3%); Varicosavirus lactucae (0.3%); Varicosavirus lactucae (0.4%); Varicosavirus lactucae (0.5%); Varicosavirus lactucae (0.6%); Varicosavirus lactucae (0.9%); Varicosavirus lactucae (1.4%); Varicosavirus lactucae (12.1%); Varicosavirus lactucae (2.2%); Varicosavirus lactucae (2.8%); Varicosavirus lactucae (2.9%); Varicosavirus lactucae (8.0%); Varicosavirus lactucae (9.5%); Xanthomonas campestris (1.3%); Xanthomonas hortorum (2.5%)
PRJEB32362	mal	30	unclear	RNA-seq of Pectobacterium carotovorum subsp. carotovorum and P. polaris infecting potato at 24, 48 and 72 hpi, and grown on M9 solid minimal medium at 24 hpi				0	Pectobacterium carotovorum subsp. carotovorum	Pectobacterium odoriferum (0.2%); Pectobacterium versatile (0.5%); Pectobacterium versatile (0.6%)
PRJEB53888	mal	26	field_survey	Tomato brown rugose fruit virus (ToBRFV) Nextstrain build version 3; The rise of a novel clade				0	Tomato brown rugose fruit virus	Pepino mosaic virus (0.8%); Pepino mosaic virus (1.9%); Pepino mosaic virus (11.6%); Pepino mosaic virus (12.1%); Pepino mosaic virus (15.1%); Pepino mosaic virus (16.7%); Pepino mosaic virus (16.8%); Pepino mosaic virus (19.5%); Pepino mosaic virus (20.6%); Pepino mosaic virus (3.7%); Pepino mosaic virus (3.8%); Pepino mosaic virus (4.7%); Pepino mosaic virus (4.8%); Pepino mosaic virus (5.8%); Pepino mosaic virus (6.0%); Pepino mosaic virus (6.9%); Pepino mosaic virus (7.2%); Pepino mosaic virus (7.5%); Pepino mosaic virus (7.8%); Pepino mosaic virus (8.1%); Pepino mosaic virus (8.7%); Pepino mosaic virus (9.7%); Tobacco mosaic virus (0.2%); Tobacco mosaic virus (0.3%)
PRJNA1092066	mal	20	unclear	Comparative analyses of Fusarium oxysporum f.sp. lactucae and other F. oxysporum f.spp. Genome sequencing and assembly	39450076	2024-10-10	[39450076] Comparative genomics and transcriptomics reveal differences in effector complement and expression between races of	1	Fusarium oxysporum Fo47; Fusarium oxysporum f. sp. lactucae; Fusarium oxysporum f. sp. matthiolae	Fusarium odoratissimum (0.3%); Fusarium odoratissimum (0.4%); Fusarium odoratissimum (0.5%); Fusarium odoratissimum (0.6%); Fusarium odoratissimum (0.7%); Fusarium odoratissimum (0.8%); Fusarium odoratissimum (0.9%); Fusarium odoratissimum (1.0%); Fusarium odoratissimum (1.1%)
