BioProject	n_runs	title	description	pmids	publications	primaries	secondaries
PRJEB39201	71	RNA-Seq of field samples of Wheat Yellow Rust uploaded into the Rust Expression Browser	The Rust Expression Browser allows for the simultaneous investigation of > 1,000 samples of Wheat Yellow Rust (Puccinia striiformis fsp. tritici) infected Wheat (Triticum aestivum) leaves quantified against two version of the Wheat Yellow Rust transcriptome and version 1.1 of the Wheat transcriptome. Expression was quantified with Kallisto and the browser was built using the open source expVIP software.			Puccinia striiformis f. sp. tritici	Alternaria alternata (0.1%); Alternaria alternata (0.2%); Alternaria alternata (0.3%); Alternaria alternata (0.4%); Alternaria alternata (0.5%); Alternaria alternata (0.7%); Alternaria alternata (0.8%); Alternaria alternata (1.0%); Alternaria alternata (1.2%); Alternaria alternata (1.4%); Alternaria alternata (1.5%); Alternaria alternata (1.6%); Alternaria alternata (1.7%); Alternaria alternata (2.0%); Alternaria alternata (2.4%); Bipolaris maydis (0.1%); Bipolaris sorokiniana (0.1%); Exserohilum turcicum (0.1%); Exserohilum turcicum (0.2%); Leptosphaeria maculans (0.1%); Listeria monocytogenes (1.0%); Listeria monocytogenes (5.9%); Parastagonospora nodorum (0.1%); Parastagonospora nodorum (0.8%); Parastagonospora nodorum (0.9%); Parastagonospora nodorum (1.0%); Parastagonospora nodorum (2.1%); Parastagonospora nodorum (3.0%); Pyrenophora tritici-repentis (0.1%); Pyrenophora tritici-repentis (0.4%); Pyrenophora tritici-repentis (0.5%); Pyrenophora tritici-repentis (0.6%); Pyrenophora tritici-repentis (0.7%); Pyrenophora tritici-repentis (2.9%); Zymoseptoria tritici (0.6%); Zymoseptoria tritici (0.9%); Zymoseptoria tritici (1.0%); Zymoseptoria tritici (1.1%); Zymoseptoria tritici (1.2%); Zymoseptoria tritici (1.3%); Zymoseptoria tritici (1.6%); Zymoseptoria tritici (1.8%); Zymoseptoria tritici (10.2%); Zymoseptoria tritici (14.0%); Zymoseptoria tritici (14.8%); Zymoseptoria tritici (2.2%); Zymoseptoria tritici (2.3%); Zymoseptoria tritici (2.5%); Zymoseptoria tritici (2.7%); Zymoseptoria tritici (2.9%); Zymoseptoria tritici (21.1%); Zymoseptoria tritici (29.0%); Zymoseptoria tritici (3.2%); Zymoseptoria tritici (3.5%); Zymoseptoria tritici (3.6%); Zymoseptoria tritici (3.8%); Zymoseptoria tritici (4.3%); Zymoseptoria tritici (4.5%); Zymoseptoria tritici (6.9%); Zymoseptoria tritici (8.4%)
PRJNA1067407	36	Tomato Brown Rugose Fruit Virus Nextstrain Build Version 4: Pathways of Introduction and Local Spread	Tomato brown rugose fruit virus (ToBRFV; Tobamovirus fructirugosum) is a harmful virus significantly reducing yield and fruit quality in tomato. It was first detected in Israel and Jordan in 2015 and quickly reached a near-global distribution. Following the outbreak of ToBRFV in the Netherlands in 2019, the Dutch National Plant Protection Organization (NPPO-NL) created a Nextstrain build, which was updated in 2021 and 2023. Here, we announce the release of 82 new (near) complete ToBRFV genomes with associated metadata and the fourth version of the ToBRFV Nextstrain build, which has expanded from 179 to 336 (near) complete genomes. This ToBRFV Nextstrain build is a powerful tool for gaining more insight into the epidemiology of ToBRFV, i.e., on pathways of introduction and the spread and possible origin of the rapidly emerging clade 7 sequence type isolates. The ToBRFV Nextstrain build is available at https://nextstrain.nrcnvwa.nl/ToBRFV/20240205.			Tomato brown rugose fruit virus	Pepino mosaic virus (11.8%); Pepino mosaic virus (14.6%); Pepino mosaic virus (23.3%); Pepino mosaic virus (24.0%); Pepino mosaic virus (28.0%); Pepino mosaic virus (31.0%); Pepino mosaic virus (31.1%); Pepino mosaic virus (34.1%); Pepino mosaic virus (34.6%); Pepino mosaic virus (36.3%); Pepino mosaic virus (36.6%); Pepino mosaic virus (37.7%); Pepino mosaic virus (39.1%); Pepino mosaic virus (39.9%); Pepino mosaic virus (4.9%); Pepino mosaic virus (41.6%); Pepino mosaic virus (42.8%); Pepino mosaic virus (43.0%); Pepino mosaic virus (43.1%); Pepino mosaic virus (46.5%); Pepino mosaic virus (46.9%); Pepino mosaic virus (47.6%); Pepino mosaic virus (51.7%); Pepino mosaic virus (52.0%); Pepino mosaic virus (52.4%); Pepino mosaic virus (53.6%); Pepino mosaic virus (59.0%); Pepino mosaic virus (61.2%); Pepino mosaic virus (61.3%); Pepino mosaic virus (61.6%); Pepino mosaic virus (64.4%); Pepino mosaic virus (65.5%); Pepino mosaic virus (70.0%); Phytophthora infestans (13.6%)
PRJNA1228670	32	Impatiens Necrotic Spot Orthotospovirus Whole Genome sequencing and assembly	Sequencing Impatiens Necrotic Spot Virus (INSV) Isolates infecting lettuce in California and Arizona Lettuce Production areas. Assess INSV isolates variation and monitor for resistance-breaking isolates in lettuce production areas.			Orthotospovirus impatiensnecromaculae	Mirafiori lettuce big-vein virus (0.4%); Mirafiori lettuce big-vein virus (0.7%); Mirafiori lettuce big-vein virus (0.8%); Mirafiori lettuce big-vein virus (0.9%); Mirafiori lettuce big-vein virus (1.3%); Mirafiori lettuce big-vein virus (2.5%); Mirafiori lettuce big-vein virus (3.4%); Mirafiori lettuce big-vein virus (3.6%); Mirafiori lettuce big-vein virus (4.1%); Mirafiori lettuce big-vein virus (6.3%); Mirafiori lettuce big-vein virus (7.1%); Ophiovirus mirafioriense (0.3%); Ophiovirus mirafioriense (0.4%); Ophiovirus mirafioriense (0.8%); Ophiovirus mirafioriense (1.3%); Ophiovirus mirafioriense (1.6%); Ophiovirus mirafioriense (1.8%); Ophiovirus mirafioriense (11.6%); Ophiovirus mirafioriense (3.5%); Ophiovirus mirafioriense (4.4%); Ophiovirus mirafioriense (4.8%); Ophiovirus mirafioriense (6.6%); Ophiovirus mirafioriense (9.7%); Sclerotinia sclerotiorum (7.1%); Sclerotinia sclerotiorum (8.3%); Varicosavirus lactucae (0.3%); Varicosavirus lactucae (0.4%); Varicosavirus lactucae (0.5%); Varicosavirus lactucae (0.6%); Varicosavirus lactucae (0.9%); Varicosavirus lactucae (1.4%); Varicosavirus lactucae (12.1%); Varicosavirus lactucae (2.2%); Varicosavirus lactucae (2.8%); Varicosavirus lactucae (2.9%); Varicosavirus lactucae (8.0%); Varicosavirus lactucae (9.5%); Xanthomonas campestris (1.3%); Xanthomonas hortorum (2.5%)
PRJEB15280	28	Field pathogenomics detects rapid global spread of recent emergent European lineages of wheat yellow rust	Wheat yellow (stripe) rust disease, caused by the fungus Puccinia striiformis f. sp. tritici (PST), poses a significant threat to global wheat production. The past decade has seen the emergence of new PST races that are adapted to warmer temperatures, have expanded virulence profiles, and are more aggressive than previous races, leading to wide-scale epidemics. Here, we used field-based genotyping to generate high-resolution data on PST genetics, finding that recently emerged European PST lineages are now globally widespread. Comparative analysis of the 2014 and 2013 UK populations identified a considerable shift in the PST population structure, including the first identification of the Kranich race in the UK. Finally, we uncovered potential seasonal and varietal specificity for genetic groups of PST. This knowledge regarding which wheat varieties are susceptible to specific PST isolates, and when those isolates are prevalent throughout the year, represents a powerful tool for disease management.			Puccinia striiformis	Alternaria alternata (0.3%); Alternaria alternata (0.4%); Alternaria alternata (0.6%); Alternaria alternata (1.3%); Alternaria alternata (2.4%); Leptosphaeria maculans (0.3%); Parastagonospora nodorum (0.7%); Pyrenophora tritici-repentis (0.1%); Pyrenophora tritici-repentis (2.1%); Setosphaeria turcica (0.2%); Zymoseptoria tritici (0.6%); Zymoseptoria tritici (0.8%); Zymoseptoria tritici (0.9%); Zymoseptoria tritici (1.3%); Zymoseptoria tritici (1.4%); Zymoseptoria tritici (1.5%); Zymoseptoria tritici (1.8%); Zymoseptoria tritici (10.6%); Zymoseptoria tritici (10.9%); Zymoseptoria tritici (19.9%); Zymoseptoria tritici (2.4%); Zymoseptoria tritici (2.6%); Zymoseptoria tritici (2.9%); Zymoseptoria tritici (3.0%); Zymoseptoria tritici (3.3%); Zymoseptoria tritici (3.4%); Zymoseptoria tritici (5.0%); Zymoseptoria tritici (5.1%); Zymoseptoria tritici (9.3%)
PRJEB53888	26	Tomato brown rugose fruit virus (ToBRFV) Nextstrain build version 3; The rise of a novel clade	In the Netherlands, tomato brown rugose fruit virus (ToBRFV) was first identified in tomato crops in 2019. Since then, the National Plant Protection Organization (NPPO-NL) is performing surveys to track and trace this regulated virus aiming for its eradication. To gain more insight in the epidemiology of this virus, complete genomes were assembled from Illumina sequence data. Whole-genome phylogenetics was integrated with epidemiological meta-data. Two new clades were defined, one of which displayed a rapid increase relative to the previous version of the Nextstrain build. This rapid increase could be attributed to the illegal application of a supposedly mild isolate of ToBRFV as a cross-protection agent. Sample analyses suggest that both deliberate application or accidental introduction occurred at different tomato production sites. In this report we announce the inclusion of 61 new (near) complete ToBRFV genomes in version three of the Nextstrain build, available from https://nextstrain.nrcnvwa.nl/ToBRFV/20220412.			Tomato brown rugose fruit virus	Pepino mosaic virus (0.8%); Pepino mosaic virus (1.9%); Pepino mosaic virus (11.6%); Pepino mosaic virus (12.1%); Pepino mosaic virus (15.1%); Pepino mosaic virus (16.7%); Pepino mosaic virus (16.8%); Pepino mosaic virus (19.5%); Pepino mosaic virus (20.6%); Pepino mosaic virus (3.7%); Pepino mosaic virus (3.8%); Pepino mosaic virus (4.7%); Pepino mosaic virus (4.8%); Pepino mosaic virus (5.8%); Pepino mosaic virus (6.0%); Pepino mosaic virus (6.9%); Pepino mosaic virus (7.2%); Pepino mosaic virus (7.5%); Pepino mosaic virus (7.8%); Pepino mosaic virus (8.1%); Pepino mosaic virus (8.7%); Pepino mosaic virus (9.7%)
PRJNA687280	20	Analysis of differentially expressed genes during the interaction of Sclerotinia sclerotiorum with moderately resistant and highly susceptible chickpea lines	A timecourse transcriptional analysis of S. sclerotiorum gene expression during chickpea infection			Sclerotinia sclerotiorum	Botrytis cinerea (0.2%); Botrytis cinerea (0.3%); Botrytis cinerea (0.8%); Botrytis cinerea (0.9%); Botrytis cinerea (1.0%); Botrytis cinerea (1.1%); Botrytis cinerea (1.2%); Botrytis cinerea (1.3%); Botrytis cinerea (1.4%)
PRJNA1242556	18	Tomato Brown Rugose Fruit Virus Nextstrain Build Version 5	Tomato Brown Rugose Fruit Virus Nextstrain Build Version 5			Tomato brown rugose fruit virus	Blunervirus solani (17.5%); Pepino mosaic virus (13.3%); Pepino mosaic virus (18.8%); Pepino mosaic virus (19.5%); Pepino mosaic virus (19.6%); Pepino mosaic virus (19.9%); Pepino mosaic virus (2.8%); Pepino mosaic virus (20.3%); Pepino mosaic virus (21.0%); Pepino mosaic virus (21.8%); Pepino mosaic virus (23.2%); Pepino mosaic virus (23.4%); Pepino mosaic virus (31.4%); Pepino mosaic virus (37.9%); Pepino mosaic virus (6.4%); Pepino mosaic virus (7.8%); Phytophthora infestans (7.7%)
PRJEB84390	14	Sequencing reads associated with the study: Comparative genomics of brown rust field samples	Sequencing reads associated with the study: Comparative genomics of brown rust field samples			Puccinia triticina	Pantoea ananatis (2.3%); Parastagonospora nodorum (3.7%); Pseudomonas syringae (1.0%); Pyrenophora tritici-repentis (0.1%); Zymoseptoria tritici (0.1%); Zymoseptoria tritici (1.2%); Zymoseptoria tritici (1.3%); Zymoseptoria tritici (1.5%); Zymoseptoria tritici (11.9%); Zymoseptoria tritici (2.1%); Zymoseptoria tritici (3.5%); Zymoseptoria tritici (4.6%); Zymoseptoria tritici (4.8%)
PRJEB31334	10					Puccinia striiformis	Alternaria alternata (0.1%); Alternaria alternata (13.3%); Alternaria alternata (5.6%); Alternaria solani (0.1%); Alternaria solani (0.2%); Alternaria solani (0.3%); Parastagonospora nodorum (0.1%); Parastagonospora nodorum (0.3%); Pyrenophora tritici-repentis Pt-1C-BFP (0.2%); Zymoseptoria tritici (1.0%)
PRJNA1220327	10	Turnip mosaic virus strain:YC5 Raw sequence reads	We have investigated how the speed of host replacement affects the evolution of virulence and genome dynamics of an RNA virus. Specifically, we have examined how sudden vs. gradual transitions from more susceptible to less susceptible Arabidopsis thaliana genotypes influenced turnip mosaic virus virulence and population genetic diversity. Our results show that the evolution of virulence and the complexity of the mutant swarm is linked to both the type of host succession and the genetic basis of the host resistance. Faster changes in virulence are observed after sudden transitions, with an evolutionary trend towards more severe symptoms that appear latter during infection. Gradual transitions resulted in greater population mutational load and higher genetic polymorphism compared to sudden transitions. In contrast, beneficial mutations associated with sudden transitions had stronger fitness effects than those linked to gradual transitions. This research highlights the importance of considering the speed of environmental changes in virus evolution and provide insights into predicting how viruses adapt and evolve in temporally changing environments, with implications for agriculture and public health.			Turnip mosaic virus	Potyvirus rapae (12.9%); Potyvirus rapae (13.1%); Potyvirus rapae (16.7%); Potyvirus rapae (5.6%); Potyvirus rapae (6.4%); Potyvirus rapae (6.7%); Potyvirus rapae (9.0%); Potyvirus rapae (9.1%); Potyvirus rapae (9.4%); Potyvirus rapae (9.8%)
