mode	Run	BioSample	BioProject	biosample_rep	sra_organism	stat_top_pathogen	stat_top_pct	meta_pathogen	mismatch_flag	bp_title
mal	SRR32938356	SAMN47734607	PRJNA1244880	True	Phytophthora capsici	Phytophthora infestans	0.53	phytophthora capsici	all_match	Putative SET Domain-Containing Proteins Play Significant Roles in Regulating Sporulation, and Pathogenicity in Phytophthora capsici
mal	SRR10420664	SAMN13241310	PRJNA588304	True	Bean yellow mosaic virus	Bean yellow mosaic virus	39.27	bean yellow mosaic virus	all_match	Genome Sequence and Phylogeny of a Bean Yellow Mosaic Virus Isolate Obtained from a 14-Year-Old Australian Lentil Sample.
mal	ERR1607767	SAMEA4415685	PRJEB15280	True	Puccinia striiformis	Zymoseptoria tritici	2.91	puccinia striiformis f. sp. tritici	stat_conflict	Pathogenomic Analysis of Wheat Yellow Rust Lineages Detects Seasonal Variation and Host Specificity.
mal	ERR1607848	SAMEA4415766	PRJEB15280	True	Puccinia striiformis	Alternaria alternata	3.1	puccinia striiformis f. sp. tritici	stat_conflict	Pathogenomic Analysis of Wheat Yellow Rust Lineages Detects Seasonal Variation and Host Specificity.
mal	ERR3170234	SAMEA5366356	PRJEB31334	True	Puccinia striiformis	Puccinia striiformis f. sp. tritici	0.89	puccinia striiformis f. sp. tritici	all_match	Rust expression browser: an open source database for simultaneous analysis of host and pathogen gene expression profiles with expVIP.
mal	ERR4315363	SAMEA7036005	PRJEB39201	True	Puccinia striiformis f. sp. tritici	Zymoseptoria tritici	2.23	puccinia striiformis f. sp. tritici	stat_conflict	Rust expression browser: an open source database for simultaneous analysis of host and pathogen gene expression profiles with expVIP.
mal	SRR32667274	SAMN47293285	PRJNA1228670	True	Orthotospovirus impatiensnecromaculae	Orthotospovirus impatiensnecromaculae	22.35	impatiens necrotic spot orthotospovirus	meta_conflict	Impatiens Necrotic Spot Orthotospovirus Whole Genome sequencing and assembly
mal	SRR32667293	SAMN47293311	PRJNA1228670	True	Orthotospovirus impatiensnecromaculae	Orthotospovirus impatiensnecromaculae	22.32	impatiens necrotic spot orthotospovirus	meta_conflict	Impatiens Necrotic Spot Orthotospovirus Whole Genome sequencing and assembly
mal	SRR34695332	SAMN50023628	PRJNA1228670	True	Orthotospovirus impatiensnecromaculae	Orthotospovirus impatiensnecromaculae	30.0	impatiens necrotic spot orthotospovirus	meta_conflict	Impatiens Necrotic Spot Orthotospovirus Whole Genome sequencing and assembly
mal	SRR32667331	SAMN47293255	PRJNA1228670	True	Orthotospovirus impatiensnecromaculae	Ophiovirus mirafioriense	1.65	impatiens necrotic spot orthotospovirus	both_conflict	Impatiens Necrotic Spot Orthotospovirus Whole Genome sequencing and assembly
mal	ERR15005468	SAMEA117592945	PRJEB84390	True	Puccinia triticina	Puccinia triticina	11.21	puccinia triticina	all_match	k-mer-based GWAS reveals a candidate avirulence gene and structural variation in Puccinia triticina linked to gain of Lr20 virulence.
mal	SRR364406	SAMN00754075	PRJNA148307	True	Colletotrichum higginsianum	Colletotrichum graminicola	0.98	colletotrichum higginsianum	all_match	Lifestyle transitions in plant pathogenic Colletotrichum fungi deciphered by genome and transcriptome analyses.
mal	ERR3170209	SAMEA5366331	PRJEB31334	True	Puccinia striiformis	Puccinia graminis f. sp. tritici CRL 75-36-700-3	0.65	puccinia striiformis f. sp. tritici	all_match	Rust expression browser: an open source database for simultaneous analysis of host and pathogen gene expression profiles with expVIP.
mal	ERR1607770	SAMEA4415688	PRJEB15280	True	Puccinia striiformis	Zymoseptoria tritici	2.36	puccinia striiformis f. sp. tritici	stat_conflict	Pathogenomic Analysis of Wheat Yellow Rust Lineages Detects Seasonal Variation and Host Specificity.
mal	ERR1607794	SAMEA4415712	PRJEB15280	True	Puccinia striiformis	Pyrenophora tritici-repentis	2.08	puccinia striiformis f. sp. tritici	stat_conflict	Pathogenomic Analysis of Wheat Yellow Rust Lineages Detects Seasonal Variation and Host Specificity.
mal	ERR12013072	SAMEA114317592	PRJEB65589	True	Puccinia graminis f. sp. tritici	Puccinia graminis	10.19		all_match	How to curtail the rise in wheat stem rust infections in western Europe
mal	ERR4315309	SAMEA7035951	PRJEB39201	True	Puccinia striiformis f. sp. tritici	Zymoseptoria tritici	2.34	puccinia striiformis f. sp. tritici	stat_conflict	Rust expression browser: an open source database for simultaneous analysis of host and pathogen gene expression profiles with expVIP.
mal	ERR4315440	SAMEA7036082	PRJEB39201	True	Puccinia striiformis f. sp. tritici	Zymoseptoria tritici	1.82	puccinia striiformis f. sp. tritici	stat_conflict	Rust expression browser: an open source database for simultaneous analysis of host and pathogen gene expression profiles with expVIP.
mal	SRR23706858	SAMN33594073	PRJNA925193	True	Moniliophthora perniciosa	Colletotrichum fructicola	2.26	moniliophthora perniciosa	stat_conflict	Clonal reproduction of Moniliophthora roreri and the emergence of unique lineages with distinct genomes during range expansion.
mal	ERR4315280	SAMEA7035922	PRJEB39201	True	Puccinia striiformis f. sp. tritici	Zymoseptoria tritici	0.92	puccinia striiformis f. sp. tritici	stat_conflict	Rust expression browser: an open source database for simultaneous analysis of host and pathogen gene expression profiles with expVIP.
mal	ERR6847886	SAMEA9973419	PRJEB47693	True	Puccinia graminis f. sp. tritici	Puccinia graminis	40.94	puccinia graminis f. sp. tritici	all_match	Wheat stem rust recorded for the first time in decades in Ireland.
mal	ERR3170233	SAMEA5366355	PRJEB31334	True	Puccinia striiformis	Alternaria alternata	2.27	puccinia striiformis f. sp. tritici	stat_conflict	Rust expression browser: an open source database for simultaneous analysis of host and pathogen gene expression profiles with expVIP.
mal	ERR4315587	SAMEA7036230	PRJEB39201	True	Puccinia striiformis f. sp. tritici	Alternaria alternata	1.23	puccinia striiformis f. sp. tritici	stat_conflict	Rust expression browser: an open source database for simultaneous analysis of host and pathogen gene expression profiles with expVIP.
mal	ERR15005445	SAMEA117592926	PRJEB84390	True	Puccinia triticina	Puccinia striiformis	21.88	puccinia triticina	all_match	k-mer-based GWAS reveals a candidate avirulence gene and structural variation in Puccinia triticina linked to gain of Lr20 virulence.
mal	ERR1607841	SAMEA4415759	PRJEB15280	True	Puccinia striiformis	Zymoseptoria tritici	1.81	puccinia striiformis f. sp. tritici	stat_conflict	Pathogenomic Analysis of Wheat Yellow Rust Lineages Detects Seasonal Variation and Host Specificity.
mal	SRR19880683	SAMN29359827	PRJNA853137	True	Alternaria alternata	Cercospora beticola	9.82	alternaria alternata	stat_conflict	Alternaria alternata Raw sequence reads
mal	SRR32938368	SAMN47734619	PRJNA1244880	True	Phytophthora capsici	Phytophthora infestans	0.53	phytophthora capsici	all_match	Putative SET Domain-Containing Proteins Play Significant Roles in Regulating Sporulation, and Pathogenicity in Phytophthora capsici
mal	ERR1607756	SAMEA4415674	PRJEB15280	True	Puccinia striiformis	Zymoseptoria tritici	1.63	puccinia striiformis f. sp. tritici	stat_conflict	Pathogenomic Analysis of Wheat Yellow Rust Lineages Detects Seasonal Variation and Host Specificity.
mal	SRR364404	SAMN00754074	PRJNA148307	True	Colletotrichum higginsianum	Colletotrichum graminicola	1.31	colletotrichum higginsianum	all_match	Lifestyle transitions in plant pathogenic Colletotrichum fungi deciphered by genome and transcriptome analyses.
mal	ERR4315685	SAMEA7035803	PRJEB39201	True	Puccinia striiformis f. sp. tritici	Zymoseptoria tritici	14.0	puccinia striiformis f. sp. tritici	stat_conflict	Rust expression browser: an open source database for simultaneous analysis of host and pathogen gene expression profiles with expVIP.
mal	ERR1607768	SAMEA4415686	PRJEB15280	True	Puccinia striiformis	Zymoseptoria tritici	3.04	puccinia striiformis f. sp. tritici	stat_conflict	Pathogenomic Analysis of Wheat Yellow Rust Lineages Detects Seasonal Variation and Host Specificity.
mal	SRR7797542	SAMN09927117	PRJNA486288	True	Fusarium graminearum	Alternaria alternata	1.01	fusarium graminearum	stat_conflict	Population genomics and gene expression analysis of Fusarium Head Blight (FHB)
mal	ERR3170261	SAMEA5366383	PRJEB31334	True	Puccinia striiformis	Puccinia striiformis	1.78	puccinia striiformis f. sp. tritici	all_match	Rust expression browser: an open source database for simultaneous analysis of host and pathogen gene expression profiles with expVIP.
mal	SRR18188804	SAMN26350162	PRJNA811707	True	Penicillium italicum	Penicillium expansum	4.89	penicillium italicum	all_match	RNA-Seq during Navel orange - Penicillium italicum interaction at 3 days post inoculation
mal	SRR31011679	SAMN44304610	PRJNA1173477	True	Colletotrichum gloeosporioides	Colletotrichum siamense	1.05	colletotrichum gloeosporioides	all_match	Colletotrichum gloeosporioides Transcriptome
mal	ERR4315308	SAMEA7035950	PRJEB39201	True	Puccinia striiformis f. sp. tritici	Alternaria alternata	0.98	puccinia striiformis f. sp. tritici	stat_conflict	Rust expression browser: an open source database for simultaneous analysis of host and pathogen gene expression profiles with expVIP.
mal	SRR34575220	SAMN50010418	PRJNA1292970	True	Puccinia graminis f. sp. tritici	Puccinia triticina	3.05		all_match	Sequencing of wheat stem rust isolates from Argentina and Uruguay
mal	SRR13666654	SAMN17841299	PRJNA700975	True	Sporisorium reilianum	Fusarium verticillioides 7600	1.2	sporisorium reilianum	stat_conflict	Transcriptome Profiles of Sporisorium reilianum during the Early Infection of Resistant and Susceptible Maize Isogenic Lines.
mal	SRR34575216	SAMN50010359	PRJNA1292970	True	Puccinia graminis f. sp. tritici	Puccinia graminis	22.77		all_match	Sequencing of wheat stem rust isolates from Argentina and Uruguay
mal	ERR6847893	SAMEA9973426	PRJEB47693	True	Puccinia graminis f. sp. tritici	Zymoseptoria tritici	5.87	puccinia graminis f. sp. tritici	stat_conflict	Wheat stem rust recorded for the first time in decades in Ireland.
mal	SRR31919485	SAMN46137121	PRJNA1207595	True	Phytophthora capsici	Phytophthora nicotianae	2.78	phytophthora capsici	all_match	Phytophthora capsici multiple host RNA-Seq
mal	ERR4315264	SAMEA7035906	PRJEB39201	True	Puccinia striiformis f. sp. tritici	Zymoseptoria tritici	13.9	puccinia striiformis f. sp. tritici	stat_conflict	Rust expression browser: an open source database for simultaneous analysis of host and pathogen gene expression profiles with expVIP.
mal	ERR1607838	SAMEA4415756	PRJEB15280	True	Puccinia striiformis	Zymoseptoria tritici	3.43	puccinia striiformis f. sp. tritici	stat_conflict	Pathogenomic Analysis of Wheat Yellow Rust Lineages Detects Seasonal Variation and Host Specificity.
mal	ERR1607846	SAMEA4415764	PRJEB15280	True	Puccinia striiformis	Zymoseptoria tritici	1.38	puccinia striiformis f. sp. tritici	stat_conflict	Pathogenomic Analysis of Wheat Yellow Rust Lineages Detects Seasonal Variation and Host Specificity.
mal	SRR7797537	SAMN09927120	PRJNA486288	True	Fusarium graminearum	Fusarium graminearum	57.99	fusarium graminearum	all_match	Population genomics and gene expression analysis of Fusarium Head Blight (FHB)
mal	ERR15005450	SAMEA117593024	PRJEB84390	True	Puccinia triticina	Parastagonospora nodorum	0.78	puccinia triticina	stat_conflict	k-mer-based GWAS reveals a candidate avirulence gene and structural variation in Puccinia triticina linked to gain of Lr20 virulence.
mal	ERR3170241	SAMEA5366363	PRJEB31334	True	Puccinia striiformis	Alternaria alternata	5.58	puccinia striiformis f. sp. tritici	stat_conflict	Rust expression browser: an open source database for simultaneous analysis of host and pathogen gene expression profiles with expVIP.
mal	SRR13872294	SAMN18192684	PRJNA383548	True	Phytophthora cactorum	Phytophthora infestans	2.54	phytophthora cactorum	all_match	Comparative Analysis of Host-Associated Variation in Phytophthora cactorum.
mal	ERR4315366	SAMEA7036008	PRJEB39201	True	Puccinia striiformis f. sp. tritici	Alternaria alternata	1.5	puccinia striiformis f. sp. tritici	stat_conflict	Rust expression browser: an open source database for simultaneous analysis of host and pathogen gene expression profiles with expVIP.
mal	SRR364408	SAMN00754076	PRJNA148307	True	Colletotrichum higginsianum	Colletotrichum graminicola	1.46	colletotrichum higginsianum	all_match	Lifestyle transitions in plant pathogenic Colletotrichum fungi deciphered by genome and transcriptome analyses.
mal	SRR14298045	SAMN18825690	PRJNA542165	True	Fusarium asiaticum	Fusarium graminearum	4.95	fusarium graminearum	all_match	Complex Evolutionary Origins of Specialized Metabolite Gene Cluster Diversity among the Plant Pathogenic Fungi of the Fusarium graminearum Species Complex.
mal	ERR3170255	SAMEA5366377	PRJEB31334	True	Puccinia striiformis	Alternaria alternata	13.3	puccinia striiformis f. sp. tritici	stat_conflict	Rust expression browser: an open source database for simultaneous analysis of host and pathogen gene expression profiles with expVIP.
mal	ERR4315360	SAMEA7036002	PRJEB39201	True	Puccinia striiformis f. sp. tritici	Alternaria alternata	1.73	puccinia striiformis f. sp. tritici	stat_conflict	Rust expression browser: an open source database for simultaneous analysis of host and pathogen gene expression profiles with expVIP.
mal	ERR4315540	SAMEA7036183	PRJEB39201	True	Puccinia striiformis f. sp. tritici	Zymoseptoria tritici	2.4	puccinia striiformis f. sp. tritici	stat_conflict	Rust expression browser: an open source database for simultaneous analysis of host and pathogen gene expression profiles with expVIP.
mal	ERR15005501	SAMEA117592978	PRJEB84390	True	Puccinia triticina	Zymoseptoria tritici	13.5	puccinia triticina	stat_conflict	k-mer-based GWAS reveals a candidate avirulence gene and structural variation in Puccinia triticina linked to gain of Lr20 virulence.
mal	SRR8872934	SAMN11357512	PRJNA531386	True	Fusarium odoratissimum	Fusarium oxysporum	58.93	fusarium oxysporum f. sp. cubense	all_match	Fusarium oxysporum f. sp. cubense Transcriptome or Gene expression
mal	ERR3170180	SAMEA5366302	PRJEB31334	True	Puccinia striiformis	Puccinia striiformis f. sp. tritici	1.7	puccinia striiformis f. sp. tritici	all_match	Rust expression browser: an open source database for simultaneous analysis of host and pathogen gene expression profiles with expVIP.
mal	SRR14298044	SAMN18825691	PRJNA542165	True	Fusarium asiaticum	Fusarium graminearum	6.46	fusarium graminearum	all_match	Complex Evolutionary Origins of Specialized Metabolite Gene Cluster Diversity among the Plant Pathogenic Fungi of the Fusarium graminearum Species Complex.
mal	SRR7797535	SAMN09927124	PRJNA486288	True	Fusarium graminearum	Fusarium graminearum	45.35	fusarium graminearum	all_match	Population genomics and gene expression analysis of Fusarium Head Blight (FHB)
mal	SRR31919493	SAMN46137118	PRJNA1207595	True	Phytophthora capsici	Phytophthora nicotianae	3.42	phytophthora capsici	all_match	Phytophthora capsici multiple host RNA-Seq
mal	SRR31919486	SAMN46137120	PRJNA1207595	True	Phytophthora capsici	Phytophthora nicotianae	2.98	phytophthora capsici	all_match	Phytophthora capsici multiple host RNA-Seq
mal	SRR18188805	SAMN26350161	PRJNA811707	True	Penicillium italicum	Penicillium expansum	5.04	penicillium italicum	all_match	RNA-Seq during Navel orange - Penicillium italicum interaction at 3 days post inoculation
mal	SRR31919492	SAMN46137119	PRJNA1207595	True	Phytophthora capsici	Phytophthora nicotianae	2.7	phytophthora capsici	all_match	Phytophthora capsici multiple host RNA-Seq
mal	ERR15005488	SAMEA117592965	PRJEB84390	True	Puccinia triticina	Zymoseptoria tritici	5.66	puccinia triticina	stat_conflict	k-mer-based GWAS reveals a candidate avirulence gene and structural variation in Puccinia triticina linked to gain of Lr20 virulence.
mal	ERR3170248	SAMEA5366370	PRJEB31334	True	Puccinia striiformis	Puccinia striiformis	1.53	puccinia striiformis f. sp. tritici	all_match	Rust expression browser: an open source database for simultaneous analysis of host and pathogen gene expression profiles with expVIP.
mal	ERR4315658	SAMEA7036301	PRJEB39201	True	Puccinia striiformis f. sp. tritici	Alternaria alternata	0.25	puccinia striiformis f. sp. tritici	stat_conflict	Rust expression browser: an open source database for simultaneous analysis of host and pathogen gene expression profiles with expVIP.
mal	ERR4315586	SAMEA7036229	PRJEB39201	True	Puccinia striiformis f. sp. tritici	Alternaria alternata	2.02	puccinia striiformis f. sp. tritici	stat_conflict	Rust expression browser: an open source database for simultaneous analysis of host and pathogen gene expression profiles with expVIP.
mal	ERR4315356	SAMEA7035998	PRJEB39201	True	Puccinia striiformis f. sp. tritici	Alternaria alternata	1.62	puccinia striiformis f. sp. tritici	stat_conflict	Rust expression browser: an open source database for simultaneous analysis of host and pathogen gene expression profiles with expVIP.
mal	ERR4315433	SAMEA7036075	PRJEB39201	True	Puccinia striiformis f. sp. tritici	Puccinia graminis	0.97	puccinia striiformis f. sp. tritici	all_match	Rust expression browser: an open source database for simultaneous analysis of host and pathogen gene expression profiles with expVIP.
