label	species	n_single	n_multi	n_confirmed	family
Phaseolus_vulgaris	Phaseolus vulgaris	30	19	49	Fabaceae
Zea_mays	Zea mays	416	16	432	Poaceae
Lactuca_sativa	Lactuca sativa	187	41	228	Asteraceae
Arabidopsis_thaliana	Arabidopsis thaliana	114	26	140	Brassicaceae
Malus_domestica	Malus domestica	90	14	104	Rosaceae
Mangifera_indica	Mangifera indica	38	8	46	
Camellia_sinensis	Camellia sinensis	21	5	26	
Capsicum_annuum	Capsicum annuum	90	13	103	Solanaceae
Theobroma_cacao	Theobroma cacao	8	2	10	Malvaceae
Triticum_aestivum	Triticum aestivum	425	165	590	Poaceae
Quercus_lobata	Quercus lobata	0	1	1	
Oryza_sativa	Oryza sativa	255	11	266	Poaceae
Aegilops_tauschii	Aegilops tauschii	21	6	27	Poaceae
Solanum_lycopersicum	Solanum lycopersicum	387	90	477	Solanaceae
BOP_clade	BOP clade	241	11	252	Poaceae
Fragaria_vesca	Fragaria vesca	45	3	48	Rosaceae
Cucumis_melo	Cucumis melo	8	1	9	Cucurbitaceae
Hevea_brasiliensis	Hevea brasiliensis	0	6	6	Euphorbiaceae
Triticum_dicoccoides	Triticum dicoccoides	24	2	26	Poaceae
Musa_acuminata	Musa acuminata	69	13	82	Musaceae
Cicer_arietinum	Cicer arietinum	52	18	70	Fabaceae
Hordeum_vulgare	Hordeum vulgare	72	11	83	Poaceae
Solanum_tuberosum	Solanum tuberosum	135	5	140	Solanaceae
Aegilops_tauschii_subsp__tauschii	Aegilops tauschii subsp. tauschii	190	7	197	Poaceae
Brassica_napus	Brassica napus	87	5	92	Brassicaceae
Prunus_persica	Prunus persica	13	3	16	Rosaceae
Malus_sylvestris	Malus sylvestris	7	1	8	Rosaceae
Brassica_oleracea	Brassica oleracea	0	1	1	Brassicaceae
Cucumis_sativus	Cucumis sativus	35	2	37	Cucurbitaceae
Ipomoea_triloba	Ipomoea triloba	36	1	37	
PACMAD_clade	PACMAD clade	63	1	64	Poaceae
Heliantheae_alliance	Heliantheae alliance	33	1	34	Asteraceae
Brassica_rapa	Brassica rapa	13	2	15	Brassicaceae
Arabidopsis_lyrata	Arabidopsis lyrata	0	1	1	Brassicaceae
Benincasa_hispida	Benincasa hispida	32	1	33	Cucurbitaceae
Quercus_suber	Quercus suber	4	1	5	
Populus_alba	Populus alba	1	1	2	
Solanum_subgen__Lycopersicon	Solanum subgen. Lycopersicon	4	4	8	Solanaceae
Solanum_pennellii	Solanum pennellii	7	8	15	Solanaceae
Ananas_comosus	Ananas comosus	0	1	1	
IRL_clade	IRL clade	101	1	102	Fabaceae
Daucus_carota	Daucus carota	33	1	34	
Chenopodium_quinoa	Chenopodium quinoa	14	1	15	
Daucus_carota_subsp__sativus	Daucus carota subsp. sativus	0	1	1	
Beta_vulgaris	Beta vulgaris	8	1	9	
Glycine_max	Glycine max	421	0	421	Fabaceae
Gossypium_hirsutum	Gossypium hirsutum	25	0	25	Malvaceae
Citrus_sinensis	Citrus sinensis	22	0	22	Rutaceae
Nicotiana_tabacum	Nicotiana tabacum	64	0	64	Solanaceae
Juglans_regia	Juglans regia	30	0	30	
Brachypodium_distachyon	Brachypodium distachyon	93	0	93	Poaceae
Nicotiana_attenuata	Nicotiana attenuata	34	0	34	Solanaceae
NPAAA_clade	NPAAA clade	37	0	37	Fabaceae
Oryza_sativa_Japonica_Group	Oryza sativa Japonica Group	14	0	14	Poaceae
Morus_notabilis	Morus notabilis	9	0	9	
Raphanus_sativus	Raphanus sativus	8	0	8	Brassicaceae
Vicia_villosa	Vicia villosa	5	0	5	Fabaceae
Asparagus_officinalis	Asparagus officinalis	5	0	5	
Vitis_vinifera	Vitis vinifera	36	0	36	Vitaceae
Lolium_perenne	Lolium perenne	5	0	5	Poaceae
Arachis_duranensis	Arachis duranensis	9	0	9	Fabaceae
Panicum_virgatum	Panicum virgatum	7	0	7	Poaceae
Carya_illinoinensis	Carya illinoinensis	9	0	9	
Medicago_truncatula	Medicago truncatula	4	0	4	Fabaceae
Sorghum_bicolor	Sorghum bicolor	8	0	8	Poaceae
Physcomitrium_patens	Physcomitrium patens	7	0	7	
Nicotiana_sylvestris	Nicotiana sylvestris	2	0	2	Solanaceae
Populus_trichocarpa	Populus trichocarpa	10	0	10	
Cucurbita_maxima	Cucurbita maxima	1	0	1	Cucurbitaceae
Solanum_verrucosum	Solanum verrucosum	3	0	3	Solanaceae
Rosa_chinensis	Rosa chinensis	7	0	7	Rosaceae
Vitis_riparia	Vitis riparia	2	0	2	Vitaceae
Nicotiana_tomentosiformis	Nicotiana tomentosiformis	3	0	3	Solanaceae
Olea_europaea_var__sylvestris	Olea europaea var. sylvestris	1	0	1	
Glycine_soja	Glycine soja	2	0	2	Fabaceae
Ricinus_communis	Ricinus communis	5	0	5	Euphorbiaceae
Hordeum_vulgare_subsp__vulgare	Hordeum vulgare subsp. vulgare	1	0	1	Poaceae
Jatropha_curcas	Jatropha curcas	1	0	1	Euphorbiaceae
Setaria_italica	Setaria italica	1	0	1	Poaceae
Panicum_hallii	Panicum hallii	1	0	1	Poaceae
Oryza_glaberrima	Oryza glaberrima	1	0	1	Poaceae
Gossypium_arboreum	Gossypium arboreum	1	0	1	Malvaceae
Pisum_sativum	Pisum sativum	16	0	16	Fabaceae
Cucurbita_moschata	Cucurbita moschata	8	0	8	Cucurbitaceae
Andrographis_paniculata	Andrographis paniculata	1	0	1	
Manihot_esculenta	Manihot esculenta	8	0	8	Euphorbiaceae
Helianthus_annuus	Helianthus annuus	1	0	1	Asteraceae
Carica_papaya	Carica papaya	16	0	16	Caricaceae
Hibiscus_syriacus	Hibiscus syriacus	2	0	2	Malvaceae
Dendrobium_catenatum	Dendrobium catenatum	4	0	4	
Dioscorea_cayenensis	Dioscorea cayenensis	1	0	1	
Papaver_somniferum	Papaver somniferum	1	0	1	
Citrus_clementina	Citrus clementina	6	0	6	Rutaceae
Cucurbita_pepo	Cucurbita pepo	4	0	4	Cucurbitaceae
Spinacia_oleracea	Spinacia oleracea	1	0	1	
Erigeron_canadensis	Erigeron canadensis	1	0	1	Asteraceae
Solanum_dulcamara	Solanum dulcamara	1	0	1	Solanaceae
Pterocarpus_clade	Pterocarpus clade	1	0	1	Fabaceae
Ipomoea_nil	Ipomoea nil	1	0	1	
Vigna_unguiculata	Vigna unguiculata	1	0	1	Fabaceae
