run	top_host	top_pathogen	masked_host_pct	unmasked_host_pct	masked_host_sp	unmasked_host_sp	masked_path_pct	unmasked_path_pct	masked_path_sp	unmasked_path_sp	masked_total_pct	unmasked_total_pct
ERR12013055	Triticum aestivum	Zymoseptoria tritici	0.58	5.0	6	15	6.22	39.66	7	8	8.5	71.44
ERR12013064	Castanea mollissima	Puccinia graminis	0.71	2.39	2	10	2.12	19.62	17	24	4.27	50.0
ERR15005467	Triticum aestivum	Puccinia triticina	1.1	9.9	6	17	5.41	6.22	8	11	6.9	61.89
ERR15005503	Triticum aestivum	Zymoseptoria tritici	1.1	5.92	7	14	16.01	17.94	6	8	17.84	45.18
ERR15005509	Triticum aestivum	Puccinia triticina	0.98	6.14	8	16	11.25	13.14	3	6	12.61	63.36
ERR15005518	Triticum aestivum	Puccinia triticina	1.37	7.99	7	16	4.54	5.31	6	8	6.78	43.52
ERR15005537	Triticum aestivum	Puccinia triticina	1.14	5.43	5	11	9.78	11.67	8	13	12.29	29.7
ERR1607768	Triticum aestivum	Puccinia striiformis	1.33	11.34	5	13	15.12	20.35	9	22	16.84	61.83
ERR1607770	Castanea mollissima	Puccinia striiformis	0.38	1.63	6	16	10.13	17.97	20	25	11.0	40.34
ERR1607794	Triticum aestivum	Puccinia striiformis	0.15	1.39	4	13	31.24	44.32	11	21	31.78	57.84
ERR1607838	Triticum aestivum	Puccinia striiformis	0.45	4.46	4	9	17.98	25.27	15	21	19.21	54.88
ERR1607841	Triticum aestivum	Puccinia striiformis	0.31	3.23	5	15	26.56	38.82	13	22	27.2	62.43
ERR1607846	Triticum aestivum	Puccinia striiformis	0.39	3.46	4	10	36.75	51.02	11	18	37.5	71.64
ERR3170185	Triticum aestivum	Puccinia striiformis	0.54	6.09	6	13	25.61	37.89	7	11	26.41	73.8
ERR3170187	Triticum aestivum	Puccinia striiformis	0.4	4.19	6	12	26.68	38.54	13	18	27.42	66.27
ERR3170212	Triticum aestivum	Puccinia striiformis	0.9	9.52	5	12	26.18	37.03	4	7	27.43	80.41
ERR3170237	Triticum aestivum	Puccinia striiformis	0.53	2.62	8	15	40.38	55.47	7	13	41.14	74.09
ERR4315280	Castanea mollissima	Puccinia striiformis	1.09	2.69	1	7	6.67	14.91	11	20	8.77	52.05
ERR4315308	Castanea mollissima	Puccinia striiformis	0.44	2.86	7	12	14.77	23.38	15	23	15.97	49.6
ERR4315440	Triticum aestivum	Puccinia striiformis	1.24	11.11	6	13	20.21	29.17	6	9	21.75	75.54
ERR4315587	Castanea mollissima	Puccinia striiformis	0.28	0.8	1	5	3.12	5.82	19	26	4.49	27.86
ERR4315685	Castanea mollissima	Zymoseptoria tritici	1.26	3.52	5	16	12.75	18.61	17	25	14.9	48.91
ERR6847881	Triticum aestivum	Puccinia graminis	0.32	2.76	4	13	5.51	56.66	5	7	6.45	75.15
ERR6847887	Triticum aestivum	Puccinia graminis	0.8	7.01	7	14	6.11	43.98	6	10	7.51	77.42
ERR6847888	Triticum aestivum	Puccinia graminis	0.69	5.87	3	12	4.4	51.9	5	7	5.72	76.69
ERR6847894	Triticum aestivum	Zymoseptoria tritici	0.75	6.19	7	15	11.09	40.39	8	10	12.54	74.83
SRR10201815	Prunus dulcis	Monilinia fructicola	0.1	0.84	3	5	59.09	67.04	4	4	59.9	74.41
SRR13349958	Cicer arietinum	Sclerotinia sclerotiorum	23.03	57.78	3	9	4.49	5.79	1	1	28.56	73.86
SRR13349965	Cicer arietinum	Sclerotinia sclerotiorum	13.24	29.5	1	4	46.06	54.63	1	2	60.25	87.38
SRR13349966	Cicer arietinum	Sclerotinia sclerotiorum	7.76	16.76	1	3	56.4	66.4	2	5	65.01	86.23
SRR13349969	Cicer arietinum	Sclerotinia sclerotiorum	13.84	30.47	1	3	42.36	52.82	1	3	57.3	87.14
SRR13349975	Cicer arietinum	Sclerotinia sclerotiorum	21.62	49.89	2	4	19.54	26.51	1	2	42.24	81.11
SRR13349976	Cicer arietinum	Sclerotinia sclerotiorum	22.94	52.33	1	4	20.23	27.53	1	2	44.31	84.6
SRR13349991	Cicer arietinum	Sclerotinia sclerotiorum	13.8	30.12	1	4	40.92	51.9	1	2	55.78	85.97
SRR13349999	Cicer arietinum	Sclerotinia sclerotiorum	18.86	41.46	1	4	25.85	36.22	1	2	45.82	82.89
SRR13666654	Zea mays	Fusarium verticillioides	9.89	35.9	9	21	0.52	1.65	7	12	11.75	72.72
SRR19880683	Olea europaea	Alternaria alternata	0.2	0.9	4	9	15.82	30.26	13	15	19.91	49.47
SRR24010223	Castanea mollissima	Puccinia striiformis	0.05	0.31	4	8	24.14	37.03	10	20	24.58	42.39
SRR34575229	Castanea mollissima	Puccinia graminis	0.25	2.05	3	10	4.03	40.75	6	11	7.51	64.53
SRR7797534	Triticum aestivum	Fusarium graminearum	0.54	4.58	4	11	6.98	27.3	14	21	8.43	71.58
SRR9997714	Zea mays	Exserohilum turcicum	11.16	34.94	8	16	12.58	16.78	6	10	25.27	69.82
