name	host	n
Alternaria alternata	Aegilops tauschii subsp. tauschii	13
Alternaria alternata	Viridiplantae	10
Alternaria alternata	Zea mays	6
Alternaria alternata	PACMAD clade	3
Alternaria alternata	Triticinae	3
Alternaria alternata	Arabidopsis thaliana	3
Alternaria alternata	Mesangiospermae	2
Alternaria alternata	eudicotyledons	2
Alternaria alternata	Aegilops tauschii	2
Alternaria alternata	Selaginella moellendorffii	1
Alternaria alternata	BOP clade	1
Alternaria alternata	Triticum aestivum	1
Alternaria alternata	Quercus lobata	1
Alternaria alternata	Setaria italica	1
Alternaria alternata	Lathyrus oleraceus	1
Alternaria solani	Triticum aestivum	1
Alternaria solani	Triticinae	1
Alternaria solani	Viridiplantae	1
Bean common mosaic virus	Arachis hypogaea	8
Bean yellow mosaic virus	IRL clade	1
Bipolaris maydis	Quercus lobata	1
Bipolaris sorokiniana	Triticum aestivum	2
Bipolaris sorokiniana	Hordeum vulgare	2
Bipolaris sorokiniana	Mesangiospermae	1
Bipolaris sorokiniana	eudicotyledons	1
Bipolaris sorokiniana	Pooideae	1
Bipolaris zeicola	Zea mays	12
Botrytis cinerea	Heliantheae alliance	1
Botrytis cinerea	Arabidopsis thaliana	1
Botrytis cinerea	Vitis vinifera	1
Brassica rapa virus 1	Brassica rapa	1
Brassica yellows virus	Brassica napus	2
Brassica yellows virus	Lathyrus oleraceus	1
Broad bean wilt virus 2	Capsicum annuum	5
Bromovirus SVS	Arabidopsis thaliana	4
Carrot mottle virus	Petroselinum crispum	1
Carrot virus Y	Daucus carota	1
Carrot virus Y	Daucus carota subsp. sativus	1
Carrot virus Y	rosids	1
Celery mosaic virus	Daucus carota	1
Celery mosaic virus	Daucus carota subsp. sativus	1
Cercospora beticola	Zea mays	1
Cercospora kikuchii	Zea mays	1
Citrus leprosis virus C2	Viridiplantae	1
Colletotrichum fructicola	Theobroma cacao	2
Colletotrichum fructicola	Viridiplantae	1
Colletotrichum higginsianum	Arabidopsis thaliana	2
Colletotrichum siamense	Theobroma cacao	1
Colletotrichum siamense	Viridiplantae	1
Comovirus ArLV1	Arabidopsis thaliana	2
Cucumber mosaic virus	Capsicum annuum	4
Cucumber mosaic virus	Arachis hypogaea	3
Cucumber mosaic virus	Ipomoea batatas	1
Cucumovirus CMV	Lathyrus oleraceus	1
Cucumovirus CMV	Capsicum annuum	1
Cucumovirus CMV	Cucumis melo	1
Cucurbit aphid-borne yellows virus	Cucurbita moschata	1
Cytorhabdovirus lactucamaculante	Lactuca sativa	1
Enamovirus AEV	Lathyrus oleraceus	1
Enamovirus PEMV	Lathyrus oleraceus	7
Enamovirus PEMV	Vicia faba var. minor	1
Exserohilum turcica	Zea mays	1
Exserohilum turcicum	Zea mays	13
Exserohilum turcicum	Aegilops tauschii subsp. tauschii	1
Exserohilum turcicum	Mesangiospermae	1
Fusarium graminearum	Aegilops tauschii	2
Fusarium graminearum	Solanum tuberosum	1
Fusarium graminearum	Hordeum vulgare	1
Fusarium graminearum	Triticum aestivum	1
Fusarium odoratissimum	Triticum dicoccoides	1
Fusarium oxysporum	Linum usitatissimum	1
Kennedya yellow mosaic virus	Viridiplantae	1
Leptosphaeria maculans	Mesangiospermae	2
Leptosphaeria maculans	Viridiplantae	1
Listeria monocytogenes	Poaceae	1
Listeria monocytogenes	Triticinae	1
Listeria monocytogenes	Aegilops tauschii subsp. tauschii	1
Mirafiori lettuce big-vein virus	Lactuca sativa	6
Mirafiori lettuce big-vein virus	Viridiplantae	5
Moniliophthora perniciosa	Theobroma cacao	2
Moniliophthora perniciosa	Viridiplantae	1
Ophiovirus mirafioriense	Viridiplantae	9
Ophiovirus mirafioriense	Lactuca sativa	5
Orthotospovirus impatiensnecromaculae	Lactuca sativa	16
Orthotospovirus impatiensnecromaculae	Viridiplantae	15
Pantoea ananatis	Triticum aestivum	1
Papaya ringspot virus	Cucumis melo	5
Papaya ringspot virus	Cucurbita moschata	1
Parastagonospora nodorum	Viridiplantae	6
Parastagonospora nodorum	Aegilops tauschii subsp. tauschii	4
Parastagonospora nodorum	Triticinae	3
Parastagonospora nodorum	Triticum aestivum	2
Parastagonospora nodorum	Quercus lobata	1
Parastagonospora nodorum	Triticum dicoccoides	1
Parastagonospora nodorum	PACMAD clade	1
Parastagonospora nodorum	Linum usitatissimum	1
Pea seed-borne mosaic virus	Viridiplantae	1
Peanut mottle virus	Arachis hypogaea	3
Peanut stripe virus	Arachis hypogaea	5
Penicillium expansum	Vitis vinifera	1
Pepper vein yellows virus	Capsicum annuum	2
Plasmopara viticola	Viridiplantae	2
Polerovirus TUYV	Lathyrus oleraceus	1
Potato virus S	Solanum tuberosum	1
Potato virus Y	Capsicum annuum	2
Potyvirus capsivenamaculae	Capsicum annuum	3
Potyvirus citrulli	Cucumis melo	1
Potyvirus phaseoluteum	Lathyrus oleraceus	5
Potyvirus phaseoluteum	Vicia faba var. minor	1
Potyvirus pisumsemenportati	Lathyrus oleraceus	7
Potyvirus trifolii	Vicia faba var. minor	1
Prune dwarf virus	Prunus persica	1
Prunus necrotic ringspot virus	Prunus persica	1
Pseudomonas fluorescens	rosids	1
Pseudomonas syringae	Viridiplantae	1
Puccinia graminis f. sp. tritici	Viridiplantae	6
Puccinia graminis f. sp. tritici	Triticum aestivum	5
Puccinia graminis f. sp. tritici	Triticum dicoccoides	4
Puccinia graminis f. sp. tritici	Triticinae	3
Puccinia striiformis	BOP clade	10
Puccinia striiformis	Mesangiospermae	7
Puccinia striiformis	Triticinae	7
Puccinia striiformis	PACMAD clade	5
Puccinia striiformis	Viridiplantae	3
Puccinia striiformis	Brachypodium distachyon	3
Puccinia striiformis	Triticum aestivum	2
Puccinia striiformis	Selaginella moellendorffii	1
Puccinia striiformis f. sp. tritici	Aegilops tauschii subsp. tauschii	34
Puccinia striiformis f. sp. tritici	Viridiplantae	17
Puccinia striiformis f. sp. tritici	Mesangiospermae	6
Puccinia striiformis f. sp. tritici	eudicotyledons	5
Puccinia striiformis f. sp. tritici	Quercus lobata	2
Puccinia striiformis f. sp. tritici	Brachypodium distachyon	2
Puccinia striiformis f. sp. tritici	PACMAD clade	2
Puccinia striiformis f. sp. tritici	NPAAA clade	1
Puccinia striiformis f. sp. tritici	Poaceae	1
Puccinia striiformis f. sp. tritici	Zea mays	1
Puccinia striiformis f. sp. tritici	Triticinae	1
Puccinia striiformis f. sp. tritici	Pooideae	1
Puccinia striiformis f. sp. tritici	rosids	1
Puccinia striiformis f. sp. tritici	Quercus suber	1
Puccinia triticina	Triticum aestivum	7
Puccinia triticina	Viridiplantae	2
Puccinia triticina	Triticum	2
Puccinia triticina	Triticinae	2
Puccinia triticina	environmental samples	1
Puccinia triticina	Triticum dicoccoides	1
Pyrenophora tritici-repentis	Aegilops tauschii subsp. tauschii	6
Pyrenophora tritici-repentis	Mesangiospermae	2
Pyrenophora tritici-repentis	Selaginella moellendorffii	1
Pyrenophora tritici-repentis	BOP clade	1
Pyrenophora tritici-repentis	Triticum aestivum	1
Pyrenophora tritici-repentis	Triticinae	1
Pyrenophora tritici-repentis	Viridiplantae	1
Pyricularia oryzae	Triticum aestivum	2
Pyricularia oryzae	Setaria italica	1
Pyricularia oryzae	Hordeum vulgare	1
Rehmannia mosaic virus	Solanum lycopersicum	1
Sclerotinia sclerotiorum	Heliantheae alliance	1
Sclerotinia sclerotiorum	Lactuca sativa	1
Sclerotinia sclerotiorum	Viridiplantae	1
Sclerotinia sclerotiorum	Lathyrus oleraceus	1
Setosphaeria turcica	Mesangiospermae	1
Stemphylium lycopersici	IRL clade	1
Sweet potato virus C	Ipomoea batatas	1
Tobacco mosaic virus	Solanum lycopersicum	1
Tobacco ringspot virus	Cucumis melo	6
Tomato brown rugose fruit virus	Solanum lycopersicum	1
Torilis crimson leaf virus	Petroselinum crispum	1
Turnip crinkle virus	Arabidopsis thaliana	3
Turnip mosaic virus	Arabidopsis thaliana	1
Turnip yellow mosaic virus	Brassica rapa	1
Turnip yellows virus	Brassica napus	2
Turnip yellows virus	IRL clade	1
Umbravirus pisi	Lathyrus oleraceus	8
Varicosavirus lactucae	Lactuca sativa	10
Varicosavirus lactucae	Viridiplantae	8
Watermelon mosaic virus	Cucurbita pepo subsp. pepo	3
Watermelon mosaic virus	Cucurbita moschata	1
Watermelon mosaic virus	Cucumis melo	1
Xanthomonas campestris	Lactuca sativa	1
Xanthomonas hortorum	Lactuca sativa	1
Zucchini yellow mosaic virus	Cucurbita pepo subsp. pepo	3
Zymoseptoria tritici	Aegilops tauschii subsp. tauschii	14
Zymoseptoria tritici	Viridiplantae	13
Zymoseptoria tritici	BOP clade	10
Zymoseptoria tritici	Triticum aestivum	10
Zymoseptoria tritici	Mesangiospermae	9
Zymoseptoria tritici	Brachypodium distachyon	5
Zymoseptoria tritici	Triticinae	5
Zymoseptoria tritici	Triticum dicoccoides	4
Zymoseptoria tritici	PACMAD clade	4
Zymoseptoria tritici	eudicotyledons	3
Zymoseptoria tritici	Triticum	2
Zymoseptoria tritici	Quercus lobata	1
Zymoseptoria tritici	Zea mays	1
Zymoseptoria tritici	rosids	1
Zymoseptoria tritici	Quercus suber	1
