node1	node2	weight	dominant_treatment	treatment_breakdown
Pantoea ananatis	Pectobacterium brasiliense	58	abiotic_stress	abiotic_stress:58
Puccinia striiformis f. sp. tritici	Zymoseptoria tritici	47	single	single:47
Bean common mosaic virus	Peanut mottle virus	39	host_study	host_study:24|abiotic_stress:14|surveillance:1
Bean common mosaic virus	Peanut stripe virus	38	host_study	host_study:23|abiotic_stress:15
Puccinia striiformis	Zymoseptoria tritici	30	single	single:30
Alternaria alternata	Puccinia striiformis f. sp. tritici	26	single	single:26
Watermelon mosaic virus	Zucchini yellow mosaic virus	23	host_study	host_study:20|surveillance:3
Alternaria alternata	Puccinia striiformis	16	single	single:16
Peanut mottle virus	Peanut stripe virus	15	abiotic_stress	abiotic_stress:11|host_study:4
Alternaria alternata	Bipolaris zeicola	12	host_study	host_study:12
Bipolaris zeicola	Exserohilum turcicum	12	host_study	host_study:12
Parastagonospora nodorum	Puccinia striiformis f. sp. tritici	9	single	single:9
Puccinia striiformis f. sp. tritici	Pyrenophora tritici-repentis	8	single	single:8
Parastagonospora nodorum	Puccinia striiformis	7	single	single:7
Alternaria alternata	Bipolaris sorokiniana	7	host_study	host_study:3|single:2|abiotic_stress:2
Alternaria alternata	Exserohilum turcicum	7	host_study	host_study:6|single:1
Alternaria alternata	Zymoseptoria tritici	6	single	single:6
Alternaria alternata	Fusarium graminearum	6	single	single:5|host_study:1
Enamovirus PEMV	Potyvirus pisumsemenportati	6	surveillance	surveillance:6
Enamovirus PEMV	Umbravirus pisi	6	surveillance	surveillance:6
Potyvirus pisumsemenportati	Umbravirus pisi	6	surveillance	surveillance:6
Watermelon mosaic virus	Zucchini tigre mosaic virus	6	host_study	host_study:6
Puccinia striiformis	Pyrenophora tritici-repentis	5	single	single:5
Alternaria alternata	Pyrenophora tritici-repentis	5	single	single:5
Enamovirus PEMV	Potyvirus phaseoluteum	5	surveillance	surveillance:5
Alternaria alternata	Fusarium verticillioides	5	host_study	host_study:4|abiotic_stress:1
Chilli veinal mottle virus	Tobacco vein banding mosaic virus	5	host_study	host_study:5
Ilarvirus PNRSV	Pelamoviroid latenspruni	5	host_study	host_study:5
Papaya ringspot virus	Tobacco ringspot virus	5	host_study	host_study:5
Bean common mosaic virus	Cucumber mosaic virus	4	surveillance	surveillance:3|host_study:1
Potyvirus phaseoluteum	Potyvirus pisumsemenportati	4	surveillance	surveillance:4
Potyvirus phaseoluteum	Umbravirus pisi	4	surveillance	surveillance:4
Papaya ringspot virus	Watermelon mosaic virus	4	host_study	host_study:3|surveillance:1
Broad bean wilt virus 2	Cucumber mosaic virus	4	surveillance	surveillance:4
Alternaria alternata	Botrytis cinerea	4	host_study	host_study:4
Brassica yellows virus	Turnip yellows virus	4	single	single:2|host_study:1|abiotic_stress:1
Botrytis cinerea	Penicillium expansum	4	host_study	host_study:3|single:1
Leptosphaeria maculans	Zymoseptoria tritici	3	single	single:3
Pyrenophora tritici-repentis	Zymoseptoria tritici	3	single	single:3
Alternaria solani	Puccinia striiformis	3	single	single:3
Bipolaris sorokiniana	Puccinia striiformis f. sp. tritici	3	single	single:3
