taxid	organism_name	kingdom	source	accession	assembly_level	release_date	has_annotation	country	protein_coding_genes	scaffold_n50_kb	total_length_mb	fasta_type	busco_lineage	selection_rank	selection_reason
3469074	[Neocosmospora] sp. B6999-1	fungal	genus_fill	GCA_057674285.1	Scaffold	2026-05-21	True	Netherlands	14934	532	50.6	cds	ascomycota_odb10	5	retained_previous:quality_fill
3469074	[Neocosmospora] sp. B6999-1	fungal	genus_fill	GCA_057674405.1	Scaffold	2026-05-21	True	Netherlands	14977	145	50.3	cds	ascomycota_odb10	6	retained_previous:quality_fill
3469074	[Neocosmospora] sp. B6999-1	fungal	genus_fill	GCA_057674425.1	Scaffold	2026-05-21	True	Netherlands	14937	642	50.8	cds	ascomycota_odb10	7	retained_previous:quality_fill
3469077	[Neocosmospora] sp. B6999-4	fungal	genus_fill	GCA_057673925.1	Scaffold	2026-05-21	True	Netherlands	15753	651	49.1	cds	ascomycota_odb10	5	retained_previous:quality_fill
3469077	[Neocosmospora] sp. B6999-4	fungal	genus_fill	GCA_057673945.1	Scaffold	2026-05-21	True	Netherlands	16273	398	49.0	cds	ascomycota_odb10	6	retained_previous:quality_fill
3469077	[Neocosmospora] sp. B6999-4	fungal	genus_fill	GCA_057674065.1	Scaffold	2026-05-21	True	Netherlands	16364	758	49.4	cds	ascomycota_odb10	7	retained_previous:quality_fill
119927	Alternaria tenuissima	fungal	genus_fill	GCA_004168565.1	Scaffold	2019-02-11	True		13727	319	36.1	cds	ascomycota_odb10	5	retained_previous:quality_fill
131363	Fusarium ambrosium	fungal	genus_fill	GCA_057676245.1	Scaffold	2026-05-21	True	India	15424	539	49.5	cds	ascomycota_odb10	5	retained_previous:quality_fill
1715230	Fusarium cf. solani	fungal	genus_fill	GCA_057674765.1	Scaffold	2026-05-21	True	USA	13680	781	45.3	cds	ascomycota_odb10	5	retained_previous:quality_fill
1715230	Fusarium cf. solani	fungal	genus_fill	GCA_057675065.1	Scaffold	2026-05-21	True	USA	13142	825	45.3	cds	ascomycota_odb10	6	retained_previous:quality_fill
1715230	Fusarium cf. solani	fungal	genus_fill	GCA_057675685.1	Scaffold	2026-05-21	True	Taiwan	14370	582	50.1	cds	ascomycota_odb10	7	retained_previous:quality_fill
1715230	Fusarium cf. solani	fungal	genus_fill	GCA_057675705.1	Scaffold	2026-05-21	True	Taiwan	14428	398	48.4	cds	ascomycota_odb10	8	retained_previous:quality_fill
1715230	Fusarium cf. solani	fungal	genus_fill	GCA_057675765.1	Scaffold	2026-05-21	True	Taiwan	14716	559	50.8	cds	ascomycota_odb10	9	retained_previous:quality_fill
1715230	Fusarium cf. solani	fungal	genus_fill	GCA_057675785.1	Scaffold	2026-05-21	True	Taiwan	14260	570	50.0	cds	ascomycota_odb10	10	retained_previous:quality_fill
1715230	Fusarium cf. solani	fungal	genus_fill	GCA_057675825.1	Scaffold	2026-05-21	True	Taiwan	11393	553	47.9	cds	ascomycota_odb10	11	retained_previous:quality_fill
1715230	Fusarium cf. solani	fungal	genus_fill	GCA_057675845.1	Scaffold	2026-05-21	True	Taiwan	14982	352	50.0	cds	ascomycota_odb10	12	retained_previous:quality_fill
1715230	Fusarium cf. solani	fungal	genus_fill	GCA_057675945.1	Scaffold	2026-05-21	True	Taiwan	14656	377	50.1	cds	ascomycota_odb10	13	retained_previous:quality_fill
1715230	Fusarium cf. solani	fungal	genus_fill	GCA_057675965.1	Scaffold	2026-05-21	True	Taiwan	13270	421	50.7	cds	ascomycota_odb10	14	retained_previous:quality_fill
195108	Fusarium falciforme	fungal	genus_fill	GCA_027945515.1	Scaffold	2023-01-24	True	USA	14614	595	55.4	cds	ascomycota_odb10	5	retained_previous:quality_fill
1325733	Fusarium floridanum	fungal	genus_fill	GCA_057675305.1	Scaffold	2026-05-21	True	USA	14955	299	48.9	cds	ascomycota_odb10	5	retained_previous:quality_fill
5523	Fusarium lateritium	fungal	genus_fill	GCA_052571635.1	Scaffold	2025-09-12	True	Guinea	13328	567	45.1	cds	ascomycota_odb10	5	retained_previous:new_country:Guinea
5523	Fusarium lateritium	fungal	genus_fill	GCA_052570225.1	Scaffold	2025-09-12	True	United Kingdom	12069	307	39.8	cds	ascomycota_odb10	6	retained_previous:quality_fill
5523	Fusarium lateritium	fungal	genus_fill	GCA_052570285.1	Scaffold	2025-09-12	True	United Kingdom	12322	462	39.8	cds	ascomycota_odb10	7	retained_previous:quality_fill
5523	Fusarium lateritium	fungal	genus_fill	GCA_052570295.1	Scaffold	2025-09-12	True	United Kingdom	11983	412	38.3	cds	ascomycota_odb10	8	retained_previous:quality_fill
5523	Fusarium lateritium	fungal	genus_fill	GCA_052570305.1	Scaffold	2025-09-12	True	United Kingdom	11855	665	37.8	cds	ascomycota_odb10	9	retained_previous:quality_fill
5523	Fusarium lateritium	fungal	genus_fill	GCA_052570365.1	Scaffold	2025-09-12	True	United Kingdom	12065	156	37.7	cds	ascomycota_odb10	10	retained_previous:quality_fill
5523	Fusarium lateritium	fungal	genus_fill	GCA_052570435.1	Scaffold	2025-09-12	True	United Kingdom	12256	448	39.5	cds	ascomycota_odb10	11	retained_previous:quality_fill
5523	Fusarium lateritium	fungal	genus_fill	GCA_052570465.1	Scaffold	2025-09-12	True	United Kingdom	12022	568	40.7	cds	ascomycota_odb10	12	retained_previous:quality_fill
5523	Fusarium lateritium	fungal	genus_fill	GCA_052570605.1	Scaffold	2025-09-12	True	United Kingdom	12335	75	37.9	cds	ascomycota_odb10	13	retained_previous:quality_fill
5523	Fusarium lateritium	fungal	genus_fill	GCA_052570615.1	Scaffold	2025-09-12	True	United Kingdom	11229	403	37.7	cds	ascomycota_odb10	14	retained_previous:quality_fill
5523	Fusarium lateritium	fungal	genus_fill	GCA_052570645.1	Scaffold	2025-09-12	True	United Kingdom	12027	449	39.9	cds	ascomycota_odb10	15	retained_previous:quality_fill
3469074	[Neocosmospora] sp. B6999-1	fungal	order_sweep	GCA_057674295.1	Scaffold	2026-05-21	True	Netherlands	15024	704	50.4	cds	ascomycota_odb10	1	best_quality
3469074	[Neocosmospora] sp. B6999-1	fungal	order_sweep	GCA_057674185.1	Scaffold	2026-05-21	True	Netherlands	15038	701	51.0	cds	ascomycota_odb10	2	quality_fill
3469074	[Neocosmospora] sp. B6999-1	fungal	order_sweep	GCA_057674245.1	Scaffold	2026-05-21	True	Netherlands	15500	656	50.4	cds	ascomycota_odb10	3	quality_fill
3469074	[Neocosmospora] sp. B6999-1	fungal	order_sweep	GCA_057674335.1	Scaffold	2026-05-21	True	Netherlands	15610	504	49.6	cds	ascomycota_odb10	4	quality_fill
3469075	[Neocosmospora] sp. B6999-2	fungal	order_sweep	GCA_057674085.1	Scaffold	2026-05-21	True	Netherlands	12489	710	49.9	cds	ascomycota_odb10	1	best_quality
3469075	[Neocosmospora] sp. B6999-2	fungal	order_sweep	GCA_057674165.1	Scaffold	2026-05-21	True	Netherlands	11986	368	49.4	cds	ascomycota_odb10	2	quality_fill
3469076	[Neocosmospora] sp. B6999-3	fungal	order_sweep	GCA_057674105.1	Scaffold	2026-05-21	True	Netherlands	14279	1570	46.1	cds	ascomycota_odb10	1	best_quality
3469077	[Neocosmospora] sp. B6999-4	fungal	order_sweep	GCA_057673975.1	Scaffold	2026-05-21	True	Netherlands	15984	891	50.4	cds	ascomycota_odb10	1	best_quality
3469077	[Neocosmospora] sp. B6999-4	fungal	order_sweep	GCA_057673805.1	Scaffold	2026-05-21	True	Netherlands	16075	755	50.6	cds	ascomycota_odb10	2	quality_fill
3469077	[Neocosmospora] sp. B6999-4	fungal	order_sweep	GCA_057673865.1	Scaffold	2026-05-21	True	Netherlands	16415	803	49.5	cds	ascomycota_odb10	3	quality_fill
3469077	[Neocosmospora] sp. B6999-4	fungal	order_sweep	GCA_057673905.1	Scaffold	2026-05-21	True	Netherlands	16287	758	49.5	cds	ascomycota_odb10	4	quality_fill
3469078	[Neocosmospora] sp. B6999-5	fungal	order_sweep	GCA_057673785.1	Scaffold	2026-05-21	True	Netherlands	15908	555	48.7	cds	ascomycota_odb10	1	best_quality
1531966	[Torrubiella] hemipterigena	fungal	order_sweep	GCA_000825705.1	Scaffold	2014-12-05	True		10773	6006	28.5	cds	ascomycota_odb10	1	best_quality
1450171	Aaosphaeria arxii	fungal	order_sweep	GCF_010015735.1	Scaffold	2020-01-29	True		14201	4422	38.9	cds	ascomycota_odb10	1	best_quality
1450171	Aaosphaeria arxii	fungal	order_sweep	GCA_010015735.1	Scaffold	2020-01-29	True		14201	4422	38.9	cds	ascomycota_odb10	2	quality_fill
886606	Acephala macrosclerotiorum	fungal	order_sweep	GCA_014904845.1	Scaffold	2020-10-20	True		21022	173	73.7	cds	ascomycota_odb10	1	best_quality
245562	Acidomyces sp. 'richmondensis'	fungal	order_sweep	GCA_001592465.1	Scaffold	2016-03-15	True		11177	42	29.9	cds	ascomycota_odb10	1	best_quality
150365	Acrodontium crateriforme	fungal	order_sweep	GCA_033807595.1	Complete Genome	2023-11-20	True	Taiwan	7899	1746	23.1	cds	ascomycota_odb10	1	best_quality
5341	Agaricus bisporus	fungal	order_sweep	GCA_014872705.1	Chromosome	2020-10-21	True	USA	11763	1931	30.7	cds	ascomycota_odb10	1	best_quality
5341	Agaricus bisporus	fungal	order_sweep	GCF_000300575.1	Scaffold	2012-11-30	True		10444	2335	30.2	cds	ascomycota_odb10	2	new_year_bin:2010
5341	Agaricus bisporus	fungal	order_sweep	GCF_000300555.1	Scaffold	2012-10-16	True		11255	1225	32.6	cds	ascomycota_odb10	3	quality_fill
5341	Agaricus bisporus	fungal	order_sweep	GCA_000300555.1	Scaffold	2012-10-16	True		11271	1225	32.6	cds	ascomycota_odb10	4	quality_fill
84603	Agrocybe chaxingu	fungal	order_sweep	GCA_027627235.1	Scaffold	2023-01-10	True	Viet Nam	12419	18	40.3	cds	ascomycota_odb10	1	best_quality
84607	Agrocybe pediades	fungal	order_sweep	GCA_015484485.1	Scaffold	2020-11-15	True		17274	105	45.1	cds	ascomycota_odb10	1	best_quality
2714763	Akanthomyces lecanii	fungal	order_sweep	GCA_001636795.1	Scaffold	2016-05-04	True	China	11030	3946	35.6	cds	ascomycota_odb10	1	best_quality
2714763	Akanthomyces lecanii	fungal	order_sweep	GCA_001653215.1	Scaffold	2016-05-27	True	Mexico	8126	22	32.6	cds	ascomycota_odb10	2	new_country:Mexico
2231603	Akanthomyces muscarius	fungal	order_sweep	GCF_028009165.1	Chromosome	2023-01-26	True	United Kingdom	12347	4857	36.2	cds	ascomycota_odb10	1	best_quality
2231603	Akanthomyces muscarius	fungal	order_sweep	GCA_028009165.1	Chromosome	2023-01-26	True	United Kingdom	12347	4857	36.2	cds	ascomycota_odb10	2	quality_fill
