BioProject	llm_treatment	llm_study_setting	llm_named_pathogen	llm_named_host	llm_tissue	llm_kw_treatment_agree	llm_kw_setting_agree	llm_confidence	llm_rationale
PRJNA588304	single	field	Bean yellow mosaic virus	Phaseolus vulgaris	Leaf	true	true	high	The study focuses on a single pathogen (Bean yellow mosaic virus) detected from a field-collected lentil sample, supporting the classification of treatment as 'single' and study setting as 'field'. The information aligns with both the keyword classifier output and the abstract details.
PRJNA1244880	host_study	field	Phytophthora capsici	faba bean, kidney bean, pepper, squash, tomato, watermelon	seedlings	false	true	medium	Although the RNA-seq study focuses on the interaction with a known pathogen, the presence of multiple host plants and a predominance of co-infection suggests that the study is more about host response and gene expression rather than intentional single-pathogen inoculation. The treatment classification does not fully align with the keyword classifier output which indicates a single treatment.
PRJNA1228670	single	field	Impatiens Necrotic Spot Orthotospovirus	Lactuca sativa		true	true	high	The classification indicates a single-pathogen study targeting the Impatiens Necrotic Spot Virus in a field setting with known host Lactuca sativa. The high co-infection flag count supports a focus on single-pathogen analysis.
PRJEB31334	surveillance	field	Puccinia striiformis f. sp. tritici	Triticum aestivum		false	true	high	The study collects field samples over time without intentional inoculation of a pathogen, indicating a surveillance context. The keyword classifier output indicated a single treatment, but the presence of multi-species data suggests a broader surveillance approach.
PRJEB15280	single	field	Puccinia striiformis f. sp. tritici	Triticum aestivum	leaf	true	false	medium	The classification indicates a single exposure to the designated pathogen in field-collected samples. However, the keyword classifier suggests a lab setting, which conflicts with the study's context of field collection and natural infection.
PRJEB84390	single	lab	Puccinia triticina	Triticum turgidum	urediniospores	true	true	high	The study focuses on single-pathogen experiments using urediniospores of Puccinia triticina, indicating a single treatment. The experiments were conducted in a controlled laboratory setting, as detailed in the methods section.
PRJEB65589	single	unclear		Triticum aestivum		true	false	medium	The treatment is classified as 'single' based on the co_infection_flag summary indicating 36 samples are single-pathogen. The study_setting is marked as 'unclear' due to lack of specific information regarding the context of sample collection or experimentation.
PRJEB47693	single	lab	Puccinia graminis f. sp. tritici	Triticum aestivum	leaf, stem	true	true	high	The experiment involves controlled infections of wheat with a single pathogen, Puccinia graminis f. sp. tritici, in a laboratory setting. This aligns with the keyword classifier output, confirming a single treatment and lab study setting.
PRJNA1113144	single	lab	Fusarium oxysporum f. sp. cubense	Musa acuminata		true	true	high	The study explicitly investigates the response of Musa acuminata to the single pathogen Fusarium oxysporum f. sp. cubense in a lab setting. The keyword classifier output aligns with these findings, confirming a single treatment and lab study context.
PRJNA1292970	single	field	Puccinia graminis	Triticum aestivum		true	true	high	The classification aligns with the keyword classifier output indicating a single treatment and field study setting. The project focuses on single-pathogen wheat stem rust isolates, supporting the assertion of a single treatment context.
PRJNA350867	single	lab	Xanthomonas oryzae pv. oryzicola	Oryza sativa		true	true	high	The study focuses on the response of the pathogen Xanthomonas oryzae pv. oryzicola to H2O2 treatment in a controlled laboratory setting, indicating a single-pathogen focus. The keyword classifier output supports this classification.
PRJNA486288	host_study	field	Fusarium graminearum	Triticum aestivum	wheat spikelet	false	true	medium	The RNA-seq data focuses on gene expression in wheat kernels infected with a single pathogen, suggesting a host study context despite the multi-species co-infection flag. The field study setting aligns with the description of the samples being collected from the field, but the treatment classification as 'single' is contradicted by the co-infection flag.
PRJEB39201	single	field	Puccinia striiformis fsp. tritici	Triticum aestivum		true	true	high	The study focuses on the interaction between a single pathogen (Puccinia striiformis) and its host (Triticum aestivum) in field conditions, aligning with the keyword classifier output. The predominance of single infections among the samples further supports the classification.
PRJNA1054045	single	field	Tomato brown rugose fruit virus	Solanum lycopersicum		true	true	high	The study involves a single pathogen (Tomato brown rugose fruit virus) as indicated by the treatment classification and is collected from various field locations, aligning with the keyword classifier output.
PRJNA1293538	single	lab	Fusarium graminearum	Zea mays	root	true	true	high	The experiment focuses on root infections caused by a single pathogen, Fusarium graminearum, in a controlled lab setting. The keyword classifier output aligns with the study's context as it deals with a single-pathogen inoculation.
