target_id	length	eff_length	est_counts	tpm
XM_003307004.2	2550	2351	0	0
XM_003307005.2	2912	2713	0	0
XM_003307006.2	2571	2372	0	0
XM_003307007.1	372	173	0	0
XM_003307008.2	1682	1483	0	0
XM_003307009.1	384	185	0	0
XM_003307010.1	3261	3062	0	0
XM_003307013.2	534	335	0	0
XM_003307016.2	3402	3203	0	0
XM_003307018.2	2046	1847	0	0
XM_003307019.2	1879	1680	0	0
XM_003307020.2	2206	2007	0	0
XM_003307021.1	789	590	0	0
XM_003307023.2	1467	1268	0	0
XM_003307024.2	2272	2073	0	0
XM_003307025.2	1213	1014	0	0
XM_003307027.1	336	137	0	0
XM_003307028.2	1627	1428	0	0
XM_003307030.2	1539	1340	0	0
XM_003307031.2	1622	1423	0	0
XM_003307032.2	3699	3500	0	0
XM_003307033.2	4755	4556	0	0
XM_003307034.2	4706	4507	0	0
XM_003307036.1	1080	881	0	0
XM_003307037.2	1298	1099	0	0
XM_003307038.2	3807	3608	0	0
XM_003307039.2	944	745	0	0
XM_003307040.2	1332	1133	0	0
XM_003307041.1	744	545	0	0
XM_003307044.1	1236	1037	0	0
XM_003307045.2	3410	3211	0	0
XM_003307046.2	1086	887	0	0
XM_003307047.2	1088	889	0	0
XM_003307050.2	1793	1594	0	0
XM_003307051.2	443	244	0	0
XM_003307052.2	1443	1244	0	0
XM_003307055.2	1090	891	0	0
XM_003307056.2	1680	1481	0	0
XM_003307058.1	456	257	0	0
XM_003307059.2	336	137	0	0
XM_003307060.2	477	278	0	0
XM_003307061.2	720	521	0	0
XM_003307062.2	1114	915	0	0
XM_003307063.2	902	703	0	0
XM_003307064.2	763	564	0	0
XM_003307065.2	1313	1114	0	0
XM_003307069.2	354	155	0	0
XM_003307070.1	2334	2135	0	0
XM_003307076.2	1065	866	0	0
XM_003307077.2	464	265	0	0
XM_003307081.2	2018	1819	0	0
XM_003307083.1	339	140	0	0
XM_003307084.2	2637	2438	0	0
XM_003307085.2	375	176	0	0
XM_003307086.2	2751	2552	0	0
XM_003307087.2	1197	998	0	0
XM_003307088.2	1041	842	0	0
XM_003307089.2	5595	5396	0	0
XM_003307090.2	2270	2071	0	0
XM_003307092.1	3318	3119	0	0
XM_003307093.1	483	284	0	0
XM_003307096.2	2461	2262	0	0
XM_003307098.2	1124	925	0	0
XM_003307100.2	1469	1270	0	0
XM_003307105.1	681	482	0	0
XM_003307106.2	467	268	0	0
XM_003307108.1	1008	809	0	0
XM_003307109.2	1466	1267	0	0
XM_003307112.2	1254	1055	0	0
XM_003307113.2	1218	1019	0	0
XM_003307115.2	1202	1003	0	0
XM_003307116.1	1269	1070	0	0
XM_003307117.1	1017	818	0	0
XM_003307121.2	1138	939	0	0
XM_003307122.2	741	542	0	0
XM_003307123.2	2122	1923	0	0
XM_003307124.1	381	182	0	0
XM_003307125.2	922	723	0	0
XM_003307126.2	861	662	0	0
XM_003307127.2	5668	5469	0	0
XM_003307130.2	1579	1380	0	0
XM_003307131.2	920	721	0	0
XM_003307134.1	1278	1079	0	0
XM_003307139.2	1536	1337	0	0
