taxid	organism_name	kingdom	source	accession	assembly_level	release_date	has_annotation	country	protein_coding_genes	scaffold_n50_kb	total_length_mb	fasta_type	busco_lineage	selection_rank	selection_reason
3469074	[Neocosmospora] sp. B6999-1	fungal	genus_fill	GCA_057674295.1	Scaffold	2026-05-21	True	Netherlands	15024	704	50.4	cds	ascomycota_odb10	1	best_quality
3469074	[Neocosmospora] sp. B6999-1	fungal	genus_fill	GCA_057674185.1	Scaffold	2026-05-21	True	Netherlands	15038	701	51.0	cds	ascomycota_odb10	2	quality_fill
3469074	[Neocosmospora] sp. B6999-1	fungal	genus_fill	GCA_057674245.1	Scaffold	2026-05-21	True	Netherlands	15500	656	50.4	cds	ascomycota_odb10	3	quality_fill
3469074	[Neocosmospora] sp. B6999-1	fungal	genus_fill	GCA_057674335.1	Scaffold	2026-05-21	True	Netherlands	15610	504	49.6	cds	ascomycota_odb10	4	quality_fill
3469074	[Neocosmospora] sp. B6999-1	fungal	genus_fill	GCA_057674285.1	Scaffold	2026-05-21	True	Netherlands	14934	532	50.6	cds	ascomycota_odb10	5	quality_fill
3469074	[Neocosmospora] sp. B6999-1	fungal	genus_fill	GCA_057674405.1	Scaffold	2026-05-21	True	Netherlands	14977	145	50.3	cds	ascomycota_odb10	6	quality_fill
3469074	[Neocosmospora] sp. B6999-1	fungal	genus_fill	GCA_057674425.1	Scaffold	2026-05-21	True	Netherlands	14937	642	50.8	cds	ascomycota_odb10	7	quality_fill
3469075	[Neocosmospora] sp. B6999-2	fungal	genus_fill	GCA_057674085.1	Scaffold	2026-05-21	True	Netherlands	12489	710	49.9	cds	ascomycota_odb10	1	best_quality
3469075	[Neocosmospora] sp. B6999-2	fungal	genus_fill	GCA_057674165.1	Scaffold	2026-05-21	True	Netherlands	11986	368	49.4	cds	ascomycota_odb10	2	quality_fill
3469076	[Neocosmospora] sp. B6999-3	fungal	genus_fill	GCA_057674105.1	Scaffold	2026-05-21	True	Netherlands	14279	1570	46.1	cds	ascomycota_odb10	1	best_quality
