taxid	organism_name	accession	complete_pct	scaffold_n50_kb	n_hashes	est_distinct_kmers
100787	Verticillium longisporum	GCA_018994095.1	95.6	131	106450	21290000
100787	Verticillium longisporum	GCA_001268145.1	91.1	144	106761	21352200
100787	Verticillium longisporum	GCA_018994065.1	78.8	1750	108154	21630800
100787	Verticillium longisporum	GCA_001268165.1	66.0	75	104287	20857400
100787	Verticillium longisporum	GCA_018994105.1	52.4	12	59201	11840200
100870	Phytophthora litchii	GCA_002812785.1		35	0	0
101028	Fusarium pseudograminearum	GCA_000303195.2	99.1	8841	88876	17775200
101028	Fusarium pseudograminearum	GCF_000303195.2	99.1	8841	88873	17774600
101028	Fusarium pseudograminearum	GCA_001703955.2	99.1	8819	84871	16974200
101028	Fusarium pseudograminearum	GCA_016952305.1	97.7	9153	81891	16378200
101028	Fusarium pseudograminearum	GCA_024752415.1	79.4	9007	84191	16838200
101162	Bipolaris oryzae	GCA_000523455.1	98.7	134	78425	15685000
101162	Bipolaris oryzae	GCF_000523455.1	98.7	134	78425	15685000
1042133	Fusarium musae	GCA_019915245.1	98.5	4357	94056	18811200
1042133	Fusarium musae	GCF_019915245.1	98.5	4357	94054	18810800
1047171	Zymoseptoria tritici	GCA_900099495.1	98.8	2700	81697	16339400
1047171	Zymoseptoria tritici	GCA_900184105.1	98.6	2793	81518	16303600
1047171	Zymoseptoria tritici	GCA_900184115.1	98.6	2655	81884	16376800
1047171	Zymoseptoria tritici	GCA_900091695.1	97.8	2825	78587	15717400
1047171	Zymoseptoria tritici	GCA_000219625.1	96.2	2675	69942	13988400
1047171	Zymoseptoria tritici	GCF_000219625.1	96.2	2675	69926	13985200
1051616	Verticillium nonalfalfae	GCA_052571205.1	95.7	308	65253	13050600
1051616	Verticillium nonalfalfae	GCA_052571295.1	95.5	491	65283	13056600
1051616	Verticillium nonalfalfae	GCA_052571305.1	95.5	446	65239	13047800
1051616	Verticillium nonalfalfae	GCA_052571575.1	95.3	472	65123	13024600
1051616	Verticillium nonalfalfae	GCA_052569935.1	95.3	356	65064	13012800
1051616	Verticillium nonalfalfae	GCA_052571485.1	95.3	353	64949	12989800
1051616	Verticillium nonalfalfae	GCA_052571455.1	95.3	330	64977	12995400
1051616	Verticillium nonalfalfae	GCA_052571445.1	95.3	311	64880	12976000
1051616	Verticillium nonalfalfae	GCA_052571255.1	95.2	317	64401	12880200
1051616	Verticillium nonalfalfae	GCA_052571225.1	95.1	390	64695	12939000
1051616	Verticillium nonalfalfae	GCA_052571405.1	94.9	370	64700	12940000
1051616	Verticillium nonalfalfae	GCA_052571105.1	94.7	477	64812	12962400
1051616	Verticillium nonalfalfae	GCA_052571115.1	94.7	347	64699	12939800
1051616	Verticillium nonalfalfae	GCA_052426695.1	94.7	98	64806	12961200
1051616	Verticillium nonalfalfae	GCA_052571055.1	94.3	491	64958	12991600
1051616	Verticillium nonalfalfae	GCA_003724135.2	92.1	172	69363	13872600
1051616	Verticillium nonalfalfae	GCF_003724135.2	92.1	172	69352	13870400
1053134	Fusarium zealandicum	GCA_013266195.1	96.9	43	78515	15703000
1053271	Fusarium nematophilum	GCA_054098485.1	97.8	151	121636	24327200
105487	105487	GCA_000818155.1		3351	81081	16216200
109152	Phytophthora boehmeriae	GCA_019155685.1	92.0	55	78325	15665000
1095194	Colletotrichum karsti	GCA_011947395.2	98.7	858	101115	20223000
1095194	Colletotrichum karsti	GCF_011947395.1	98.7	858	101115	20223000
1131913	Colletotrichum viniferum	GCA_013201765.1	98.4	144	99624	19924800
113226	Pseudocercospora musae	GCA_001578225.1	86.2	44	76011	15202200
1147111	Fusarium euwallaceae	GCA_057674965.1	98.1	570	115273	23054600
1147111	Fusarium euwallaceae	GCA_057675505.1	98.1	544	118448	23689600
1147111	Fusarium euwallaceae	GCA_057675025.1	97.8	502	114518	22903600
1147111	Fusarium euwallaceae	GCA_057675525.1	97.4	519	114916	22983200
1159556	Ustilaginoidea virens	GCA_000687475.2	99.0	6430	57683	11536600
1159556	Ustilaginoidea virens	GCF_000687475.1	99.0	6430	57683	11536600
117187	Fusarium verticillioides	GCA_000149555.1	99.0	1960	105449	21089800
117187	Fusarium verticillioides	GCF_000149555.1	99.0	1960	105572	21114400
117187	Fusarium verticillioides	GCA_003316995.2	98.6	4203	97109	19421800
117187	Fusarium verticillioides	GCA_003316975.2	94.7	4020	88745	17749000
1173701	Colletotrichum sublineola	GCA_030867325.1	98.8	84	91086	18217200
1173701	Colletotrichum sublineola	GCA_000696135.1	98.8	71	91545	18309000
1173702	Colletotrichum eremochloae	GCA_030867245.1	99.0	353	93339	18667800
1187904	Alternaria burnsii	GCA_951284595.1	98.9	832	86990	17398000
1187904	Alternaria burnsii	GCA_013036055.1	97.7	1806	90489	18097800
1187904	Alternaria burnsii	GCF_013036055.1	97.7	1806	90490	18098000
1187925	Alternaria hordeiaustralica	GCA_023758085.1	96.4	1054	78827	15765400
1187925	Alternaria hordeiaustralica	GCF_023758085.1	96.4	1054	78827	15765400
1187928	Alternaria incomplexa	GCA_024043165.1	96.1	1850	78237	15647400
1187928	Alternaria incomplexa	GCF_024043165.1	96.1	1850	78237	15647400
1187938	Alternaria postmessia	GCA_024291825.1	97.6	300	84021	16804200
1187938	Alternaria postmessia	GCF_024291825.1	97.6	300	84021	16804200
1187941	Alternaria rosae	GCA_024043135.1	97.6	938	78565	15713000
1187951	Alternaria ventricosa	GCA_023758065.1	95.5	1329	78014	15602800
1187951	Alternaria ventricosa	GCF_023758065.1	95.5	1329	78014	15602800
119927	Alternaria tenuissima	GCA_004156015.1	99.2	709	90204	18040800
119927	Alternaria tenuissima	GCA_004154735.1	99.2	608	88567	17713400
119927	Alternaria tenuissima	GCA_004154745.1	99.1	547	89549	17909800
119927	Alternaria tenuissima	GCA_004154845.1	99.0	622	93441	18688200
119927	Alternaria tenuissima	GCA_004168565.1	99.0	319	93657	18731400
119953	Alternaria atra	GCA_907166805.1	97.2	3893	85950	17190000
119953	Alternaria atra	GCF_907166805.1	97.2	3893	85912	17182400
120017	Ustilago hordei	GCA_023748715.1	99.4	1023	59791	11958200
120017	Ustilago hordei	GCA_000286035.1	99.4	308	59312	11862400
