target_id	length	eff_length	est_counts	tpm
XM_047939637.1	2132	1933	0	0
XM_047939638.1	1170	971	6.09856	23707.8
XM_047939639.1	2760	2561	0	0
XM_047939640.1	600	401	0	0
XM_047939641.1	528	329	0	0
XM_047939642.1	411	212	0	0
XM_047939643.1	957	758	0	0
XM_047939644.1	1220	1021	0	0
XM_047939645.1	2013	1814	0	0
XM_047939646.1	1980	1781	0	0
XM_047939647.1	816	617	0	0
XM_047939648.1	396	197	0	0
XM_047939649.1	894	695	0	0
XM_047939650.1	513	314	0	0
XM_047939651.1	363	164	0	0
XM_047939652.1	1089	890	0	0
XM_047939653.1	795	596	0	0
XM_047939654.1	342	143	0	0
XM_047939655.1	477	278	0	0
XM_047939656.1	2300	2101	0	0
XM_047939657.1	5067	4868	0	0
XM_047939658.1	1527	1328	0	0
XM_047939659.1	786	587	0	0
XM_047939660.1	6687	6488	0	0
XM_047939661.1	2455	2256	0	0
XM_047939662.1	801	602	0	0
XM_047939663.1	435	236	0	0
XM_047939664.1	570	371	0	0
XM_047939665.1	2061	1862	0	0
XM_047939666.1	2512	2313	0	0
XM_047939667.1	2223	2024	0	0
XM_047939668.1	3793	3594	0	0
XM_047939669.1	3029	2830	0	0
XM_047939670.1	405	206	0	0
XM_047939671.1	1283	1084	0	0
XM_047939672.1	2756	2557	0	0
XM_047939673.1	1689	1490	0	0
XM_047939674.1	1155	956	0	0
XM_047939675.1	771	572	0	0
XM_047939676.1	1433	1234	0	0
XM_047939677.1	2928	2729	0	0
XM_047939678.1	1095	896	0	0
XM_047939679.1	867	668	0	0
XM_047939680.1	806	607	0	0
XM_047939681.1	1309	1110	0	0
XM_047939682.1	1249	1050	0	0
XM_047939683.1	336	137	0	0
XM_047939684.1	267	68.0268	0	0
XM_047939685.1	369	170	0	0
XM_047939686.1	1772	1573	0	0
XM_047939687.1	342	143	0	0
XM_047939688.1	480	281	0	0
XM_047939689.1	1938	1739	0	0
XM_047939690.1	1801	1602	0	0
XM_047939691.1	1329	1130	0	0
XM_047939692.1	342	143	0	0
XM_047939693.1	1485	1286	0	0
XM_047939694.1	303	104	0	0
XM_047939695.1	1676	1477	0	0
XM_047939696.1	585	386	0	0
XM_047939697.1	597	398	0	0
XM_047939698.1	946	747	0	0
XM_047939699.1	751	552	0	0
XM_047939700.1	2714	2515	0	0
XM_047939701.1	1720	1521	0	0
XM_047939702.1	1591	1392	0	0
XM_047939703.1	1643	1444	0	0
XM_047939704.1	6147	5948	0	0
XM_047939705.1	1132	933	0	0
XM_047939706.1	910	711	0	0
XM_047939707.1	2458	2259	0	0
XM_047939708.1	5100	4901	0	0
XM_047939709.1	1113	914	0	0
XM_047939710.1	366	167	0	0
XM_047939711.1	2689	2490	0	0
XM_047939712.1	2181	1982	0	0
XM_047939713.1	7916	7717	0	0
XM_047939714.1	3276	3077	0	0
XM_047939715.1	3254	3055	0	0
XM_047939716.1	2305	2106	0	0
XM_047939717.1	438	239	0	0
XM_047939718.1	549	350	0	0
XM_047939719.1	492	293	0	0
XM_047939720.1	762	563	0	0
XM_047939721.1	553	354	0	0
XM_047939722.1	1626	1427	0	0
