target_id	length	eff_length	est_counts	tpm
XM_003708637.1	1482	1283	0	0
XM_003708638.1	1569	1370	0	0
XM_003708639.1	1590	1391	0	0
XM_003708640.1	1719	1520	0	0
XM_003708641.1	657	458	0	0
XM_003708642.1	189	13.1915	0	0
XM_003708643.1	2889	2690	0	0
XM_003708644.1	1560	1361	0	0
XM_003708645.1	1749	1550	0	0
XM_003708646.1	1806	1607	0	0
XM_003708647.1	1532	1333	0	0
XM_003708648.1	345	146	0	0
XM_003708649.1	1024	825	1	159.218
XM_003708650.1	474	275	0	0
XM_003708651.1	1788	1589	0	0
XM_003708652.1	1848	1649	0	0
XM_003708653.1	246	47.5399	0	0
XM_003708654.1	958	759	0	0
XM_003708655.1	981	782	0	0
XM_003708656.1	1362	1163	0	0
XM_003708657.1	4755	4556	0	0
XM_003708658.1	1595	1396	0	0
XM_003708659.1	3030	2831	1	46.3988
XM_003708660.1	3777	3578	1	36.7119
XM_003708661.1	1125	926	0	0
XM_003708662.1	1414	1215	1	108.111
XM_003708663.1	3486	3287	0	0
XM_003708664.1	1394	1195	0	0
XM_003708665.1	2421	2222	0	0
XM_003708666.1	3584	3385	2	77.6101
XM_003708667.1	2208	2009	1	65.3833
XM_003708668.1	3044	2845	4	184.682
XM_003708669.1	1967	1768	3	222.888
XM_003708670.1	1071	872	0	0
XM_003708671.1	784	585	0	0
XM_003708672.1	3678	3479	0	0
XM_003708673.1	2057	1858	0	0
XM_003708674.1	1455	1256	0	0
XM_003708675.1	2406	2207	2	119.035
XM_003708676.1	622	423	0	0
XM_003708677.1	2703	2504	8	419.665
XM_003708678.1	999	800	0	0
XM_003708679.1	3170	2971	1	44.2124
XM_003708680.1	2210	2011	1	65.3183
XM_003708681.1	366	167	0	0
XM_003708682.1	1665	1466	0	0
XM_003708683.1	1504	1305	4	402.621
XM_003708684.1	1996	1797	0	0
XM_003708685.1	453	254	0	0
XM_003708686.1	306	107	0	0
XM_003708687.1	1761	1562	0	0
XM_003708688.1	1715	1516	6	519.875
XM_003708689.1	4656	4457	1.99014	58.6528
XM_003708690.1	4709	4510	0.00985734	0.287098
XM_003708691.1	1301	1102	0	0
XM_003708692.1	240	42.049	0	0
XM_003708693.1	4463	4264	0	0
XM_003708694.1	2739	2540	0	0
XM_003708695.1	1997	1798	1	73.0563
XM_003708696.1	1834	1635	0	0
XM_003708697.1	1753	1554	0	0
XM_003708698.1	3364	3165	0	0
XM_003708699.1	582	383	0	0
XM_003708700.1	726	527	0	0
XM_003708701.1	2349	2150	0	0
XM_003708702.1	183	11.741	0	0
XM_003708703.1	2252	2053	0	0
XM_003708704.1	1557	1358	0	0
XM_003708705.1	647	448	0	0
XM_003708706.1	3173	2974	0	0
XM_003708707.1	879	680	0	0
XM_003708708.1	1429	1230	0	0
XM_003708709.1	720	521	0	0
XM_003708710.1	354	155	0	0
XM_003708711.1	1553	1354	0	0
XM_003708712.1	1404	1205	0	0
XM_003708713.1	1996	1797	0	0
XM_003708714.1	1755	1556	0	0
XM_003708715.1	1125	926	0	0
XM_003708716.1	258	59.1108	0	0
XM_003708717.1	222	27.8721	0	0
XM_003708718.1	589	390	0	0
XM_003708719.1	622	423	0	0
XM_003708720.1	690	491	0	0
XM_003708721.1	1728	1529	0	0
XM_003708722.1	903	704	0	0
XM_003708723.1	351	152	0	0
XM_003708724.1	435	236	0	0
XM_003708725.1	2582	2383	0	0
XM_003708726.1	420	221	0	0
XM_003708727.1	213	22.4695	0	0
XM_003708728.1	2189	1990	0	0
XM_003708729.1	3255	3056	0	0
XM_003708730.1	1827	1628	0	0
XM_003708731.1	1767	1568	0	0
XM_003708732.1	408	209	0	0
XM_003708733.1	3452	3253	0	0
XM_003708734.1	533	334	0	0
XM_003708735.1	831	632	0	0
XM_003708736.1	870	671	0	0
XM_003708737.1	600	401	0	0
XM_003708738.1	2881	2682	0	0
XM_003708739.1	543	344	0	0
XM_003708740.1	280	81.0024	0	0
XM_003708741.1	176	10.3458	0	0
XM_003708742.1	2013	1814	0	0
XM_003708743.1	1260	1061	0	0
XM_003708744.1	1094	895	0	0
XM_003708745.1	2082	1883	0	0
XM_003708746.1	1065	866	0	0
XM_003708747.1	177	10.528	0	0
XM_003708748.1	686	487	0	0
XM_003708749.1	471	272	0	0
XM_003708750.1	3752	3553	0	0
XM_003708751.1	765	566	0	0
XM_003708752.1	261	62.0706	0	0
XM_003708753.1	2436	2237	0	0
XM_003708754.1	1347	1148	0	0
XM_003708755.1	1002	803	0	0
XM_003708756.1	2139	1940	0	0
XM_003708757.1	321	122	0	0
XM_003708758.1	1670	1471	0	0
