target_id	length	eff_length	est_counts	tpm
XM_003307004.2	2550	2351	35	276.071
XM_003307005.2	2912	2713	4	27.3411
XM_003307006.2	2571	2372	8	62.5434
XM_003307007.1	372	173	0	0
XM_003307008.2	1682	1483	4	50.0178
XM_003307009.1	384	185	0	0
XM_003307010.1	3261	3062	0	0
XM_003307013.2	534	335	0	0
XM_003307016.2	3402	3203	0	0
XM_003307018.2	2046	1847	6	60.2408
XM_003307019.2	1879	1680	6	66.229
XM_003307020.2	2206	2007	5	46.1986
XM_003307021.1	789	590	0	0
XM_003307023.2	1467	1268	4	58.4988
XM_003307024.2	2272	2073	3	26.8366
XM_003307025.2	1213	1014	2	36.5762
XM_003307027.1	336	137	0	0
XM_003307028.2	1627	1428	0	0
XM_003307030.2	1539	1340	12	166.067
XM_003307031.2	1622	1423	6	78.1902
XM_003307032.2	3699	3500	1	5.29832
XM_003307033.2	4755	4556	5	20.3513
XM_003307034.2	4706	4507	2	8.22903
XM_003307036.1	1080	881	0	0
XM_003307037.2	1298	1099	5	84.3681
XM_003307038.2	3807	3608	0	0
XM_003307039.2	944	745	1	24.8914
XM_003307040.2	1332	1133	21	343.713
XM_003307041.1	744	545	0	0
XM_003307044.1	1236	1037	0	0
XM_003307045.2	3410	3211	12	69.3022
XM_003307046.2	1086	887	1	20.9066
XM_003307047.2	1088	889	0	0
XM_003307050.2	1793	1594	0	0
XM_003307051.2	443	244	0	0
XM_003307052.2	1443	1244	3	44.7205
XM_003307055.2	1090	891	1	20.8127
XM_003307056.2	1680	1481	1	12.5213
XM_003307058.1	456	257	0	0
XM_003307059.2	336	137	4	541.434
XM_003307060.2	477	278	9	600.349
XM_003307061.2	720	521	0	0
XM_003307062.2	1114	915	0	0
XM_003307063.2	902	703	0	0
XM_003307064.2	763	564	3	98.6389
XM_003307065.2	1313	1114	0	0
XM_003307069.2	354	155	0	0
XM_003307070.1	2334	2135	0	0
XM_003307076.2	1065	866	9	192.722
XM_003307077.2	464	265	0	0
XM_003307081.2	2018	1819	3	30.584
XM_003307083.1	339	140	0	0
XM_003307084.2	2637	2438	0	0
XM_003307085.2	375	176	1	105.364
XM_003307086.2	2751	2552	0	0
XM_003307087.2	1197	998	5	92.9064
XM_003307088.2	1041	842	0	0
XM_003307089.2	5595	5396	2	6.87328
XM_003307090.2	2270	2071	8	71.6335
XM_003307092.1	3318	3119	0	0
XM_003307093.1	483	284	0	0
XM_003307096.2	2461	2262	3	24.5943
XM_003307098.2	1124	925	1	20.0477
XM_003307100.2	1469	1270	0	0
XM_003307105.1	681	482	0	0
XM_003307106.2	467	268	0	0
XM_003307108.1	1008	809	0	0
XM_003307109.2	1466	1267	0	0
XM_003307112.2	1254	1055	2	35.1547
XM_003307113.2	1218	1019	0	0
XM_003307115.2	1202	1003	1	18.4886
XM_003307116.1	1269	1070	0	0
XM_003307117.1	1017	818	0	0
XM_003307121.2	1138	939	0	0
XM_003307122.2	741	542	0	0
XM_003307123.2	2122	1923	9	86.7899
XM_003307124.1	381	182	0	0
XM_003307125.2	922	723	0	0
XM_003307126.2	861	662	13	364.159
XM_003307127.2	5668	5469	12	40.6892
XM_003307130.2	1579	1380	0	0
XM_003307131.2	920	721	2	51.44
XM_003307134.1	1278	1079	0	0
XM_003307139.2	1536	1337	2	27.7399
XM_003307140.2	1893	1694	2	21.8939
XM_003307141.2	1242	1043	0	0
XM_003307142.2	1697	1498	5	61.8962
XM_003307143.2	2146	1947	0	0
XM_003307145.2	384	185	0	0
XM_003307148.2	1261	1062	5	87.3075
XM_003307149.2	1475	1276	1	14.533
XM_003307150.2	1728	1529	4	48.513
XM_003307152.2	3360	3161	0	0
XM_003307153.2	1332	1133	0	0
XM_003307155.2	2087	1888	5	49.1105
XM_003307156.2	2431	2232	0	0
XM_003307157.2	1455	1256	2	29.5288
XM_003307158.2	1527	1328	6	83.7836
XM_003307159.1	450	251	0	0
XM_003307160.2	1019	820	6	135.689
XM_003307161.2	6985	6786	4	10.9308
XM_003307163.2	3981	3782	0	0
XM_003307165.2	1298	1099	0	0
XM_003307166.2	835	636	0	0
XM_003307167.2	1455	1256	0	0
XM_003307168.2	1629	1430	7	90.7754
XM_003307169.2	2741	2542	7	51.0656
XM_003307170.2	3369	3170	3	17.5496
XM_003307171.2	1351	1152	3	48.292
XM_003307172.2	704	505	1	36.721
XM_003307173.2	729	530	0	0
XM_003307174.2	4486	4287	0	0
XM_003307176.2	846	647	0	0
XM_003307179.2	1005	806	0	0
XM_003307180.2	1669	1470	6	75.6902
XM_003307181.2	2187	1988	0	0
XM_003307182.2	2356	2157	0	0
XM_003307183.2	1447	1248	1	14.8591
XM_003307184.2	899	700	5	132.458
XM_003307185.1	378	179	0	0
XM_003307186.1	486	287	0	0
XM_003307188.2	1295	1096	0	0
XM_003307189.2	2004	1805	0	0
XM_003307190.1	408	209	0	0
XM_003307192.2	760	561	0	0
XM_003307193.2	3624	3425	1	5.41434
XM_003307194.2	1715	1516	1	12.2323
XM_003307195.2	3566	3367	3	16.5228
XM_003307196.2	1391	1192	1	15.5571
XM_003307197.2	1776	1577	3	35.2773
XM_003307198.2	1104	905	0	0
XM_003307199.2	1632	1433	0	0
XM_003307200.2	1983	1784	1	10.3947
XM_003307201.2	2999	2800	1	6.6229
XM_003307202.1	1416	1217	0	0
XM_003307203.2	850	651	0	0
XM_003307204.2	2359	2160	2	17.1705
XM_003307205.2	993	794	0	0
XM_003307207.2	1959	1760	0	0
XM_003307210.1	1749	1550	0	0
XM_003307211.1	1203	1004	0	0
XM_003307212.1	867	668	0	0
XM_003307213.2	1644	1445	12	154
XM_003307214.2	1319	1120	17	281.473
XM_003307215.2	722	523	0	0
XM_003307216.1	2928	2729	1	6.7952
XM_003307218.2	858	659	0	0
XM_003307219.2	3843	3644	2	10.1779
XM_003307220.2	2182	1983	6	56.1093
XM_003307221.2	1935	1736	1	10.6821
XM_003307222.2	501	302	0	0
XM_003307223.1	768	569	1	32.5907
XM_003307225.2	1324	1125	1	16.4837
XM_003307226.1	414	215	16	1380.03
XM_003307227.1	264	65.044	0	0
XM_003307228.2	1367	1168	0	0
XM_003307229.2	870	671	0	0
XM_003307230.2	1860	1661	1	11.1644
XM_003307231.2	375	176	0	0
XM_003307232.2	3085	2886	4	25.7022
XM_003307233.2	868	669	8	221.753
XM_003307234.2	804	605	0	0
XM_003307235.2	2149	1950	3	28.5294
XM_003307236.2	937	738	0	0
XM_003307237.2	1740	1541	8	96.2705
XM_003307240.2	438	239	0	0
XM_003307242.2	615	416	0	0
XM_003307243.2	2616	2417	5	38.3618
XM_003307244.2	267	68.0268	14	3816.4
XM_003307245.2	1288	1089	0	0
XM_003307246.2	462	263	4	282.04
XM_003307247.2	2465	2266	0	0
XM_003307248.2	912	713	1	26.0086
XM_003307249.2	1589	1390	1	13.3411
XM_003307250.1	327	128	0	0
XM_003307251.2	495	296	0	0
XM_003307253.2	2396	2197	32	270.101
XM_003307254.2	330	131	107	15146.7
XM_003307256.2	1794	1595	0	0
XM_003307258.2	411	212	0	0
XM_003307259.2	1389	1190	1	15.5833
XM_003307260.2	2603	2404	1	7.71386
XM_003307262.2	1596	1397	1	13.2742
XM_003307263.2	1215	1016	8	146.017
XM_003307264.2	1497	1298	6	85.7201
XM_003307265.2	2212	2013	3	27.6365
XM_003307267.2	991	792	0	0
XM_003307268.2	945	746	0	0
XM_003307269.2	2302	2103	2.40417	21.1998
XM_003307270.1	537	338	0	0
XM_003307271.2	261	62.0706	0	0
XM_003307273.1	423	224	0	0
XM_003307274.1	2769	2570	0	0
XM_003307279.1	375	176	0	0
XM_003307280.2	381	182	0	0
XM_003307281.2	2926	2727	4.59583	31.2525
XM_003307282.2	3552	3353	2	11.0612
XM_003307284.2	943	744	2	49.8498
XM_003307285.2	1321	1122	0	0
XM_003307286.2	1440	1241	0	0
XM_003307287.2	3013	2814	7	46.1296
XM_003307289.2	579	380	0	0
XM_003307293.2	1923	1724	0	0
XM_003307294.2	267	68.0268	0	0
XM_003307295.2	363	164	0	0
XM_003307296.2	1425	1226	6	90.7542
XM_003307297.2	3820	3621	1	5.12127
XM_003307305.2	2079	1880	0	0
XM_003307306.1	2274	2075	0	0
XM_003307308.2	798	599	0	0
XM_003307309.1	363	164	0	0
XM_003307311.2	540	341	0	0
XM_003307312.2	1014	815	0	0
XM_003307314.2	3720	3521	16	84.2675
XM_003307315.2	2695	2496	6	44.5772
XM_003307317.2	2307	2108	0	0
XM_003307318.2	2308	2109	1	8.79285
XM_003307319.2	1287	1088	1	17.0442
XM_003307320.2	1581	1382	0	0
XM_003307321.2	2259	2060	0	0
XM_003307322.2	918	719	0	0
XM_003307323.2	3398	3199	3	17.3905
XM_003307324.2	2521	2322	0	0
XM_003307326.2	939	740	0	0
XM_003307327.2	1457	1258	0	0
XM_003307328.2	1289	1090	0	0
XM_003307329.2	901	702	5	132.081
XM_003307330.2	2853	2654	7	48.9106
XM_003307332.2	1492	1293	1	14.3419
XM_003307333.2	1564	1365	0	0
XM_003307334.2	1001	802	17	393.08
XM_003307335.2	1238	1039	0	0
XM_003307336.2	615	416	2	89.1544
XM_003307337.2	387	188	0	0
XM_003307340.2	2249	2050	1	9.04591
XM_003307342.2	1459	1260	5	73.5877
XM_003307343.2	1632	1433	1	12.9408
XM_003307344.2	1305	1106	2	33.5337
XM_003307345.1	306	107	0	0
XM_003307346.2	2703	2504	0	0
XM_003307347.2	2940	2741	0	0
XM_003307348.2	3125	2926	5	31.6885
XM_003307349.2	586	387	1	47.9176
XM_003307350.2	363	164	0	0
XM_003307355.2	3216	3017	0	0
XM_003307356.1	867	668	0	0
XM_003307358.2	2479	2280	2	16.2668
XM_003307362.2	1918	1719	3	32.3632
XM_003307363.2	3418	3219	0	0
XM_003307365.1	300	101	0	0
XM_003307368.2	826	627	0	0
XM_003307369.2	1552	1353	2	27.4118
XM_003307370.2	1787	1588	0	0
XM_003307373.2	1926	1727	3	32.2133
XM_003307374.2	4791	4592	2	8.0767
XM_003307375.2	471	272	0	0
XM_003307379.2	1266	1067	3	52.139
XM_003307380.2	3930	3731	0	0
XM_003307384.1	1893	1694	0	0
XM_003307387.2	1025	826	0	0
XM_003307388.1	1065	866	6	128.481
XM_003307389.2	426	227	0	0
XM_003307391.2	2913	2714	0	0
XM_003307392.2	1833	1634	0	0
XM_003307393.2	1869	1670	0	0
XM_003307394.1	315	116	1	159.863
XM_003307395.2	411	212	3	262.417
XM_003307396.2	1563	1364	0	0
XM_003307399.1	1113	914	1	20.289
XM_003307400.2	1241	1042	16	284.746
XM_003307403.2	1797	1598	3	34.8137
XM_003307404.1	903	704	1	26.3411
XM_003307405.2	1115	916	0	0
XM_003307406.2	348	149	0	0
XM_003307407.2	828	629	1	29.4819
XM_003307408.2	2130	1931	6	57.6202
XM_003307409.2	249	50.3754	1	368.119
XM_003307410.2	1317	1118	1	16.5869
XM_003307411.2	3480	3281	1	5.65197
XM_003307412.2	1362	1163	0	0
XM_003307413.2	639	440	0	0
XM_003307414.2	882	683	0	0
XM_003307415.2	2886	2687	0	0
XM_003307417.2	952	753	5	123.135
XM_003307418.2	4214	4015	15	69.2806
XM_003307419.2	2772	2573	0	0
XM_003307420.2	1599	1400	0	0
XM_003307421.2	1884	1685	0	0
XM_003307424.2	984	785	0	0
XM_003307425.2	2930	2731	1	6.79023
XM_003307426.2	879	680	0	0
XM_003307428.2	3027	2828	0	0
XM_003307429.1	1035	836	0	0
XM_003307430.2	4184	3985	1	4.65348
XM_003307431.2	1050	851	4	87.1639
XM_003307432.2	1656	1457	0	0
XM_003307433.2	312	113	0	0
XM_003307434.2	594	395	0	0
XM_003307436.2	399	200	0	0
XM_003307437.2	2196	1997	0	0
XM_003307438.2	1608	1409	0	0
XM_003307439.2	1299	1100	0	0
XM_003307440.2	1331	1132	2	32.7634
XM_003307441.2	2403	2204	1	8.41384
XM_003307442.2	1566	1367	0	0
XM_003307443.1	1185	986	0	0
XM_003307445.2	1830	1631	0	0
XM_003307449.1	1431	1232	0	0
XM_003307450.2	1041	842	5	110.119
XM_003307452.2	415	216	0	0
XM_003307453.2	1995	1796	0	0
XM_003307455.2	2026	1827	0	0
XM_003307456.2	1639	1440	4	51.5114
XM_003307457.2	3194	2995	3	18.5751
XM_003307460.2	1401	1202	1	15.4277
XM_003307461.2	2408	2209	2	16.7896
XM_003307462.2	768	569	2	65.1814
XM_003307465.2	1368	1169	7	111.043
XM_003307467.2	921	722	0	0
XM_003307468.1	1086	887	0	0
XM_003307469.2	909	710	4	104.474
XM_003307470.2	687	488	0	0
XM_003307471.2	874	675	0	0
XM_003307472.1	1503	1304	0	0
XM_003307477.2	963	764	0	0
XM_003307479.1	1800	1601	0	0
XM_003307485.1	1326	1127	0	0
XM_003307486.2	1601	1402	0	0
XM_003307487.2	2503	2304	0	0
XM_003307488.2	1682	1483	0	0
XM_003307489.2	12288	12089	8	12.2717
XM_003307492.2	408	209	0	0
XM_003307493.2	1335	1136	1	16.324
XM_003307494.2	1083	884	4	83.91
XM_003307495.1	767	568	1	32.6481
XM_003307496.2	1264	1065	0	0
XM_003307497.2	962	763	0	0
XM_003307499.2	2128	1929	0	0
XM_003307500.2	962	763	0	0
XM_003307501.2	1806	1607	4	46.1583
XM_003307503.1	666	467	0	0
XM_003307506.2	3204	3005	24	148.106
XM_003307507.2	731	532	14	488.003
XM_003307509.2	3076	2877	18.6959	120.507
XM_003307510.2	635	436	0	0
XM_003307511.2	2284	2085	2	17.7881
XM_003307513.2	2718	2519	1	7.3617
XM_003307514.1	126	5.35093	0	0
XM_003307516.2	1732	1533	3	36.2898
XM_003307517.2	253	54.2236	0	0
XM_003307518.2	1555	1356	5	68.378
XM_003307519.2	2635	2436	0	0
XM_003307522.2	1026	827	1	22.4234
XM_003307523.2	775	576	0	0
XM_003307525.1	300	101	0	0
XM_003307527.2	1437	1238	8	119.833
XM_003307528.2	393	194	0	0
XM_003307529.2	6338	6139	1	3.02071
XM_003307530.2	225	29.9375	0	0
XM_003307532.2	2184	1985	0	0
XM_003307533.1	2607	2408	0	0
XM_003307534.2	258	59.1108	0	0
XM_003307535.2	417	218	0	0
XM_003307537.2	1639	1440	0	0
XM_003307540.2	1851	1652	0	0
XM_003307542.2	1319	1120	0	0
XM_003307544.2	609	410	0	0
XM_003307546.2	759	560	0	0
XM_003307547.2	672	473	0	0
XM_003307548.2	510	311	0	0
XM_003307551.2	1637	1438	0	0
XM_003307552.2	1311	1112	3	50.0291
XM_003307553.2	2897	2698	3	20.6198
XM_003307556.2	1052	853	0	0
XM_003307558.2	2464	2265	6	49.1235
XM_003307559.2	576	377	0	0
XM_003307560.1	432	233	0	0
XM_003307564.1	822	623	0	0
XM_003307565.2	510	311	0	0
XM_003307566.1	903	704	0	0
XM_003307568.2	3482	3283	0	0
XM_003307569.2	1437	1238	0	0
XM_003307570.2	330	131	0	0
XM_003307571.2	774	575	0	0
XM_003307572.2	1530	1331	0	0
XM_003307573.2	738	539	0	0
XM_003307574.2	4006	3807	0	0
XM_003307575.2	2372	2173	2	17.0678
XM_003307578.2	597	398	0	0
XM_003307580.2	534	335	0	0
XM_003307581.1	498	299	0	0
XM_003307582.2	528	329	0	0
XM_003307583.2	2238	2039	13	118.231
XM_003307584.2	1803	1604	8	92.4893
XM_003307585.2	1172	973	0	0
XM_003307586.2	4270	4071	4	18.2207
XM_003307590.2	1656	1457	6	76.3656
XM_003307591.1	846	647	0	0
XM_003307592.2	1071	872	4	85.0647
XM_003307593.2	4136	3937	1	4.71021
