accession	organism_name	kingdom	busco_lineage	complete_pct	single_pct	duplicated_pct	fragmented_pct	missing_pct	n_markers	status
GCA_057674165.1	[Neocosmospora] sp. B6999-2	fungal	ascomycota_odb10	90.6	90.2	0.4	4.7	4.7	1706	pass
GCA_057674085.1	[Neocosmospora] sp. B6999-2	fungal	ascomycota_odb10	91.5	91.0	0.5	4.1	4.4	1706	pass
GCA_057673905.1	[Neocosmospora] sp. B6999-4	fungal	ascomycota_odb10	97.5	97.0	0.5	1.6	0.9	1706	pass
GCA_057674105.1	[Neocosmospora] sp. B6999-3	fungal	ascomycota_odb10	98.0	97.6	0.4	1.1	0.9	1706	pass
GCA_057673925.1	[Neocosmospora] sp. B6999-4	fungal	ascomycota_odb10	96.2	95.8	0.4	2.1	1.7	1706	pass
GCA_057673975.1	[Neocosmospora] sp. B6999-4	fungal	ascomycota_odb10	97.1	96.7	0.4	1.8	1.1	1706	pass
GCA_057673805.1	[Neocosmospora] sp. B6999-4	fungal	ascomycota_odb10	96.3	95.8	0.5	1.8	1.9	1706	pass
GCA_057674295.1	[Neocosmospora] sp. B6999-1	fungal	ascomycota_odb10	96.0	95.5	0.5	2.2	1.8	1706	pass
GCA_057674405.1	[Neocosmospora] sp. B6999-1	fungal	ascomycota_odb10	96.1	95.7	0.4	2.1	1.8	1706	pass
GCA_057673945.1	[Neocosmospora] sp. B6999-4	fungal	ascomycota_odb10	97.8	97.4	0.4	1.2	1.0	1706	pass
GCA_057674245.1	[Neocosmospora] sp. B6999-1	fungal	ascomycota_odb10	96.6	96.1	0.5	1.7	1.7	1706	pass
GCA_057674335.1	[Neocosmospora] sp. B6999-1	fungal	ascomycota_odb10	96.6	96.1	0.5	1.9	1.5	1706	pass
GCA_057674285.1	[Neocosmospora] sp. B6999-1	fungal	ascomycota_odb10	96.3	95.9	0.4	2.0	1.7	1706	pass
GCA_057674185.1	[Neocosmospora] sp. B6999-1	fungal	ascomycota_odb10	95.8	95.4	0.4	2.3	1.9	1706	pass
GCA_057673865.1	[Neocosmospora] sp. B6999-4	fungal	ascomycota_odb10	97.4	96.9	0.5	1.2	1.4	1706	pass
GCA_057674425.1	[Neocosmospora] sp. B6999-1	fungal	ascomycota_odb10	96.1	95.7	0.4	2.1	1.8	1706	pass
GCA_004154815.1	Alternaria arborescens	fungal	ascomycota_odb10	99.1	98.5	0.6	0.5	0.4	1706	pass
GCF_004154835.1	Alternaria arborescens	fungal	ascomycota_odb10	98.9	98.6	0.3	0.5	0.6	1706	pass
GCA_004154835.1	Alternaria arborescens	fungal	ascomycota_odb10	98.9	98.6	0.3	0.5	0.6	1706	pass
GCA_057674065.1	[Neocosmospora] sp. B6999-4	fungal	ascomycota_odb10	97.7	97.1	0.6	1.4	0.9	1706	pass
GCA_024043155.1	Alternaria arbusti	fungal	ascomycota_odb10	97.3	97.2	0.1	0.2	2.5	1706	pass
GCF_907166805.1	Alternaria atra	fungal	ascomycota_odb10	97.2	91.5	5.7	0.9	1.9	1706	pass
GCF_024043155.1	Alternaria arbusti	fungal	ascomycota_odb10	97.3	97.2	0.1	0.2	2.5	1706	pass
GCA_004155955.1	Alternaria arborescens	fungal	ascomycota_odb10	99.0	98.8	0.2	0.4	0.6	1706	pass
GCA_951284595.1	Alternaria burnsii	fungal	ascomycota_odb10	98.9	93.0	5.9	0.2	0.9	1706	pass
GCF_042100115.1	Alternaria dauci	fungal	ascomycota_odb10	97.1	96.9	0.2	0.8	2.1	1706	pass
GCF_013036055.1	Alternaria burnsii	fungal	ascomycota_odb10	97.7	97.6	0.1	0.4	1.9	1706	pass
GCF_024043145.1	Alternaria conjuncta	fungal	ascomycota_odb10	97.5	97.4	0.1	0.5	2.0	1706	pass
GCA_024043145.1	Alternaria conjuncta	fungal	ascomycota_odb10	97.5	97.4	0.1	0.5	2.0	1706	pass
GCA_907166805.1	Alternaria atra	fungal	ascomycota_odb10	97.2	91.5	5.7	0.9	1.9	1706	pass
GCA_013036055.1	Alternaria burnsii	fungal	ascomycota_odb10	97.7	97.6	0.1	0.4	1.9	1706	pass
GCA_057673785.1	[Neocosmospora] sp. B6999-5	fungal	ascomycota_odb10	97.5	96.9	0.6	1.2	1.3	1706	pass
GCA_042100115.1	Alternaria dauci	fungal	ascomycota_odb10	97.1	96.9	0.2	0.8	2.1	1706	pass
GCF_023757985.1	Alternaria ethzedia	fungal	ascomycota_odb10	96.6	96.5	0.1	0.4	3.0	1706	pass
GCA_023757985.1	Alternaria ethzedia	fungal	ascomycota_odb10	96.6	96.5	0.1	0.4	3.0	1706	pass
GCF_023758085.1	Alternaria hordeiaustralica	fungal	ascomycota_odb10	96.4	96.3	0.1	0.7	2.9	1706	pass
GCA_023758085.1	Alternaria hordeiaustralica	fungal	ascomycota_odb10	96.4	96.3	0.1	0.7	2.9	1706	pass
GCF_024043165.1	Alternaria incomplexa	fungal	ascomycota_odb10	96.1	96.0	0.1	0.8	3.1	1706	pass
GCF_024043175.1	Alternaria infectoria	fungal	ascomycota_odb10	95.9	95.8	0.1	0.7	3.4	1706	pass
GCA_024043165.1	Alternaria incomplexa	fungal	ascomycota_odb10	96.1	96.0	0.1	0.8	3.1	1706	pass
GCA_024043175.1	Alternaria infectoria	fungal	ascomycota_odb10	95.9	95.8	0.1	0.7	3.4	1706	pass
GCF_023758075.1	Alternaria novae-zelandiae	fungal	ascomycota_odb10	96.3	96.2	0.1	0.5	3.2	1706	pass
GCF_023757995.1	Alternaria metachromatica	fungal	ascomycota_odb10	95.3	95.2	0.1	0.9	3.8	1706	pass
GCA_023758075.1	Alternaria novae-zelandiae	fungal	ascomycota_odb10	96.3	96.2	0.1	0.5	3.2	1706	pass
GCA_024043135.1	Alternaria rosae	fungal	ascomycota_odb10	97.6	97.5	0.1	0.4	2.0	1706	pass
GCA_023757995.1	Alternaria metachromatica	fungal	ascomycota_odb10	95.3	95.2	0.1	0.9	3.8	1706	pass
GCF_024291825.1	Alternaria postmessia	fungal	ascomycota_odb10	97.6	97.5	0.1	0.3	2.1	1706	pass
GCA_024291825.1	Alternaria postmessia	fungal	ascomycota_odb10	97.6	97.5	0.1	0.3	2.1	1706	pass
GCA_023758125.1	Alternaria sp. Ai002NY15	fungal	ascomycota_odb10	96.9	96.8	0.1	0.5	2.6	1706	pass
GCA_023758005.1	Alternaria sp. BMP 0032	fungal	ascomycota_odb10	95.6	95.5	0.1	0.9	3.5	1706	pass
GCA_023758145.1	Alternaria sp. BMP 2799	fungal	ascomycota_odb10	95.6	95.5	0.1	0.6	3.8	1706	pass
GCA_004154735.1	Alternaria tenuissima	fungal	ascomycota_odb10	99.2	98.8	0.4	0.3	0.5	1706	pass
GCA_004154745.1	Alternaria tenuissima	fungal	ascomycota_odb10	99.1	98.7	0.4	0.4	0.5	1706	pass
GCA_003574525.1	Alternaria sp. MG1	fungal	ascomycota_odb10	94.8	94.6	0.2	2.3	2.9	1706	pass
GCA_004156015.1	Alternaria tenuissima	fungal	ascomycota_odb10	99.2	98.7	0.5	0.3	0.5	1706	pass
GCA_004154845.1	Alternaria tenuissima	fungal	ascomycota_odb10	99.0	98.5	0.5	0.5	0.5	1706	pass
GCA_023758025.1	Alternaria triticimaculans	fungal	ascomycota_odb10	96.8	96.7	0.1	0.5	2.7	1706	pass
GCA_004168565.1	Alternaria tenuissima	fungal	ascomycota_odb10	99.0	98.1	0.9	0.4	0.6	1706	pass
GCF_023758025.1	Alternaria triticimaculans	fungal	ascomycota_odb10	96.8	96.7	0.1	0.5	2.7	1706	pass
GCF_023758065.1	Alternaria ventricosa	fungal	ascomycota_odb10	95.5	95.4	0.1	1.2	3.3	1706	pass
GCA_055773965.2	Bipolaris sivanesaniana	fungal	ascomycota_odb10	97.1	96.9	0.2	0.9	2.0	1706	pass
GCA_000151065.3	Blumeria hordei DH14	fungal	ascomycota_odb10	95.2	94.6	0.6	1.8	3.0	1706	pass
GCF_023758015.1	Alternaria viburni	fungal	ascomycota_odb10	97.5	97.4	0.1	0.4	2.1	1706	pass
GCA_023758065.1	Alternaria ventricosa	fungal	ascomycota_odb10	95.5	95.4	0.1	1.2	3.3	1706	pass
GCA_023758015.1	Alternaria viburni	fungal	ascomycota_odb10	97.5	97.4	0.1	0.4	2.1	1706	pass
GCA_004916875.1	Botrytis galanthina	fungal	ascomycota_odb10	99.1	98.8	0.3	0.4	0.5	1706	pass
GCA_004786245.1	Botrytis hyacinthi	fungal	ascomycota_odb10	99.3	99.1	0.2	0.2	0.5	1706	pass
GCA_004786145.1	Botrytis paeoniae	fungal	ascomycota_odb10	99.1	98.8	0.3	0.4	0.5	1706	pass
GCA_004786125.1	Botrytis tulipae	fungal	ascomycota_odb10	99.4	99.2	0.2	0.2	0.4	1706	pass
GCA_004786265.1	Botrytis porri	fungal	ascomycota_odb10	97.0	96.7	0.3	1.6	1.4	1706	pass
GCA_002933655.1	Cercospora berteroae	fungal	ascomycota_odb10	98.6	98.5	0.1	0.3	1.1	1706	pass
GCA_030867225.1	Colletotrichum caudatum	fungal	ascomycota_odb10	99.0	98.8	0.2	0.6	0.4	1706	pass
GCF_030869225.1	Colletotrichum abscissum	fungal	ascomycota_odb10	99.5	99.4	0.1	0.1	0.4	1706	pass
GCA_001937105.1	Colletotrichum chlorophyti	fungal	ascomycota_odb10	96.9	96.7	0.2	0.4	2.7	1706	pass
GCA_023376855.1	Colletotrichum abscissum	fungal	ascomycota_odb10	99.3	99.2	0.1	0.2	0.5	1706	pass
GCA_030867335.1	Colletotrichum cereale	fungal	ascomycota_odb10	99.1	98.8	0.3	0.5	0.4	1706	pass
GCA_030869225.1	Colletotrichum abscissum	fungal	ascomycota_odb10	99.5	99.4	0.1	0.1	0.4	1706	pass
