target_id	length	eff_length	est_counts	tpm
XM_003307004.2	2550	2351	7	47.8807
XM_003307005.2	2912	2713	0	0
XM_003307006.2	2571	2372	6	40.6772
XM_003307007.1	372	173	0	0
XM_003307008.2	1682	1483	6	65.0617
XM_003307009.1	384	185	0	0
XM_003307010.1	3261	3062	0	0
XM_003307013.2	534	335	0	0
XM_003307016.2	3402	3203	1	5.02063
XM_003307018.2	2046	1847	3	26.1198
XM_003307019.2	1879	1680	5	47.8603
XM_003307020.2	2206	2007	10	80.1249
XM_003307021.1	789	590	0	0
XM_003307023.2	1467	1268	14	177.551
XM_003307024.2	2272	2073	0	0
XM_003307025.2	1213	1014	3	47.5771
XM_003307027.1	336	137	0	0
XM_003307028.2	1627	1428	7.17064	80.7504
XM_003307030.2	1539	1340	10	120.008
XM_003307031.2	1622	1423	2	22.6016
XM_003307032.2	3699	3500	5	22.973
XM_003307033.2	4755	4556	21	74.1226
XM_003307034.2	4706	4507	6	21.4081
XM_003307036.1	1080	881	0	0
XM_003307037.2	1298	1099	5	73.1623
XM_003307038.2	3807	3608	1	4.45706
XM_003307039.2	944	745	6	129.512
XM_003307040.2	1332	1133	55	780.635
XM_003307041.1	744	545	0	0
XM_003307044.1	1236	1037	0	0
XM_003307045.2	3410	3211	12	60.0974
XM_003307046.2	1086	887	1	18.1297
XM_003307047.2	1088	889	0	0
XM_003307050.2	1793	1594	1	10.0885
XM_003307051.2	443	244	0	0
XM_003307052.2	1443	1244	32	413.661
XM_003307055.2	1090	891	0	0
XM_003307056.2	1680	1481	9	97.7243
XM_003307058.1	456	257	4	250.289
XM_003307059.2	336	137	22	2582.36
XM_003307060.2	477	278	37	2140.29
XM_003307061.2	720	521	0	0
XM_003307062.2	1114	915	0	0
XM_003307063.2	902	703	0	0
XM_003307064.2	763	564	4	114.05
XM_003307065.2	1313	1114	5	72.1772
XM_003307069.2	354	155	0	0
XM_003307070.1	2334	2135	0	0
XM_003307076.2	1065	866	51	947.038
XM_003307077.2	464	265	1	60.6833
XM_003307081.2	2018	1819	6	53.0437
XM_003307083.1	339	140	0	0
XM_003307084.2	2637	2438	0	0
XM_003307085.2	375	176	4	365.479
XM_003307086.2	2751	2552	6	37.8082
XM_003307087.2	1197	998	6	96.6798
XM_003307088.2	1041	842	0	0
XM_003307089.2	5595	5396	17	50.6631
XM_003307090.2	2270	2071	52	403.774
XM_003307092.1	3318	3119	0	0
XM_003307093.1	483	284	0	0
XM_003307096.2	2461	2262	0	0
XM_003307098.2	1124	925	0	0
XM_003307100.2	1469	1270	9	113.96
XM_003307105.1	681	482	0	0
XM_003307106.2	467	268	0	0
XM_003307108.1	1008	809	0	0
XM_003307109.2	1466	1267	0	0
XM_003307112.2	1254	1055	3	45.7282
XM_003307113.2	1218	1019	1	15.7812
XM_003307115.2	1202	1003	2	32.0659
XM_003307116.1	1269	1070	0	0
XM_003307117.1	1017	818	0	0
XM_003307121.2	1138	939	1	17.1257
XM_003307122.2	741	542	2	59.3398
XM_003307123.2	2122	1923	31	259.237
XM_003307124.1	381	182	0	0
XM_003307125.2	922	723	0	0
XM_003307126.2	861	662	46	1117.42
XM_003307127.2	5668	5469	39	114.676
XM_003307130.2	1579	1380	0	0
XM_003307131.2	920	721	2	44.6077
XM_003307134.1	1278	1079	0	0
XM_003307139.2	1536	1337	3	36.0832
XM_003307140.2	1893	1694	7	66.4507
XM_003307141.2	1242	1043	0	0
XM_003307142.2	1697	1498	4	42.9401
XM_003307143.2	2146	1947	0	0
XM_003307145.2	384	185	0	0
XM_003307148.2	1261	1062	8	121.138
XM_003307149.2	1475	1276	5	63.0136
XM_003307150.2	1728	1529	1	10.5174
XM_003307152.2	3360	3161	3	15.262
XM_003307153.2	1332	1133	2	28.3867
XM_003307155.2	2087	1888	4	34.0701
XM_003307156.2	2431	2232	3	21.6143
XM_003307157.2	1455	1256	1	12.8034
XM_003307158.2	1527	1328	9	108.983
XM_003307159.1	450	251	0	0
XM_003307160.2	1019	820	9	176.5
XM_003307161.2	6985	6786	7	16.5882
XM_003307163.2	3981	3782	0	0
XM_003307165.2	1298	1099	0	0
XM_003307166.2	835	636	2	50.5694
XM_003307167.2	1455	1256	0	0
XM_003307168.2	1629	1430	12	134.946
XM_003307169.2	2741	2542	68.8254	435.399
XM_003307170.2	3369	3170	0	0
XM_003307171.2	1351	1152	8	111.674
XM_003307172.2	704	505	4	127.375
XM_003307173.2	729	530	0	0
XM_003307174.2	4486	4287	4	15.0045
XM_003307176.2	846	647	0	0
XM_003307179.2	1005	806	0	0
XM_003307180.2	1669	1470	29	317.246
XM_003307181.2	2187	1988	1	8.08907
XM_003307182.2	2356	2157	12	89.4635
XM_003307183.2	1447	1248	6	77.3128
XM_003307184.2	899	700	5	114.865
XM_003307185.1	378	179	0	0
XM_003307186.1	486	287	0	0
XM_003307188.2	1295	1096	2	29.345
XM_003307189.2	2004	1805	0	0
XM_003307190.1	408	209	0	0
XM_003307192.2	760	561	3	85.995
XM_003307193.2	3624	3425	13	61.0376
XM_003307194.2	1715	1516	1	10.6076
XM_003307195.2	3566	3367	4	19.1043
XM_003307196.2	1391	1192	0	0
XM_003307197.2	1776	1577	10	101.973
XM_003307198.2	1104	905	0	0
XM_003307199.2	1632	1433	0	0
XM_003307200.2	1983	1784	4	36.0562
XM_003307201.2	2999	2800	4	22.973
XM_003307202.1	1416	1217	0	0
XM_003307203.2	850	651	0	0
XM_003307204.2	2359	2160	12	89.3393
XM_003307205.2	993	794	0	0
XM_003307207.2	1959	1760	10	91.3697
XM_003307210.1	1749	1550	0	0
XM_003307211.1	1203	1004	0	0
XM_003307212.1	867	668	0	0
XM_003307213.2	1644	1445	4	44.5151
XM_003307214.2	1319	1120	10	143.581
XM_003307215.2	722	523	0	0
XM_003307216.1	2928	2729	2	11.7853
XM_003307218.2	858	659	0	0
XM_003307219.2	3843	3644	12	52.9563
XM_003307220.2	2182	1983	5	40.5473
XM_003307221.2	1935	1736	2	18.5266
XM_003307222.2	501	302	3	159.746
XM_003307223.1	768	569	2	56.524
XM_003307225.2	1324	1125	16	228.709
XM_003307226.1	414	215	4	299.183
XM_003307227.1	264	65.044	0	0
XM_003307228.2	1367	1168	7	96.3763
XM_003307229.2	870	671	0	0
XM_003307230.2	1860	1661	2	19.3631
XM_003307231.2	375	176	0	0
XM_003307232.2	3085	2886	6	33.4326
XM_003307233.2	868	669	6	144.225
XM_003307234.2	804	605	1	26.5803
XM_003307235.2	2149	1950	2	16.4934
XM_003307236.2	937	738	1	21.7901
XM_003307237.2	1740	1541	10	104.355
XM_003307240.2	438	239	0	0
XM_003307242.2	615	416	0	0
XM_003307243.2	2616	2417	12	79.8398
XM_003307244.2	267	68.0268	0	0
XM_003307245.2	1288	1089	3	44.3005
XM_003307246.2	462	263	5	305.724
XM_003307247.2	2465	2266	5	35.4834
XM_003307248.2	912	713	1	22.5541
XM_003307249.2	1589	1390	1	11.5691
XM_003307250.1	327	128	0	0
XM_003307251.2	495	296	0	0
XM_003307253.2	2396	2197	19	139.072
XM_003307254.2	330	131	19	2332.37
XM_003307256.2	1794	1595	14	141.15
XM_003307258.2	411	212	1	75.8541
XM_003307259.2	1389	1190	5	67.5675
XM_003307260.2	2603	2404	3.33479	22.3074
XM_003307262.2	1596	1397	5	57.5557
XM_003307263.2	1215	1016	0	0
XM_003307264.2	1497	1298	13	161.059
XM_003307265.2	2212	2013	3	23.9658
XM_003307267.2	991	792	9	182.739
XM_003307268.2	945	746	3	64.6692
XM_003307269.2	2302	2103	2.8889	22.0906
XM_003307270.1	537	338	1	47.5771
XM_003307271.2	261	62.0706	0	0
XM_003307273.1	423	224	0	0
XM_003307274.1	2769	2570	0	0
XM_003307279.1	375	176	0	0
XM_003307280.2	381	182	0	0
XM_003307281.2	2926	2727	13.1111	77.3159
XM_003307282.2	3552	3353	7	33.5722
XM_003307284.2	943	744	2	43.2287
XM_003307285.2	1321	1122	1	14.3325
XM_003307286.2	1440	1241	0	0
XM_003307287.2	3013	2814	15	85.72
XM_003307289.2	579	380	0	0
XM_003307293.2	1923	1724	0	0
XM_003307294.2	267	68.0268	0	0
XM_003307295.2	363	164	0	0
XM_003307296.2	1425	1226	12	157.4
XM_003307297.2	3820	3621	9	39.9695
XM_003307305.2	2079	1880	0	0
XM_003307306.1	2274	2075	0	0
XM_003307308.2	798	599	0	0
XM_003307309.1	363	164	0	0
XM_003307311.2	540	341	0	0
XM_003307312.2	1014	815	0	0
XM_003307314.2	3720	3521	77	351.674
XM_003307315.2	2695	2496	9	57.9846
XM_003307317.2	2307	2108	8	61.0287
XM_003307318.2	2308	2109	3	22.8749
XM_003307319.2	1287	1088	6	88.6824
XM_003307320.2	1581	1382	1	11.6361
XM_003307321.2	2259	2060	0	0
XM_003307322.2	918	719	1	22.3659
XM_003307323.2	3398	3199	7	35.1883
XM_003307324.2	2521	2322	1	6.92553
XM_003307326.2	939	740	0	0
XM_003307327.2	1457	1258	1	12.783
XM_003307328.2	1289	1090	4	59.0131
XM_003307329.2	901	702	4	91.63
XM_003307330.2	2853	2654	4	24.2367
XM_003307332.2	1492	1293	0	0
XM_003307333.2	1564	1365	1	11.781
XM_003307334.2	1001	802	40	802.049
XM_003307335.2	1238	1039	0	0
XM_003307336.2	615	416	1	38.6564
XM_003307337.2	387	188	0	0
XM_003307340.2	2249	2050	3	23.5333
XM_003307342.2	1459	1260	23	293.543
XM_003307343.2	1632	1433	2	22.4439
XM_003307344.2	1305	1106	10	145.398
XM_003307345.1	306	107	0	0
XM_003307346.2	2703	2504	4	25.6886
XM_003307347.2	2940	2741	4	23.4675
XM_003307348.2	3125	2926	23	126.406
XM_003307349.2	586	387	9	373.978
XM_003307350.2	363	164	0	0
XM_003307355.2	3216	3017	0	0
XM_003307356.1	867	668	0	0
XM_003307358.2	2479	2280	4	28.2124
XM_003307362.2	1918	1719	8	74.8392
XM_003307363.2	3418	3219	1	4.99567
XM_003307365.1	300	101	0	0
XM_003307368.2	826	627	0	0
XM_003307369.2	1552	1353	7	83.1985
XM_003307370.2	1787	1588	7	70.8863
XM_003307373.2	1926	1727	10	93.1156
XM_003307374.2	4791	4592	2	7.00395
XM_003307375.2	471	272	0	0
XM_003307379.2	1266	1067	20	301.426
XM_003307380.2	3930	3731	3.50058	15.0879
XM_003307384.1	1893	1694	0	0
XM_003307387.2	1025	826	6	116.812
XM_003307388.1	1065	866	15	278.541
XM_003307389.2	426	227	15	1062.63
XM_003307391.2	2913	2714	0	0
XM_003307392.2	1833	1634	0	0
XM_003307393.2	1869	1670	4	38.5175
XM_003307394.1	315	116	0	0
XM_003307395.2	411	212	3	227.562
XM_003307396.2	1563	1364	4	47.1586
XM_003307399.1	1113	914	1	17.5942
XM_003307400.2	1241	1042	25	385.822
XM_003307403.2	1797	1598	3	30.1897
XM_003307404.1	903	704	0	0
XM_003307405.2	1115	916	9	158.002
XM_003307406.2	348	149	0	0
XM_003307407.2	828	629	2	51.1322
XM_003307408.2	2130	1931	6	49.9671
XM_003307409.2	249	50.3754	2	638.45
XM_003307410.2	1317	1118	1	14.3838
XM_003307411.2	3480	3281	1	4.90127
XM_003307412.2	1362	1163	0	0
XM_003307413.2	639	440	0	0
XM_003307414.2	882	683	0	0
XM_003307415.2	2886	2687	0	0
XM_003307417.2	952	753	0	0
XM_003307418.2	4214	4015	38	152.199
XM_003307419.2	2772	2573	3	18.7498
XM_003307420.2	1599	1400	0	0
XM_003307421.2	1884	1685	2	19.0873
XM_003307424.2	984	785	0	0
XM_003307425.2	2930	2731	5	29.4417
XM_003307426.2	879	680	0	0
XM_003307428.2	3027	2828	0	0
XM_003307429.1	1035	836	0	0
XM_003307430.2	4184	3985	8	32.2832
XM_003307431.2	1050	851	6	113.38
XM_003307432.2	1656	1457	2	22.0742
XM_003307433.2	312	113	0	0
XM_003307434.2	594	395	0	0
XM_003307436.2	399	200	0	0
XM_003307437.2	2196	1997	1	8.05262
XM_003307438.2	1608	1409	6	68.4787
XM_003307439.2	1299	1100	5	73.0958
XM_003307440.2	1331	1132	4	56.8236
XM_003307441.2	2403	2204	5	36.4816
XM_003307442.2	1566	1367	0	0
XM_003307443.1	1185	986	0	0
XM_003307445.2	1830	1631	0	0
XM_003307449.1	1431	1232	0	0
XM_003307450.2	1041	842	4	76.3946
XM_003307452.2	415	216	0	0
XM_003307453.2	1995	1796	5	44.7691
XM_003307455.2	2026	1827	2	17.6038
XM_003307456.2	1639	1440	16	178.679
XM_003307457.2	3194	2995	7	37.5851
XM_003307460.2	1401	1202	5	66.893
XM_003307461.2	2408	2209	9	65.5182
XM_003307462.2	768	569	3	84.786
XM_003307465.2	1368	1169	11	151.319
XM_003307467.2	921	722	0	0
XM_003307468.1	1086	887	0	0
XM_003307469.2	909	710	6	135.896
XM_003307470.2	687	488	2	65.906
XM_003307471.2	874	675	2	47.6476
XM_003307472.1	1503	1304	1	12.3321
XM_003307477.2	963	764	0	0
XM_003307479.1	1800	1601	0	0
XM_003307485.1	1326	1127	4	57.0757
XM_003307486.2	1601	1402	3	34.4103
XM_003307487.2	2503	2304	4	27.9185
XM_003307488.2	1682	1483	1	10.8436
XM_003307489.2	12288	12089	10	13.3022
XM_003307492.2	408	209	0	0
XM_003307493.2	1335	1136	0	0
XM_003307494.2	1083	884	6	109.148
XM_003307495.1	767	568	1	28.3117
XM_003307496.2	1264	1065	1	15.0996
XM_003307497.2	962	763	4	84.3044
XM_003307499.2	2128	1929	0	0
XM_003307500.2	962	763	0	0
XM_003307501.2	1806	1607	2	20.0138
XM_003307503.1	666	467	0	0
XM_003307506.2	3204	3005	36	192.652
XM_003307507.2	731	532	6	181.365
XM_003307509.2	3076	2877	59.6662	333.506
XM_003307510.2	635	436	0	0
XM_003307511.2	2284	2085	2	15.4255
XM_003307513.2	2718	2519	21	134.062
XM_003307514.1	126	5.35093	0	0
XM_003307516.2	1732	1533	23	241.269
XM_003307517.2	253	54.2236	0	0
XM_003307518.2	1555	1356	7	83.0144
XM_003307519.2	2635	2436	5	33.0071
XM_003307522.2	1026	827	6	116.67
XM_003307523.2	775	576	0	0
XM_003307525.1	300	101	0	0
XM_003307527.2	1437	1238	26	337.729
XM_003307528.2	393	194	0	0
XM_003307529.2	6338	6139	6	15.717
XM_003307530.2	225	29.9375	0	0
XM_003307532.2	2184	1985	0	0
XM_003307533.1	2607	2408	0	0
XM_003307534.2	258	59.1108	0	0
XM_003307535.2	417	218	0	0
XM_003307537.2	1639	1440	1	11.1674
XM_003307540.2	1851	1652	5	48.6715
XM_003307542.2	1319	1120	3	43.0743
XM_003307544.2	609	410	0	0
XM_003307546.2	759	560	0	0
XM_003307547.2	672	473	0	0
XM_003307548.2	510	311	0	0
XM_003307551.2	1637	1438	1	11.1829
XM_003307552.2	1311	1112	2	28.9228
XM_003307553.2	2897	2698	8	47.6829
XM_003307556.2	1052	853	0	0
XM_003307558.2	2464	2265	5	35.4991
XM_003307559.2	576	377	0	0
XM_003307560.1	432	233	0	0
XM_003307564.1	822	623	0	0
XM_003307565.2	510	311	0	0
